state,fishing_site_name,fishing_site_clean
BAJA CALIFORNIA SUR,CAMPO EL DATIL (EN LA LAGUNA OJO DE LIEBRE),Campo El Datil (En La Laguna Ojo De Liebre)
SONORA,ESTERO ALMEJAS,Estero Almejas
BAJA CALIFORNIA SUR,MUELLE SAN CARLOS,Muelle San Carlos
BAJA CALIFORNIA SUR,PUERTO ALCATRAZ,Puerto Alcatraz
BAJA CALIFORNIA SUR,El Caidero,El Caidero
BAJA CALIFORNIA SUR,EL BLANQUISCAL,El Blanquiscal
SONORA,CAMAPOCHI,Camapochi
BAJA CALIFORNIA SUR,EST SAN JOSE,Est San Jose
BAJA CALIFORNIA SUR,PUNTA  GATO,Punta Gato
SONORA,ENSENADA GDE NESENADA CHICA,Ensenada Gde Nesenada Chica
SINALOA,PUNTA PRIETA,Punta Prieta
BAJA CALIFORNIA,EST SAN JOSE,Est San Jose
BAJA CALIFORNIA SUR,PUERTO SAN ANDRESITO,Puerto San Andresito
BAJA CALIFORNIA SUR,EL CARDON (BCS),El Cardon (Bcs)
BAJA CALIFORNIA SUR,LA BALLENA,La Ballena
BAJA CALIFORNIA SUR,BAHIA SANTA MARINA,Bahia Santa Marina
SONORA,PLAYAS DEL SOL A EL COLORADO,Playas Del Sol A El Colorado
BAJA CALIFORNIA SUR,GUERRERO NEGRO (BCS),Guerrero Negro (Bcs)
SONORA,BAHIA DE LOBOS A ESTERO SAN JOSE,Bahia De Lobos A Estero San Jose
SONORA,PUNTA LOBOS,Punta Lobos
BAJA CALIFORNIA SUR,CAMPO EL CHAPARRITO,Campo El Chaparrito
SINALOA,LA BANDERA,La Bandera
SINALOA,EL PERIHUETE,El Perihuete
BAJA CALIFORNIA SUR,PUNTA SAN LUCAS,Punta San Lucas
SINALOA,AGUA VERDE,Agua Verde
BAJA CALIFORNIA,CAMPO PESQUERO JUAREZ,Campo Pesquero Juarez
BAJA CALIFORNIA SUR,LOS ISLOTES,Los Islotes
BAJA CALIFORNIA SUR,LA HERRADURA,La Herradura
BAJA CALIFORNIA SUR,ARROYO HONDO,Arroyo Hondo
BAJA CALIFORNIA SUR,LA TINAJA,La Tinaja
BAJA CALIFORNIA SUR,BAJO LA CONCHA,Bajo La Concha
BAJA CALIFORNIA SUR,HOMBRES SOLOS,Hombres Solos
BAJA CALIFORNIA SUR,SAN BUTO,San Buto
BAJA CALIFORNIA SUR,SANTO DOMINGO,Santo Domingo
BAJA CALIFORNIA SUR,ESTERO LA VIBORA,Estero La Vibora
BAJA CALIFORNIA SUR,VUELTA DE DIABLO,Vuelta De Diablo
BAJA CALIFORNIA SUR,ESTERO EL GATO,Estero El Gato
JALISCO,PRESA JUIQUINAQUE,Presa Juiquinaque
BAJA CALIFORNIA SUR,LAS POCITAS (EN ESTERO SAN JORGE),Las Pocitas (En Estero San Jorge)
BAJA CALIFORNIA SUR,ESTERO SAN GREGORIO,Estero San Gregorio
BAJA CALIFORNIA SUR,ESTERO EL CHIVO,Estero El Chivo
BAJA CALIFORNIA SUR,SAN JORGE,San Jorge
JALISCO,PRESA DE LA VEGA,Presa De La Vega
SINALOA,LA JARRILLA,La Jarrilla
SINALOA,REVOLUCION,Revolucion
SINALOA,EL EBANITO,El Ebanito
SINALOA,EL OSTIAL,El Ostial
JALISCO,ESTERO EL ERMITAóO,Estero El Ermitaã³O
BAJA CALIFORNIA SUR,LA FLORIDA (B MAGDALENA),La Florida (B Magdalena)
BAJA CALIFORNIA SUR,ESTERO EL AHUETE,Estero El Ahuete
BAJA CALIFORNIA SUR,ESTERO EL CAYUCO,Estero El Cayuco
BAJA CALIFORNIA SUR,LAS CASITAS,Las Casitas
BAJA CALIFORNIA,EJIDO JOSE MARIA MORELOS Y PAVON,Ejido Jose Maria Morelos Y Pavon
BAJA CALIFORNIA SUR,SAN VICENTE,San Vicente
SINALOA,EL GUAMUCHILITO,El Guamuchilito
SINALOA,PRESA GUILLERMO BLAKE AGUILAR (SABINAL),Presa Guillermo Blake Aguilar (Sabinal)
SINALOA,SITIO EL EBANITO,Sitio El Ebanito
BAJA CALIFORNIA,CAMPO ARROYITO (EN I GUADALUPE),Campo Arroyito (En I Guadalupe)
BAJA CALIFORNIA SUR,SAN LAZARO,San Lazaro
BAJA CALIFORNIA SUR,MORRO LOS FRAILES,Morro Los Frailes
BAJA CALIFORNIA SUR,CABO SAN LUCAS,Cabo San Lucas
BAJA CALIFORNIA,EL CHINERO 4TO ESTERO (EN ZONA ESTEROS),El Chinero 4to Estero (En Zona Esteros)
BAJA CALIFORNIA,PUNTA ESTRELLA,Punta Estrella
SINALOA,LA REFORMA,La Reforma
BAJA CALIFORNIA,LA TOBA (CAMPO),La Toba (Campo)
SINALOA,MIGUEL HIDALGO Y COSTILLA (PRESA),Miguel Hidalgo Y Costilla (Presa)
SONORA,ISLA TIBURON,Isla Tiburon
BAJA CALIFORNIA SUR,PUNTA PRIETA (EN BAHIA ASUNCION),Punta Prieta (En Bahia Asuncion)
BAJA CALIFORNIA,VARADERO AGUAJITO,Varadero Aguajito
BAJA CALIFORNIA SUR,BARRIO LA PLAYA,Barrio La Playa
BAJA CALIFORNIA SUR,SAN RAFAEL (GOLFO DE CALIFORNIA),San Rafael (Golfo De California)
BAJA CALIFORNIA SUR,SAN LUCAS,San Lucas
BAJA CALIFORNIA SUR,LA JOJOBA,La Jojoba
SINALOA,LAZARO CARDENAS,Lazaro Cardenas
SONORA,ZONA DEAMORTIGUAMIENTO,Zona Deamortiguamiento
BAJA CALIFORNIA SUR,LA BOCANA (BAHIA MAGDALENA),La Bocana (Bahia Magdalena)
SINALOA,EL JITO,El Jito
SINALOA,PALMILLAS,Palmillas
JALISCO,PACIFICO,Pacifico
SINALOA,AGUAS CONTINENTALES,Aguas Continentales
JALISCO,LAGO DE CAJITITLAN,Lago De Cajititlan
BAJA CALIFORNIA,EL WIDO,El Wido
BAJA CALIFORNIA SUR,PUNTA LA CANTINA,Punta La Cantina
SONORA,EL BURRO,El Burro
SINALOA,LA PITAHAYA,La Pitahaya
BAJA CALIFORNIA,EL CHUTE,El Chute
BAJA CALIFORNIA SUR,PUNTA SANTA ANA (GOLFO),Punta Santa Ana (Golfo)
SINALOA,PRESA MIGUEL HIDALGO Y COSTILLA,Presa Miguel Hidalgo Y Costilla
BAJA CALIFORNIA SUR,SAN CARLITOS,San Carlitos
BAJA CALIFORNIA SUR,BAHIA SAN RAFAEL,Bahia San Rafael
BAJA CALIFORNIA SUR,PUNTA MANGLES,Punta Mangles
BAJA CALIFORNIA SUR,PUNTA CONTRABANDO,Punta Contrabando
SONORA,FRENTE AL GOLFO,Frente Al Golfo
BAJA CALIFORNIA,PINTA ESTRELLA,Pinta Estrella
SONORA,FRENTE AL TORNILLAL,Frente Al Tornillal
BAJA CALIFORNIA SUR,EL CAMPAMENTO,El Campamento
SINALOA,MAVIRI,Maviri
BAJA CALIFORNIA SUR,P LAYO-TRINI,P Layo-Trini
BAJA CALIFORNIA,LA PALMITA (VARADERO),La Palmita (Varadero)
BAJA CALIFORNIA,CANOAS,Canoas
BAJA CALIFORNIA SUR,PIEDRA SANDOVAL,Piedra Sandoval
SINALOA,BAJOS DEL TIO NICHO,Bajos Del Tio Nicho
BAJA CALIFORNIA SUR,PUNTA SAN BASILIO,Punta San Basilio
SINALOA,MAHAHUAL,Mahahual
SINALOA,SISTEMA DE RIEGO EN ANGOSTURA,Sistema De Riego En Angostura
SINALOA,CARRICITOS,Carricitos
SINALOA,PUNTILLA DE SANTA ANITA (CULT),Puntilla De Santa Anita (Cult)
BAJA CALIFORNIA,PUERTO LIBERTAD,Puerto Libertad
JALISCO,RIO CUITZMALA,Rio Cuitzmala
BAJA CALIFORNIA SUR,VARADERO MALARRIMO,Varadero Malarrimo
BAJA CALIFORNIA SUR,ISLA DE CEDROS,Isla De Cedros
BAJA CALIFORNIA SUR,ZONA MARITIMO TERRESTRE,Zona Maritimo Terrestre
BAJA CALIFORNIA SUR,BAHIA SAN JUANICO II,Bahia San Juanico Ii
SONORA,EL CORDONAL,El Cordonal
BAJA CALIFORNIA,EL BARRIL SAN MIGUEL SAM FRANCISQUITO,El Barril San Miguel Sam Francisquito
SINALOA,LAS GARZAS,Las Garzas
SINALOA,BOCA DE CHAMETLA,Boca De Chametla
BAJA CALIFORNIA SUR,ENSENADA EL MUERTO,Ensenada El Muerto
BAJA CALIFORNIA SUR,PUNTA HORNITOS,Punta Hornitos
SINALOA,EL TASAJAL,El Tasajal
SINALOA,EL ESPINAZO DEL DIABLO,El Espinazo Del Diablo
BAJA CALIFORNIA,EL PAPALOTE,El Papalote
BAJA CALIFORNIA SUR,LA RAMADITA (SAN NICOLAS),La Ramadita (San Nicolas)
BAJA CALIFORNIA SUR,PUNTA CHOYA,Punta Choya
BAJA CALIFORNIA SUR,EL MOJON,El Mojon
SONORA,MIRAMAR,Miramar
BAJA CALIFORNIA SUR,ARROYO EL MEZQUITAL,Arroyo El Mezquital
SINALOA,LITORAL DE SINALOA A SONORA,Litoral De Sinaloa A Sonora
SINALOA,PLAYA COLORADA,Playa Colorada
SINALOA,EL VERDE ZAVALA,El Verde Zavala
BAJA CALIFORNIA SUR,CANAL SAN MARCOS,Canal San Marcos
SINALOA,LAS LAJITAS SAN JUAN Y GOLFO DE CALIFORNIA,Las Lajitas San Juan Y Golfo De California
SONORA,LA RINCONADA,La Rinconada
BAJA CALIFORNIA,BAHIA BLANCA,Bahia Blanca
SINALOA,PUNTA PALA,Punta Pala
BAJA CALIFORNIA SUR,ESTEO LAS TIJERAS,Esteo Las Tijeras
BAJA CALIFORNIA SUR,GAVILANES,Gavilanes
BAJA CALIFORNIA SUR,PUNTA ESTERO SAN COSME,Punta Estero San Cosme
SINALOA,EL FISGADERO,El Fisgadero
BAJA CALIFORNIA SUR,BAHIA LA VENTANA,Bahia La Ventana
SINALOA,PRESA SANALONA,Presa Sanalona
SINALOA,DIQUE LA ENSENADA,Dique La Ensenada
SINALOA,EL CONCHAL,El Conchal
BAJA CALIFORNIA SUR,PUNTA SAN HIPOLITO,Punta San Hipolito
BAJA CALIFORNIA SUR,BAHIA SAN HIPOLITO,Bahia San Hipolito
JALISCO,PRESA CALDERON,Presa Calderon
SINALOA,LOS VIVEROS,Los Viveros
BAJA CALIFORNIA SUR,BOYA ROJA,Boya Roja
BAJA CALIFORNIA SUR,LA CUEVITA,La Cuevita
BAJA CALIFORNIA SUR,LA BANDERITA (EN LA LAGUNA OJO DE LIEBRE),La Banderita (En La Laguna Ojo De Liebre)
BAJA CALIFORNIA SUR,AGUA FRESCA,Agua Fresca
SINALOA,BAHIA DE BACOREHUIS,Bahia De Bacorehuis
SINALOA,BARCOREHUIS,Barcorehuis
SINALOA,CHICURA,Chicura
BAJA CALIFORNIA SUR,FRENTE AL MUELLE,Frente Al Muelle
SINALOA,PREDIO SANCHEZ VALDEZ,Predio Sanchez Valdez
BAJA CALIFORNIA SUR,LA VIBORA,La Vibora
SINALOA,MACAPULE,Macapule
BAJA CALIFORNIA SUR,Bahia Alcatraz,Bahia Alcatraz
SINALOA,BAHIA DE LA VINORAMA,Bahia De La Vinorama
BAJA CALIFORNIA,ESTERO SAN JOSE BCN,Estero San Jose Bcn
BAJA CALIFORNIA SUR,EL CHAPARRITO (COMPLEJO LAGUNAR ),El Chaparrito (Complejo Lagunar )
BAJA CALIFORNIA SUR,EL PARAISO,El Paraiso
SINALOA,CHICURAS,Chicuras
BAJA CALIFORNIA SUR,LAGUNA TLAQUE,Laguna Tlaque
JALISCO,BAHIA DE YELEPA,Bahia De Yelepa
JALISCO,PRESA MOCUZARIT,Presa Mocuzarit
JALISCO,PRESA CAJON DE PEóAS,Presa Cajon De Peã³As
BAJA CALIFORNIA SUR,PUERTO MAGDALENA,Puerto Magdalena
SONORA,SANTA CRUZ,Santa Cruz
SONORA,SAN JOSE,San Jose
SONORA,GUAYMAS EMPALME,Guaymas Empalme
BAJA CALIFORNIA SUR,MARISCAL,Mariscal
SINALOA,CEPA-OHUIRA,Cepa-Ohuira
SONORA,SANTO TOMAS,Santo Tomas
BAJA CALIFORNIA SUR,Bahia Roch,Bahia Roch
BAJA CALIFORNIA SUR,ZONA F,Zona F
BAJA CALIFORNIA SUR,BAJO LA CURVA,Bajo La Curva
SINALOA,EL HECHO,El Hecho
SONORA,EL MEZQUITE,El Mezquite
SINALOA,BAHIA LECHUGUILLA,Bahia Lechuguilla
BAJA CALIFORNIA SUR,CARRIZALITO,Carrizalito
SINALOA,SALIACA,Saliaca
JALISCO,BAHIA EL CORRAL,Bahia El Corral
SINALOA,LAS TINAJAS,Las Tinajas
SINALOA,CAäALES,Caã¤Ales
SINALOA,ZOPILOTA,Zopilota
BAJA CALIFORNIA SUR,ESTERO LAS CORVINAS,Estero Las Corvinas
BAJA CALIFORNIA SUR,ESTERO CANCUN,Estero Cancun
SINALOA,GREGORIO VAZQUEZ MORENO,Gregorio Vazquez Moreno
SINALOA,PALMITO DEL VERDE,Palmito Del Verde
SINALOA,EL ROBLITO,El Roblito
SINALOA,SITIO ESTACADA,Sitio Estacada
BAJA CALIFORNIA SUR,ISLOTE SAN GIL,Islote San Gil
BAJA CALIFORNIA SUR,BALLENAS,Ballenas
SINALOA,LAS CABRAS,Las Cabras
SINALOA,LAGUNA LARGA,Laguna Larga
BAJA CALIFORNIA SUR,ESTERO LAS BALIZAS,Estero Las Balizas
BAJA CALIFORNIA SUR,PALMA SOLA,Palma Sola
SINALOA,GUAMUCHIL,Guamuchil
BAJA CALIFORNIA SUR,BAHIA SANTO DOMINGO,Bahia Santo Domingo
SINALOA,ESTERO DE BUENA VENTURA,Estero De Buena Ventura
JALISCO,BORDO RUIZ CORTINEZ,Bordo Ruiz Cortinez
BAJA CALIFORNIA SUR,ESTERO NORTE (O ESTERO OJO DE LIEBRE),Estero Norte (O Estero Ojo De Liebre)
SONORA,LITORAL,Litoral
SINALOA,PLAYA SUR,Playa Sur
BAJA CALIFORNIA,FRENTE ALA MISION,Frente Ala Mision
BAJA CALIFORNIA,ZONA I,Zona I
BAJA CALIFORNIA SUR,BOCA DE LAS ANIMAS,Boca De Las Animas
SINALOA,MENDIA,Mendia
BAJA CALIFORNIA,DEL FARO AL PLAYON,Del Faro Al Playon
BAJA CALIFORNIA,CAMPO DON ABEL,Campo Don Abel
BAJA CALIFORNIA,BAJOS CATARINA,Bajos Catarina
BAJA CALIFORNIA,RIO COLORADO,Rio Colorado
SINALOA,COSTA AZUL,Costa Azul
BAJA CALIFORNIA,MOLINO VIEJO,Molino Viejo
BAJA CALIFORNIA SUR,LAGUNA DE SAN JUANICO,Laguna De San Juanico
BAJA CALIFORNIA,CAMPO VIEJO,Campo Viejo
SINALOA,LOS DESECHOS,Los Desechos
SONORA,LAS PLACAS,Las Placas
BAJA CALIFORNIA SUR,LOS INOCENTES,Los Inocentes
BAJA CALIFORNIA SUR,BOCA EL PALMERITO,Boca El Palmerito
BAJA CALIFORNIA,PUNTA MORRO REDONDO (I CEDROS),Punta Morro Redondo (I Cedros)
BAJA CALIFORNIA,LOS VOLCANES,Los Volcanes
SONORA,LAS SALINAS,Las Salinas
JALISCO,PRE EL JIHUITE,Pre El Jihuite
SONORA,SAN CARLOS - LAS CUEVITAS,San Carlos - Las Cuevitas
SINALOA,PRESA VAREJONAL,Presa Varejonal
BAJA CALIFORNIA SUR,EL COYOTE ENSENADA (GOLFO),El Coyote Ensenada (Golfo)
BAJA CALIFORNIA SUR,ZONA PROFUNDA,Zona Profunda
SONORA,EL BORRASCOSO,El Borrascoso
SINALOA,AGUAS CONTINENTALES DE LOS DIQUES,Aguas Continentales De Los Diques
SINALOA,CANALES DE RIEGO DEL VALLE DEL FUERTE,Canales De Riego Del Valle Del Fuerte
BAJA CALIFORNIA SUR,SANTA ROSALIITA,Santa Rosaliita
SONORA,ISLA PATOS,Isla Patos
BAJA CALIFORNIA SUR,ENSENADA LA CHABELA (EN ISLA SAN MARCOS),Ensenada La Chabela (En Isla San Marcos)
BAJA CALIFORNIA SUR,BAHIA SANTA ANA,Bahia Santa Ana
SINALOA,LA PIONIA (CULT),La Pionia (Cult)
BAJA CALIFORNIA SUR,ESTERO SAN IGNACIO,Estero San Ignacio
SONORA,EL PINITO,El Pinito
BAJA CALIFORNIA SUR,CAMPITO EL TAVO,Campito El Tavo
BAJA CALIFORNIA,PIEDRA AHOGADA,Piedra Ahogada
BAJA CALIFORNIA SUR,SAN ANDRES,San Andres
BAJA CALIFORNIA SUR,EL CONTRABANDO,El Contrabando
BAJA CALIFORNIA SUR,PUNTA EL FARO,Punta El Faro
BAJA CALIFORNIA,PUERTO SALINA,Puerto Salina
BAJA CALIFORNIA,TORRE MOCHA,Torre Mocha
BAJA CALIFORNIA SUR,ESTRECHITO,Estrechito
SONORA,TOPOLOBAMPO,Topolobampo
BAJA CALIFORNIA,BANCO NORTE,Banco Norte
BAJA CALIFORNIA SUR,ISLA LA CANGREJERA,Isla La Cangrejera
SONORA,SEGUNDO CERRO PRIETO,Segundo Cerro Prieto
BAJA CALIFORNIA SUR,LAS CAHUAMAS,Las Cahuamas
SINALOA,PUNTA DE SAN MIGUEL,Punta De San Miguel
BAJA CALIFORNIA SUR,1ER CAMPITO,1er Campito
BAJA CALIFORNIA,ISLA RAZA,Isla Raza
BAJA CALIFORNIA SUR,PUNTA CANDELERO (EN SANTA ROSALIA),Punta Candelero (En Santa Rosalia)
BAJA CALIFORNIA SUR,PUNTA EL PESCADOR,Punta El Pescador
BAJA CALIFORNIA SUR,BAJO EL IMPOSIBLE,Bajo El Imposible
BAJA CALIFORNIA SUR,ISLA EL GALLITO,Isla El Gallito
BAJA CALIFORNIA SUR,EL COLORADITO,El Coloradito
BAJA CALIFORNIA,LITORAL DE GOLFO (CAMP),Litoral De Golfo (Camp)
BAJA CALIFORNIA SUR,EL SAUZOSO,El Sauzoso
BAJA CALIFORNIA SUR,ISLOTE LA CONCHA,Islote La Concha
SINALOA,ADOLFO LOPEZ MATEOS (PRESA),Adolfo Lopez Mateos (Presa)
BAJA CALIFORNIA,MUELLE MOLINO VIEJO,Muelle Molino Viejo
SINALOA,EL SABALO,El Sabalo
SINALOA,LA NUEVA ALTERNATIVA (CULT),La Nueva Alternativa (Cult)
BAJA CALIFORNIA SUR,ESTERO SAN LUCAS,Estero San Lucas
BAJA CALIFORNIA SUR,BOCANA OJO DE LIEBRE,Bocana Ojo De Liebre
JALISCO,LAGUNA TEOPA Y RIO CUIXMALA,Laguna Teopa Y Rio Cuixmala
BAJA CALIFORNIA SUR,RINCON DEL FARO,Rincon Del Faro
BAJA CALIFORNIA SUR,EL BARCO UNDIDO,El Barco Undido
BAJA CALIFORNIA SUR,FRENTE A LA TERMOELECTRICA,Frente A La Termoelectrica
BAJA CALIFORNIA SUR,LA LIBERTAD,La Libertad
BAJA CALIFORNIA SUR,LOS MARROS,Los Marros
SINALOA,20 DE NOVIEMBRE,20 De Noviembre
SONORA,BORRASCOSO A LAS ALAMILLAS,Borrascoso A Las Alamillas
BAJA CALIFORNIA SUR,PUERTO ESCONDIDO (EN LORETO),Puerto Escondido (En Loreto)
SINALOA,DISTRITO DE RIEGO NO 10,Distrito De Riego No 10
SONORA,GUAYMAS A MANCHA BLANCA,Guaymas A Mancha Blanca
SINALOA,AGUA DULCE,Agua Dulce
BAJA CALIFORNIA SUR,LAS VACAS,Las Vacas
BAJA CALIFORNIA SUR,ESTERO EL VENADO,Estero El Venado
SINALOA,LOPEZ PORTILLO (PRESA),Lopez Portillo (Presa)
JALISCO,MARISMA CHALACATEPEC,Marisma Chalacatepec
BAJA CALIFORNIA SUR,PIEDRA DULCE,Piedra Dulce
BAJA CALIFORNIA SUR,BANDERITA,Banderita
SINALOA,LAS SALINITAS,Las Salinitas
SINALOA,REV CALIHUEY POCHOTES VARIOS,Rev Calihuey Pochotes Varios
BAJA CALIFORNIA SUR,ESTERO BANDERITA,Estero Banderita
SINALOA,MALINES,Malines
BAJA CALIFORNIA SUR,Estero Los Cuervos,Estero Los Cuervos
BAJA CALIFORNIA SUR,BANDERITAS,Banderitas
SINALOA,ESTERO VERDE CAMACHO,Estero Verde Camacho
BAJA CALIFORNIA SUR,LA CURVA,La Curva
SINALOA,PRESIDIO,Presidio
SINALOA,EL CONFITE (CULT),El Confite (Cult)
BAJA CALIFORNIA SUR,SEGUNDO ARROYO,Segundo Arroyo
BAJA CALIFORNIA,COSTAS DE CELESTUN,Costas De Celestun
BAJA CALIFORNIA SUR,LAGUNA MANUELA,Laguna Manuela
BAJA CALIFORNIA SUR,PUNTA MAGDALENA (O PUNTA COLORADA),Punta Magdalena (O Punta Colorada)
BAJA CALIFORNIA SUR,ESTERO EL PULGUERO (GOLFO),Estero El Pulguero (Golfo)
BAJA CALIFORNIA SUR,ENSENADA EL PULGUERO,Ensenada El Pulguero
SINALOA,BATURY ANGOSTURA (CULT),Batury Angostura (Cult)
JALISCO,BAHIA DE TEHUAMIXTLE,Bahia De Tehuamixtle
BAJA CALIFORNIA SUR,PUNTA ROJO (EN ISLA SAN JOSE ),Punta Rojo (En Isla San Jose )
SINALOA,LAS HIGUERITAS,Las Higueritas
SINALOA,EL SALTO,El Salto
BAJA CALIFORNIA SUR,BAJO 9,Bajo 9
SONORA,CERRO PRIETO,Cerro Prieto
SINALOA,PRESA LA CAMPANA,Presa La Campana
SINALOA,LOS HORCONES (PRESA),Los Horcones (Presa)
BAJA CALIFORNIA SUR,PUNTA COLORADITO (EN ISLA SAN MARCOS),Punta Coloradito (En Isla San Marcos)
SINALOA,VARIOS CAMPOS,Varios Campos
BAJA CALIFORNIA SUR,SAN IGNACIO,San Ignacio
BAJA CALIFORNIA SUR,BAJO LAS BOYAS,Bajo Las Boyas
SINALOA,CASCABELES,Cascabeles
SINALOA,PIAXTLA,Piaxtla
BAJA CALIFORNIA SUR,LOS AZABACHES,Los Azabaches
SINALOA,RIOS DIQUES Y CANALES,Rios Diques Y Canales
BAJA CALIFORNIA SUR,PUNTA EL MOSTRADOR (EN ISLA CERRALVO),Punta El Mostrador (En Isla Cerralvo)
BAJA CALIFORNIA SUR,Atravesia,Atravesia
BAJA CALIFORNIA SUR,PUNTA ENTRADA,Punta Entrada
SONORA,CABO TEPOPA,Cabo Tepopa
BAJA CALIFORNIA,VARADERO ALTAMIRA,Varadero Altamira
SINALOA,LOS DIQUES,Los Diques
BAJA CALIFORNIA SUR,LA BALIZA,La Baliza
JALISCO,RIO AMECA,Rio Ameca
SINALOA,RIO BALUARTE,Rio Baluarte
BAJA CALIFORNIA SUR,SAN RAFAEL (EN BAHIA CONCEPCION),San Rafael (En Bahia Concepcion)
BAJA CALIFORNIA SUR,ESTERO SAN LAZARO,Estero San Lazaro
BAJA CALIFORNIA SUR,PUNTA LOCO,Punta Loco
JALISCO,PLAYA EL SALADO,Playa El Salado
BAJA CALIFORNIA SUR,CAMPITO EL CHEVO,Campito El Chevo
BAJA CALIFORNIA,DE BARRA DE SANTA ELENA HASTA SANTA CRUZ HUATULCO,De Barra De Santa Elena Hasta Santa Cruz Huatulco
BAJA CALIFORNIA SUR,CANAL PUNTA EUGENIA,Canal Punta Eugenia
BAJA CALIFORNIA SUR,LOS JUNCOS,Los Juncos
BAJA CALIFORNIA SUR,BAHIA DE SAN SEBASTIAN VISCAINO,Bahia De San Sebastian Viscaino
BAJA CALIFORNIA SUR,PUNTA VERDE,Punta Verde
SINALOA,ESTERO BANDERILLAS,Estero Banderillas
SONORA,LOS TANQUES,Los Tanques
BAJA CALIFORNIA SUR,EL CABITO,El Cabito
BAJA CALIFORNIA SUR,SAN MIGUEL,San Miguel
BAJA CALIFORNIA SUR,PUNTA SANTA MARIA,Punta Santa Maria
SINALOA,LAS BRISAS (CULT),Las Brisas (Cult)
SONORA,TASTIOTA LA LUNA,Tastiota La Luna
SINALOA,BAHIA DE BANDERA,Bahia De Bandera
BAJA CALIFORNIA SUR,LOS TITERES,Los Titeres
SINALOA,BUENA VISTA,Buena Vista
BAJA CALIFORNIA SUR,LAGUNA DE GUERRERO NEGRO,Laguna De Guerrero Negro
SINALOA,LAGUNA DEL CAIMANERO,Laguna Del Caimanero
SINALOA,EL CARRIZITO,El Carrizito
SINALOA,LA CUCHILLA (CULT),La Cuchilla (Cult)
BAJA CALIFORNIA SUR,PUNTA BELCHER (O PUNTA ARENAS),Punta Belcher (O Punta Arenas)
SINALOA,BAHIA TOPOLOBAMPO,Bahia Topolobampo
BAJA CALIFORNIA SUR,PUNTA LA TINAJA,Punta La Tinaja
SONORA,PARAJE VIEJO,Paraje Viejo
SINALOA,SAN FELIPE,San Felipe
BAJA CALIFORNIA SUR,BAJO DEL ISLOTE,Bajo Del Islote
BAJA CALIFORNIA SUR,ESTERO UNA DE GATA,Estero Una De Gata
SONORA,SANTO DOMINGO,Santo Domingo
SINALOA,POBLADO NO 5 (CULT),Poblado No 5 (Cult)
SONORA,SAN JOSE DE GUAYMAS,San Jose De Guaymas
SINALOA,FINCA CAMARONERA DE AHOME (CULT),Finca Camaronera De Ahome (Cult)
SINALOA,CELAYA,Celaya
SINALOA,EL ROBLE SAN RAFAEL,El Roble San Rafael
BAJA CALIFORNIA SUR,ABULONERA DEL NORTE,Abulonera Del Norte
BAJA CALIFORNIA SUR,BOCA LOS LEONES,Boca Los Leones
BAJA CALIFORNIA SUR,BOCANITA DE SAN RAFAEL,Bocanita De San Rafael
SINALOA,LA PEDREGOZA,La Pedregoza
BAJA CALIFORNIA SUR,LOS PRADITOS,Los Praditos
SONORA,EL TECORI,El Tecori
SINALOA,EL SALTO (PRESA),El Salto (Presa)
SONORA,PE�ASCO,Peóasco
BAJA CALIFORNIA,CA�ADA LAS MUEJRES,Cañada Las Muejres
SINALOA,LA BAYONA,La Bayona
JALISCO,PUNTA PE�ITAS,Punta Peóitas
BAJA CALIFORNIA SUR,PUNTA SAN PEDRO,Punta San Pedro
BAJA CALIFORNIA SUR,PUNTA PIEDRA BLANCA (ISLA SAN MARCOS),Punta Piedra Blanca (Isla San Marcos)
BAJA CALIFORNIA SUR,EL CORA,El Cora
SONORA,FRENTE AL MACHORRO,Frente Al Machorro
BAJA CALIFORNIA SUR,PUNTA RAZA,Punta Raza
BAJA CALIFORNIA SUR,CUEVA DE LEON,Cueva De Leon
BAJA CALIFORNIA SUR,PUNTA SAN CARLOS,Punta San Carlos
BAJA CALIFORNIA SUR,PIEDRA BLANCA,Piedra Blanca
BAJA CALIFORNIA SUR,CHUPALODO (CAMPO PESQUERO),Chupalodo (Campo Pesquero)
BAJA CALIFORNIA,EL PLAYON,El Playon
BAJA CALIFORNIA SUR,LA VENTANA (ROSALIA),La Ventana (Rosalia)
BAJA CALIFORNIA SUR,CABO PULMO,Cabo Pulmo
BAJA CALIFORNIA,LAS CONCHAS,Las Conchas
BAJA CALIFORNIA SUR,PUNTA GORDA (ISLA SAN MARCOS),Punta Gorda (Isla San Marcos)
BAJA CALIFORNIA SUR,PIEDRA DE ZU�IGA,Piedra De Zuóiga
BAJA CALIFORNIA,CA�ADA LAS MUJERES,Cañada Las Mujeres
BAJA CALIFORNIA,VARDERO LAGUNITAS,Vardero Lagunitas
BAJA CALIFORNIA SUR,ESTERO EL BARRIL,Estero El Barril
BAJA CALIFORNIA SUR,PIEDRA KINO,Piedra Kino
BAJA CALIFORNIA SUR,PUERTO DATIL,Puerto Datil
SINALOA,SAN IGNACIO,San Ignacio
SINALOA,CRUZ DE ELOTA,Cruz De Elota
BAJA CALIFORNIA SUR,RODRIGUEZ,Rodriguez
BAJA CALIFORNIA SUR,LAS AGUILAS,Las Aguilas
BAJA CALIFORNIA SUR,EL COYOTE,El Coyote
BAJA CALIFORNIA SUR,LAS PIEDRITAS,Las Piedritas
BAJA CALIFORNIA,ISLA PARTIDA,Isla Partida
