state,landing_site_catch,landing_site_primary,lat,long,GulfCal
BAJA CALIFORNIA,ESTERO LAGUNA MANUELA B.C.N.,ESTERO LAGUNA MANUELA B.C.N.,28.2333,-114.1,no
BAJA CALIFORNIA,SAN QUINTIN (LITORALES),SAN QUINTIN (LITORALES),30.5504,-116.0259,no
BAJA CALIFORNIA,PUERTO SAN JOSE,SAN JOSE PUERTO,29.2844,-114.8703,no
BAJA CALIFORNIA,SAN JOSE,SAN JOSE,29.2844,-114.8703,no
BAJA CALIFORNIA,SANTO TOMAS,SANTO TOMAS,31.534300000000002,-116.69,no
BAJA CALIFORNIA,EJIDO RUBEN JARAMILLO,RUBEN JARAMILLO EJIDO,30.918,-116.05,no
BAJA CALIFORNIA,EL CUCHILLO,EL CUCHILLO,29.2399,-114.8218,no
BAJA CALIFORNIA,CANOAS,CANOAS,29.4172,-115.1836,no
BAJA CALIFORNIA,PUERTO ESCONDIDO,ESCONDIDO PUERTO,31.708,-116.7081,no
BAJA CALIFORNIA,SANTA ROSALIITA,SANTA ROSALILLITA BAHÍA,28.6432,-114.1935,no
BAJA CALIFORNIA,EL BARRIL,BARRIL EL,28.301,-112.8725,yes
BAJA CALIFORNIA,PUNTA CUCHILLA,CUCHILLO PUERTO,29.2399,-114.8218,no
BAJA CALIFORNIA,SAN JERONIMO,SAN JERONIMO,29.7917,-115.7917,no
BAJA CALIFORNIA,PUERTO SANTO TOMAS,SANTO TOMÁS PUERTO,31.534300000000002,-116.6838,no
BAJA CALIFORNIA,MUELLE FISCAL 1,FISCAL MUELLE,31.8525,-116.633,no
BAJA CALIFORNIA,SAN QUINTIN,SAN QUINTIN,30.467,-115.9719,no
BAJA CALIFORNIA,PUNTA FINAL (B. DE LOS ANGELES),BAHIA DE LOS ANGELES B.C.N.,28.95192,-113.56243,yes
BAJA CALIFORNIA,ESCOLLERA,ESCOLLERA,NA,NA,NA
BAJA CALIFORNIA,SAN LUIS GONZAGA B.C.N.,SAN LUIS GONZAGA B.C.N.,29.7924,-114.38,yes
BAJA CALIFORNIA,EL BARRIL B.C.N.,EL BARRIL B.C.N.,28.3009,-112.8741,yes
BAJA CALIFORNIA,PUERTO SAN CARLOS,SAN CARLOS PUERTO,29.6173,-115.4673,no
BAJA CALIFORNIA,EL RINCON DE PUNTA BANDA,EL RINCON DE PUNTA BANDA,31.7239,-116.6781,no
BAJA CALIFORNIA,PUNTA SAN JACINTO,SAN JACINTO PUNTA,30.8622,-116.1746,no
BAJA CALIFORNIA,EL PABELLON,PABELLÓN EL,30.3669,-115.8502,no
BAJA CALIFORNIA,CALAMAJUE,CALAMAJUE CAMPO,29.6904,-114.1555,yes
BAJA CALIFORNIA,LA COLORADA (I. CEDROS),LA COLORADA (I. CEDROS),28.1164,-115.3506,no
BAJA CALIFORNIA,NOTIENE,NOTIENE,NA,NA,NA
BAJA CALIFORNIA,FRONTERA,FRONTERA,NA,NA,NA
BAJA CALIFORNIA,BAJO SAN MIGUEL,SAN MIGUEL CABO,28.1921,-112.7871,yes
BAJA CALIFORNIA,BAHIA SAN RAFAEL,SAN RAFAEL BAHÍA,28.5003,-114.077,no
BAJA CALIFORNIA,ISLA GUADALUPE,GUADALUPE ISLA,29.0556,-118.377,no
BAJA CALIFORNIA,EL RINCON,RINCÓN EL,31.7286,-116.6998,no
BAJA CALIFORNIA,CA?ADA DE LAS MUJERES,CAÑADA DE LAS MUJERES,NA,NA,NA
BAJA CALIFORNIA,MERCADO NEGRO,MERCADO NEGRO,31.8525,-116.633,no
BAJA CALIFORNIA,PUNTA SALINAS,SALINA LA,32.05,-116.885,no
BAJA CALIFORNIA,MUELLE DEL MERCADO NEGRO,MUELLE DEL MERCADO,31.8592,-116.6246,no
BAJA CALIFORNIA,BAHIA DE LAS ANIMAS,ANIMAS BAHÍA DE LAS,28.9183,-113.507,yes
BAJA CALIFORNIA,LAGUNA MANUELA,MANUELA LAGUNA,28.2341,-114.0838,no
BAJA CALIFORNIA,EL SOMBRERETE,EL SOMBRERETE,32.1669,-115.057,yes
BAJA CALIFORNIA,"CANADA, LA","CANADA, LA",NA,NA,NA
BAJA CALIFORNIA,PUNTA SAN CARLOS,SAN CARLOS PUNTA,29.5145,-115.2534,no
BAJA CALIFORNIA,PUNTA BALLENAS,BALLENA PUNTA,28.4706,-112.9017,yes
