"main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean"
"ATUN","ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES)","ALETA","ENT.","FCO.",NA,NA,"ATUN AMARILLA (THUNNUS ALBACARES)"
"ATUN","ATUN ALETA AMARILLA DESV. FCO. (THUNNUS ALBACARES)","ALETA","DESV.","FCO.",NA,NA,"ATUN AMARILLA (THUNNUS ALBACARES)"
"ATUN","ATUN ALETA AMARILLA IND. (THUNNUS ALBACARES)","ALETA","IND.",NA,NA,NA,"ATUN AMARILLA (THUNNUS ALBACARES)"
"ATUN","ATUN ALETA AMARILLA DESV, DESC FCO (THUNNUS ALBACARES)","ALETA","DESV,","DESC","FCO",NA,"ATUN AMARILLA (THUNNUS ALBACARES)"
"ATUN","ATUN ALETA AMARILLA  ENT. FCO. (THUNNUS ALBACARES)","ALETA","ENT.","FCO.",NA,NA,"ATUN AMARILLA (THUNNUS ALBACARES)"
"ATUN","ATUN ALETA AZUL ENT. FCO.","ALETA","ENT.","FCO.",NA,NA,"ATUN AZUL"
"ATUN","ATUN ALETA AZUL DESV. Y DESC. FCO.","ALETA","DESV.","DESC.","FCO.",NA,"ATUN AZUL"
"ATUN","ATUN ALETA AZUL DE CULTIVO ENT. FCO.","ALETA","DE CULTIVO","ENT.","FCO.",NA,"ATUN AZUL"
"ATUN","ATUN ALETA AZUL DE CULTIVO DESV. DSC. FCO.","ALETA","DE CULTIVO","DESV.","DSC.","FCO.","ATUN AZUL"
"ATUN","ATUN ALETA AZUL VIVO P/ABASTO RANCHO","ALETA",NA,NA,NA,NA,"ATUN AZUL VIVO P/ABASTO RANCHO"
"ATUN","ATUN OJO GRANDE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ATUN OJO GRANDE"
"ATUN","ATUN PATUDO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"ATUN PATUDO"
"BAGRE","BAGRE DESV. FCO.","DESV.","FCO.",NA,NA,NA,"BAGRE"
"BAGRE","BAGRE DE CULTIVO ENT. FCO.","DE CULTIVO","ENT.","FCO.",NA,NA,"BAGRE"
"BAGRE","BAGRE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BAGRE"
"BAGRE","BAGRE DESV. Y DESC. FCO.","DESV.","DESC.","FCO.",NA,NA,"BAGRE"
"BAGRE","BAGRE FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"BAGRE"
"BAGRE","BAGRE DE CULTIVO VIVO","DE CULTIVO VIVO",NA,NA,NA,NA,"BAGRE"
"BAGRE","BAGRE AZUL DE AGUA DULCE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BAGRE AZUL DE AGUA DULCE"
"BAGRE","BAGRE DE AGUA DULCE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BAGRE DE AGUA DULCE"
"BAGRE","BAGRE DE AGUA DULCE DESV. FCO.","DESV.","FCO.",NA,NA,NA,"BAGRE DE AGUA DULCE"
"BAGRE","BAGRE DE AGUA DULCE FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"BAGRE DE AGUA DULCE"
"BAGRE","BAGRE DE AGUA DULCE SECO","SECO",NA,NA,NA,NA,"BAGRE DE AGUA DULCE"
"BAGRE","BAGRE DE AGUA DULCE DESV. Y DESC. FCO.","DESV.","DESC.","FCO.",NA,NA,"BAGRE DE AGUA DULCE"
"BAGRE","BAGRE DE CANAL ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BAGRE DE CANAL"
"BAGRE","BAGRE DE CANAL DESV. FCO.","DESV.","FCO.",NA,NA,NA,"BAGRE DE CANAL"
"BAGRE","BAGRE DE CANAL DE CULTIVO DESV. FCO.","DE CULTIVO","DESV.","FCO.",NA,NA,"BAGRE DE CANAL"
"BAGRE","BAGRE DE CANAL DE CULTIVO ENT. FCO.","DE CULTIVO","ENT.","FCO.",NA,NA,"BAGRE DE CANAL"
"BAGRE","BAGRE DE GAVIA ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BAGRE DE GAVIA"
"BAGRE","BARBETA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BARBETA"
"BAGRE","BASA DE CULTIVO ENT. FCA.","DE CULTIVO","ENT.","FCA.",NA,NA,"BASA"
"BAGRE","BOSCH ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BOSCH"
"BAGRE","JOLOTE DE CULTIVO ENT. FCO.","DE CULTIVO","ENT.","FCO.",NA,NA,"JOLOTE"
"BAGRE","JUILE FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"JUILE"
"BAGRE","JUILE DESV. FCO.","DESV.","FCO.",NA,NA,NA,"JUILE"
"BAGRE","JUILE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"JUILE"
"BAGRE","JUILE DE CULTIVO ENT. FCO.","DE CULTIVO","ENT.","FCO.",NA,NA,"JUILE"
"BANDERA","BANDERA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"BANDERA"
"BANDERA","BANDERA FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"BANDERA"
"BANDERA","BANDERA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BANDERA"
"BANDERA","BANDERA DE CULTIVO ENT. FCA.","DE CULTIVO","ENT.","FCA.",NA,NA,"BANDERA"
"BANDERA","BANDERA DE AGUA DULCE DESV. FCA.","DESV.","FCA.",NA,NA,NA,"BANDERA DE AGUA DULCE"
"BANDERA","BANDERA DE AGUA DULCE ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BANDERA DE AGUA DULCE"
"BANDERA","BANDERA DE AGUA DULCE FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"BANDERA DE AGUA DULCE"
"BANDERA","BANDERILLA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"BANDERILLA"
"BANDERA","BANDERILLA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BANDERILLA"
"BANDERA","BANDERILLERO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BANDERILLERO"
"BANDERA","CACUMO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"CACUMO"
"BANDERA","CHIHUIL DESV. FCO.","DESV.","FCO.",NA,NA,NA,"CHIHUIL"
"BANDERA","CHIHUIL ENT. FCO.","ENT.","FCO.",NA,NA,NA,"CHIHUIL"
"BANDERA","CHIHUIL FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"CHIHUIL"
"BANDERA","CHIHUIL DESV. Y DESC. FCO.","DESV.","DESC.","FCO.",NA,NA,"CHIHUIL"
"BANDERA","CHIHUIL SECO","SECO",NA,NA,NA,NA,"CHIHUIL"
"BANDERA","CHIHUIL DE AGUA DULCE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"CHIHUIL DE AGUA DULCE"
"BANDERA","CHIHUIL DE AGUA DULCE DESV. FCO.","DESV.","FCO.",NA,NA,NA,"CHIHUIL DE AGUA DULCE"
"BANDERA","CHIHUIL DE AGUA DULCE FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"CHIHUIL DE AGUA DULCE"
"BANDERA","CUATETE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"CUATETE"
"BANDERA","CUATETE DESV. FCO.","DESV.","FCO.",NA,NA,NA,"CUATETE"
"BANDERA","CUATETE FILETE FCO.","FILETE","FCO.",NA,NA,NA,"CUATETE"
"BANDERA","TACAZONTLE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"TACAZONTLE"
"BAQUETA","BAQUETA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"BAQUETA"
"BAQUETA","BAQUETA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BAQUETA"
"BAQUETA","BAQUETA DESV. Y DESC. FCA.","DESV.","DESC.","FCA.",NA,NA,"BAQUETA"
"BAQUETA","BAQUETA FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"BAQUETA"
"BARRILETE","BARRILETE ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BARRILETE"
"BARRILETE","BARRILETE DESV. FCO.","DESV.","FCO.",NA,NA,NA,"BARRILETE"
"BARRILETE","BARRILETE ENT. FCO. (KATSUWONUS PELAMIS)","ENT.","FCO.",NA,NA,NA,"BARRILETE (KATSUWONUS PELAMIS)"
"BARRILETE","BARRILETE DESV. FCO. (KATSUWONUS PELAMIS)","DESV.","FCO.",NA,NA,NA,"BARRILETE (KATSUWONUS PELAMIS)"
"BARRILETE","BARRILETE IND. (KATSUWONUS PELAMIS)","IND.",NA,NA,NA,NA,"BARRILETE (KATSUWONUS PELAMIS)"
"BARRILETE","BARRILETE COCIDO (KATSUWONUS PELAMIS)",NA,NA,NA,NA,NA,"BARRILETE COCIDO (KATSUWONUS PELAMIS)"
"BARRILETE","BARRILETE NEGRO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BARRILETE NEGRO"
"BARRILETE","BARRILETE RAYADO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BARRILETE RAYADO"
"BERRUGATA","BERRUGATA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"BERRUGATA"
"BERRUGATA","BERRUGATA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BERRUGATA"
"BERRUGATA","BERRUGATA DESV. Y DESC. FCA.","DESV.","DESC.","FCA.",NA,NA,"BERRUGATA"
"BERRUGATA","BERRUGATA FILETE DE FCO.","FILETE DE","FCO.",NA,NA,NA,"BERRUGATA"
