"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
"Carcharhinus limbatus","TIBURON","TIBURON VOLADOR DESV. FCO. (CARCHARHINUS LIMBATUS)","DESV.","FCO.",NA,NA,NA,"TIBURON VOLADOR (CARCHARHINUS LIMBATUS)","CARCHARHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcharhinus limbatus","TIBURON","TIBURON VOLADOR DESV. Y DESC. FCO.  (CARCHARHINUS LIMBATUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON VOLADOR (CARCHARHINUS LIMBATUS)","CARCHARHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcharhinus limbatus","TIBURON","TIBURON VOLADOR, PUNTAS NEGRAS, JAQUETON DESV. FCO. (CARCHARHINUS LIMBATUS)","DESV.","FCO.",NA,NA,NA,"TIBURON VOLADOR, PUNTAS NEGRAS, JAQUETON (CARCHARHINUS LIMBATUS)","CARCHARHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcharhinus limbatus","TIBURON","TIBURON VOLADOR, PUNTAS NEGRAS, JAQUETON DESV. Y DESC. FCO.  (CARCHARHINUS LIMBATUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON VOLADOR, PUNTAS NEGRAS, JAQUETON (CARCHARHINUS LIMBATUS)","CARCHARHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcharhinus limbatus","TIBURON","TIBURON VOLADOR, PUNTAS NEGRAS, JAQUETON ENT. FCO. (CARCHARHINUS LIMBATUS)","ENT.","FCO.",NA,NA,NA,"TIBURON VOLADOR, PUNTAS NEGRAS, JAQUETON (CARCHARHINUS LIMBATUS)","CARCHARHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcharhinus obscurus","TIBURON","TIBURON PRIETO DESV. Y DESC. FCO. (CARCHARHINUS OBSCURUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON PRIETO (CARCHARHINUS OBSCURUS)","CARCHARHINUS OBSCURUS","Carcharhinus obscurus","Carcharhinus","Carcharhinidae"
"Carcharhinus obscurus","TIBURON","TIBURON PRIETO DESV. FCO. (CARCHARHINUS OBSCURUS)","DESV.","FCO.",NA,NA,NA,"TIBURON PRIETO (CARCHARHINUS OBSCURUS)","CARCHARHINUS OBSCURUS","Carcharhinus obscurus","Carcharhinus","Carcharhinidae"
"Carcharhinus obscurus","TIBURON","TIBURON PRIETO ENT. FCO. (CARCHARHINUS OBSCURUS)","ENT.","FCO.",NA,NA,NA,"TIBURON PRIETO (CARCHARHINUS OBSCURUS)","CARCHARHINUS OBSCURUS","Carcharhinus obscurus","Carcharhinus","Carcharhinidae"
"Carcharhinus plumbeus","TIBURON","TIBURON ALETA CARTON DESV. FCO. (CARCHARHINUS PLUMBEUS)","ALETA","DESV.","FCO.",NA,NA,"TIBURON CARTON (CARCHARHINUS PLUMBEUS)","CARCHARHINUS PLUMBEUS","Carcharhinus plumbeus","Carcharhinus","Carcharhinidae"
"Carcharhinus plumbeus","TIBURON","TIBURON ALETA CARTON DESV. Y DESC. (CARCHARHINUS PLUMBEUS)","ALETA","DESV.","DESC.",NA,NA,"TIBURON CARTON (CARCHARHINUS PLUMBEUS)","CARCHARHINUS PLUMBEUS","Carcharhinus plumbeus","Carcharhinus","Carcharhinidae"
