Index,main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean,recorded_scientific_name,recorded_scientific_name_clean,common_name_english_estimated,species_estimated,genus_estimated,family_estimated,source_of_estimate,classification_certainty
41,BERRUGATA,CHANO/BERRUGATA ALETA AMARILLA DESC. Y DESV. FCO.,DESC.,DESV.,FCO.,NA,NA,CHANO/BERRUGATA ALETA AMARILLA,NA,NA,Yellowfin croaker,Umbrina roncador,Umbrina,Sciaenidae,"Hastings & Findley, YEAR",
42,BERRUGATA,CHANO/BERRUGATA ALETA AMARILLA DESC. FCO.,DESC.,FCO.,NA,NA,NA,CHANO/BERRUGATA ALETA AMARILLA,NA,NA,Yellowfin croaker,Umbrina roncador,Umbrina,Sciaenidae,"Hastings & Findley, YEAR",
43,BERRUGATA,GURRUBATA DESV. FCA.,DESV.,FCA.,NA,NA,NA,GURRUBATA,NA,NA,croaker,NA,NA,Sciaenidae,logical conclusion based on research,
44,BERRUGATA,GURRUBATA ENT. FCA.,ENT.,FCA.,NA,NA,NA,GURRUBATA,NA,NA,croaker,NA,NA,Sciaenidae,logical conclusion based on research,
45,BERRUGATA,GURRUBATA FILETE DE FCO.,FILETE DE,FCO.,NA,NA,NA,GURRUBATA,NA,NA,croaker,NA,NA,Sciaenidae,logical conclusion based on research,
46,CAMARON,CAMARON BLANCO ENT. FCO. (LITOPENAEUS VANNAMEI),ENT.,FCO.,NA,NA,NA,CAMARON BLANCO (LITOPENAEUS VANNAMEI),LITOPENAEUS VANNAMEI,Litopenaeus vannamei,White shrimp,Litopenaeus vannamei,Penaeus,Penaeidae,taxize,high
47,CAMARON,CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI),DE CULTIVO,ENT.,FCO.,NA,NA,CAMARON BLANCO (LITOPENAEUS VANNAMEI),LITOPENAEUS VANNAMEI,Litopenaeus vannamei,White shrimp,Litopenaeus vannamei,Penaeus,Penaeidae,taxize,high
48,CAMARON,CAMARON BLANCO DESC. FCO. (LITOPENAEUS VANNAMEI),DESC.,FCO.,NA,NA,NA,CAMARON BLANCO (LITOPENAEUS VANNAMEI),LITOPENAEUS VANNAMEI,Litopenaeus vannamei,White shrimp,Litopenaeus vannamei,Penaeus,Penaeidae,taxize,high
49,CAMARON,CAMARON DE ALTA MAR DESC. FCO.,DE ALTA MAR,DESC.,FCO.,NA,NA,CAMARON,NA,NA,shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family",
50,CAMARON,CAMARON DE CULTIVO ENT. FCO.,DE CULTIVO,ENT.,FCO.,NA,NA,CAMARON,NA,NA,shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family",
51,CAMARON,CAMARON DE ALTA MAR POLVO DE,DE ALTA MAR,POLVO DE,NA,NA,NA,CAMARON,NA,NA,shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family",
52,CAMARON,CAMARON DE ALTA MAR DESC. SECO,DE ALTA MAR,DESC.,SECO,NA,NA,CAMARON,NA,NA,shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family",
53,CAMARON,CAMARON AZUL DESC. FCO.,DESC.,FCO.,NA,NA,NA,CAMARON AZUL,NA,NA,Blue shrimp,Litopenaeus stylirostris,Penaeus,Penaeidae,logical conclusion based on research; Litopenaeus is a newer genus synonym,
54,CAMARON,CAMARON AZUL ENT. FCO.,ENT.,FCO.,NA,NA,NA,CAMARON AZUL,NA,NA,Blue shrimp,Litopenaeus stylirostris,Penaeus,Penaeidae,logical conclusion based on research; Litopenaeus is a newer genus synonym,
55,CAMARON,CAMARON AZUL DE CULTIVO ENT. FCO.,DE CULTIVO,ENT.,FCO.,NA,NA,CAMARON AZUL,NA,NA,Blue shrimp,Litopenaeus stylirostris,Penaeus,Penaeidae,logical conclusion based on research; Litopenaeus is a newer genus synonym,
56,CAMARON,CAMARON AZUL DESC. CONG.,DESC.,CONG.,NA,NA,NA,CAMARON AZUL,NA,NA,Blue shrimp,Litopenaeus stylirostris,Penaeus,Penaeidae,logical conclusion based on research; Litopenaeus is a newer genus synonym,
57,CAMARON,CAMARON BLANCO DE CULTIVO DESC. FCO.,DE CULTIVO,DESC.,FCO.,NA,NA,CAMARON BLANCO,LITOPENAEUS VANNAMEI,NA,White shrimp,Litopenaeus vannamei,Penaeus,Penaeidae,logical conclusion based on research; logical match to taxize,high
58,CAMARON,CAMARON BLANCO DE CULTIVO VIVO,DE CULTIVO VIVO,NA,NA,NA,NA,CAMARON BLANCO,LITOPENAEUS VANNAMEI,NA,White shrimp,Litopenaeus vannamei,Penaeus,Penaeidae,logical conclusion based on research; logical match to taxize,high
59,CAMARON,CAMARON BLANCO DESC. FCO.,DESC.,FCO.,NA,NA,NA,CAMARON BLANCO,LITOPENAEUS VANNAMEI,NA,White shrimp,Litopenaeus vannamei,Penaeus,Penaeidae,logical conclusion based on research; logical match to taxize,high
60,CAMARON,CAMARON BLANCO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CAMARON BLANCO,LITOPENAEUS VANNAMEI,NA,White shrimp,Litopenaeus vannamei,Penaeus,Penaeidae,logical conclusion based on research; logical match to taxize,high
