"year","estimated_genus_name","Major_Functional_Group","estimated_taxa_group","total_biomass_kg","total_revenue"
2001,"Lobatus","Molluscs excl. Cephalopods","CARACOL",10000,0
2001,"Lutjanus","Demersal marine fishes","GUACHINANGO",2650341.35,52336140
2001,"Megapitaria","Molluscs excl. Cephalopods","ALMEJA",1740347,5683314
2001,"Megastraea","Molluscs excl. Cephalopods","CARACOL",1762877,4079056
2001,"Menticirrhus","Demersal marine fishes","BERRUGATA",232364.3,808488
2001,"Merluccius","Demersal marine fishes","OTRAS",655861.5,3429211
2001,"Mesocentrotus","Echinoderms","ERIZO",1852527,42632375
2001,"Microlepidotus","Demersal marine fishes","OTRAS",119474,1170850
2001,"Micropogonias","Demersal marine fishes","BERRUGATA",2222582.5,9721907
2001,"Mobula","Demersal marine fishes","RAYA Y SIMILARES",901850.55,4872954
2001,"Mugil","Demersal marine fishes","LISA",2140619,10708950
2001,"Mustelus","Sharks","TIBURON",124934.25,1085004
2001,"Mycteroperca","Demersal marine fishes","CABRILLA",534179,6793209
2001,"Nematistius","Demersal marine fishes","OTRAS",1534.1,6908
2001,"Nicholsina","Demersal marine fishes","OTRAS",4005,59713
2001,"Oligoplites","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",204,766
2001,"Opisthonema","Anchovy & Sardine (small pelagics)","SARDINA",44310481.56,5371050
2001,"Orthopristis","Demersal marine fishes","OTRAS",44721,169825
2001,"Panulirus","Crustaceans","LANGOSTA",1665550,91944135
2001,"Paralabrax","Demersal marine fishes","OTRAS",3298968.3,13141424
2001,"Paranthias","Demersal marine fishes","OTRAS",1919,20787
2001,"Parapsettus","Demersal marine fishes","OTRAS",1744,8720
2001,"Penaeus","Shrimps, prawns","CAMARON",5258919.8,315355411
2001,"Prionace","Sharks","TIBURON",88338.5,484521
2001,"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES",1143684.9,8663372
2001,"Pseudupeneus","Demersal marine fishes","OTRAS",24445.7,508537
2001,"Rimapenaeus","Shrimps, prawns","CAMARON",232081.2,3486993
2001,"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO",121931.1,274002
2001,"Sardinops","Anchovy & Sardine (small pelagics)","SARDINA",295729983.56,104448187
2001,"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA",13201205.64,8652436
2001,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA",4391278.52,33102061
2001,"Scorpaena","Demersal marine fishes","OTRAS",110373.2,836637
2001,"Selene","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",48132,172993
2001,"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL",1255158.2,8862472
2001,"Sicyonia","Shrimps, prawns","CAMARON",484839.6,3798060
2001,"Sphoeroides","Demersal marine fishes","OTRAS",461726.1,5951580
2001,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",1035,8280
2001,"Sphyrna","Sharks","TIBURON",4280.7,20690
2001,"Squatina","Sharks","TIBURON",937138.75,8006066
2001,"Stereolepis","Demersal marine fishes","OTRAS",131.5,2469
2001,"Strongylocentrotus","Echinoderms","ERIZO",365383,8603899
2001,"Synodus","Demersal marine fishes","OTRAS",24121,110732
2001,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN",90398795,638380762
2001,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO",161762.9,800870
2001,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",575084.25,21638845
2002,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",1439.5,9041
2002,"Acanthurus","Demersal marine fishes","OTRAS",10437,118477
2002,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES",7446.3,30569
2002,"Alopias","Sharks","TIBURON",20372,159952
