"OHI_region_est","year","GeoMean_StockStatus","GeoMean_CPUE","StockStatus_SubScore","CPUE_SubScore","FIS_Score"
"region_4",2018,0.904321046904323,0.86253419358514,90.4321046904323,86.253419358514,89.0392095797929
"region_4",2019,0.923902131885401,0.941424485881215,92.3902131885401,94.1424485881215,92.9742916550672
"region_4",2020,0.897304292859335,0.906640871136774,89.7304292859335,90.6640871136774,90.0416485618481
"region_4",2021,0.885419294762421,0.95931737282775,88.5419294762421,95.931737282775,91.0051987450864
"region_4",2022,0.833522023802304,0.910321183580203,83.3522023802304,91.0321183580203,85.912174372827
"region_4",2023,0.787223111963701,0.973115150687607,78.7223111963701,97.3115150687607,84.9187124871669
"region_4",2024,0.750387340305662,0.967564680173742,75.0387340305662,96.7564680173742,82.2779786928355
"region_5",2018,0.830568180644588,0.93120942898374,83.0568180644588,93.1209428983741,86.4115263424305
"region_5",2019,0.979017880296882,0.953470295712476,97.9017880296882,95.3470295712476,97.0502018768747
"region_5",2020,0.97811769662009,0.463370105708668,97.811769662009,46.3370105708668,80.6535166316282
"region_5",2021,0.749947433440428,0.995235523315107,74.9947433440428,99.5235523315107,83.1710130065321
"region_5",2022,0.781895293750795,0.995287341591851,78.1895293750795,99.5287341591851,85.302597636448
"region_5",2023,0.813949760783322,0.275336892050818,81.3949760783322,27.5336892050818,63.4412137872487
"region_5",2024,0.783229776090355,0.986089806554659,78.3229776090355,98.6089806554659,85.0849786245123
"region_6",2018,0.935008980981792,0.854717061584587,93.5008980981792,85.4717061584587,90.824500784939
"region_6",2019,0.927501140233111,0.924993462320295,92.7501140233111,92.4993462320295,92.6665247595506
"region_6",2020,0.88766848737393,0.888072603442818,88.766848737393,88.8072603442818,88.7803192730226
"region_6",2021,0.873301397218716,0.986270182135734,87.3301397218716,98.6270182135734,91.0957658857722
"region_6",2022,0.880067024417488,0.980249702100778,88.0067024417488,98.0249702100778,91.3461250311918
"region_6",2023,0.876004324654442,0.99992869377992,87.6004324654442,99.992869377992,91.7312447696268
"region_6",2024,0.844879048795295,0.972631519623296,84.4879048795295,97.2631519623296,88.7463205737962
"region_7",2018,0.748282184311364,0.994069199545021,74.8282184311364,99.4069199545021,83.021118938925
"region_7",2019,0.708667201863665,0.955908639396661,70.8667201863665,95.5908639396661,79.1081014374664
"region_7",2020,0.741479249797795,0.857157580908518,74.1479249797795,85.7157580908518,78.0038693501369
"region_7",2021,0.835791350150681,0.985001749362931,83.5791350150681,98.5001749362931,88.5528149888098
"region_7",2022,0.691364550156403,0.889383392799619,69.1364550156403,88.9383392799619,75.7370831037475
"region_7",2023,0.671235107810085,0.932201869916219,67.1235107810085,93.2201869916219,75.822402851213
"region_7",2024,0.626682550984434,0.995405690941446,62.6682550984434,99.5405690941446,74.9590264303438
"region_8",2018,0.984366135958359,0.974949792596139,98.4366135958359,97.4949792596139,98.1227354837619
"region_8",2019,0.952045792553315,0.974130986210917,95.2045792553315,97.4130986210917,95.9407523772515
"region_8",2020,0.94888094680548,0.886739382608388,94.888094680548,88.6739382608388,92.8167092073116
"region_8",2021,0.910220981907885,0.931312780711353,91.0220981907885,93.1312780711353,91.7251581509041
"region_8",2022,0.923696221064594,0.90053376601702,92.3696221064594,90.053376601702,91.5975402715403
"region_8",2023,0.888356274419779,0.97951165901591,88.8356274419779,97.951165901591,91.8741402618489
"region_8",2024,0.914859379993892,0.973929993230604,91.4859379993892,97.3929993230604,93.4549584406129
"region_9",2018,0.756300638129244,0.894393405124529,75.6300638129244,89.4393405124529,80.2331560461006
"region_9",2019,0.859833034210778,0.959338453462812,85.9833034210778,95.9338453462812,89.300150729479
"region_9",2020,0.95748460573613,0.903304064863844,95.748460573613,90.3304064863844,93.9424425445368
"region_9",2021,0.946248534097282,0.971152257813179,94.6248534097282,97.1152257813179,95.4549775335914
"region_9",2022,0.94248954128501,0.969590454514244,94.248954128501,96.9590454514244,95.1523179028088
"region_9",2023,0.940808277874258,0.99489347755624,94.0808277874258,99.489347755624,95.8836677768252
"region_9",2024,0.930660163945626,0.947132843922644,93.0660163945626,94.7132843922644,93.6151057271299
NA,2018,0.999195346431228,0.969318155738282,99.9195346431228,96.9318155738282,98.9236282866913
NA,2019,0.9935315068701,0.971630317888616,99.35315068701,97.1630317888616,98.6231110542938
NA,2020,0.997504657429351,0.825047570063411,99.7504657429351,82.5047570063411,94.0018961640704
NA,2021,0.999240150057882,1,99.9240150057882,100,99.9493433371921
NA,2022,0.98882412195011,0.998376934756984,98.882412195011,99.8376934756984,99.2008392885734
NA,2023,0.961140704100054,0.884956703105273,96.1140704100054,88.4956703105273,93.5746037101793
NA,2024,0.976504876447622,0.775984790212465,97.6504876447622,77.5984790212465,90.966484770257
