recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,estimated_taxa_group,Manual_Classification_Notes,ornamentalFLAG_1,IHH_functional_major_groups_sm,Major_Functional_Group,Assignment_for_Major_Functional_Group
OTRAS,pez señorita,Albula vulpes,high confidence,match to Hem's key,Albula,genus derived from known species,NA,Bonefish,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,pollo,Helicolenus dactylopterus,high confidence,match to Hem's key,Helicolenus,genus derived from known species,NA,Blackbelly rosefish,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,sargo,Diplodus sargus,high confidence,match to Hem's key,Diplodus,genus derived from known species,NA,White seabream,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,serrano,Alphestes galapagensis,high confidence,match to Hem's key,Alphestes,genus derived from known species,NA,Galapagos rockcod,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,soldadito,Bellator militaris,high confidence,match to Hem's key,Bellator,genus derived from known species,NA,Horned sea robin,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,tambor,unknown,not applicable,no data in keys,NA,genus unknown,NA,Some sort of drum,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
ORNATO,estrella limpiadora,Luidia alternata,not applicable,no data in keys,NA,genus unknown,NA,Sea stars; likely ornamental harvest,YES,NA,Echinoderms,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,estrella mar,unknown,not applicable,no data in keys,NA,genus unknown,NA,Sea stars; likely ornamental harvest,YES,NA,Echinoderms,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,galleta mar,unknown,not applicable,no data in keys,NA,genus unknown,NA,Sand dollar; likely ornamental harvest,YES,NA,Echinoderms,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,barbo,unknown,not applicable,no data in keys,NA,genus unknown,NA,Freshwater bard (small) fish,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,barbo tigre,Sumatrano,virtually certain,name was recorded in CONAPESCA,Sumatrano,genus derived from known species,NA,Freshwater bard (small) fish,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,beta,unknown,not applicable,no data in keys,NA,genus unknown,NA,Beta fish,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,bolin,Cyprinodon variegatus,high confidence,match to Hem's key,Cyprinodon,genus derived from known species,NA,Sheepshead minnow,NO,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,cebra rayada,unknown,not applicable,no data in keys,NA,genus unknown,NA,Zabra danio small fish,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,coruco,Cathorops aguadulce,high confidence,match to Hem's key,Cathorops,genus derived from known species,NA,Freshwater sea catfish,NO,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,crappie,unknown,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,Freshwater sunfish,NO,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cuchilla,Dorosoma cepedianum,high confidence,match to Hem's key,Dorosoma,genus derived from known species,NA,Gizzard shad,NO,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,espada,unknown,not applicable,no data in keys,NA,genus unknown,NA,Swordtail minnow,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,espadin,Clupanodon phalerica,high confidence,match to Hem's key,Clupanodon,genus derived from known species,NA,Japanese gizzard shad,NO,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,guppy,unknown,not applicable,no data in keys,NA,genus unknown,NA,freshwater guppy,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,molly,unknown,not applicable,no data in keys,NA,genus unknown,NA,freshwater molly,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,monja,unknown,virtually certain,name was recorded in CONAPESCA,Tetra,genus derived from known species,NA,Likely tetra; freshwater; likely ornamental,POSSIBLY,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,naca,Dormitator maculatus,high confidence,match to Hem's key,Dormitator,genus derived from known species,NA,"Fat sleeper, cute freshwater fish",POSSIBLY,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,peje lagarto,Lepidoseus viridis,high confidence,match to Hem's key,Lepidoseus,genus derived from known species,NA,Possibly a freshwater gar?,NO,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,tetra buenos aires,unknown,not applicable,no data in keys,NA,genus unknown,NA,freshwater tetra,YES,NA,Freshwater fishes,Assigned_Manually: OTRAS treated differently than other major groups
