"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5"
"OTRAS","BACINICO","bacinico","ENT","FCO",NA,NA,NA
"ATUN","ATUN OJO GRANDE","atun ojo grande","ENT","FCO",NA,NA,NA
"MOJARRA","MOJARRA GUAPOTA","mojarra guapota","ENT","FCA",NA,NA,NA
"OTRAS","MARLIN RAYADO","marlin rayado","ENT","FCO",NA,NA,NA
"JUREL","","","COCINERO","DESV","FCO",NA,NA
"ALGAS","ALGA GIGARTINA","alga gigartina","SECA",NA,NA,NA,NA
"OTRAS","OTRAS ESPECIES SIN REGISTRO OFICIAL","otras especies sin registro oficial","DE AGUA DULCE",NA,NA,NA,NA
"CORVINA","CORVINA AZUL","corvina azul","ENT","FCA",NA,NA,NA
"ALMEJA","ALMEJA ROÑOSA","almeja roñosa","ENT","FCA",NA,NA,NA
"OTRAS","CUBERA","cubera","ENT","FCA",NA,NA,NA
"RAYA Y SIMILARES","RAYA COLA RATA","raya cola rata","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON AMARILLO","tiburon amarillo","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON","camaron","DE CULTIVO","ENT","FCO",NA,NA
"ALMEJA","ALMEJA VOLADORA","almeja voladora","ENT","FCA",NA,NA,NA
"OTRAS","COCUYO","cocuyo","ENT","FCO",NA,NA,NA
"OTRAS","CODORNIZ","codorniz","ENT","FCA",NA,NA,NA
"ALMEJA","ALMEJA ROÑOSA","almeja roñosa","S.C.","FCA",NA,NA,NA
"OTRAS","GUACAMAYA","guacamaya","ENT","FCA",NA,NA,NA
"OTRAS","TONZAC","tonzac","ENT","FCO",NA,NA,NA
"JUREL","","","COCINERO","FILETE DE","FCO",NA,NA
"ALMEJA","ALMEJA PATA MULA","almeja pata mula","S.C.","FCA",NA,NA,NA
"OTRAS","BOTETE AMARILLO","botete amarillo","ENT","FCO",NA,NA,NA
"OTRAS","PEZ PEINE","pez peine","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON MOTEADO","camaron moteado","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON","camaron","DE ALTA MAR","DESC","SECO",NA,NA
"MOJARRA","MOJARRA CAMARONERA","mojarra camaronera","ENT","FCA",NA,NA,NA
"OTRAS","ISABELITA","isabelita","DESV","FCA",NA,NA,NA
"MOJARRA","MOJARRA GARABATA","mojarra garabata","ENT","FCA",NA,NA,NA
"BAGRE","BAGRE GAVIA","bagre gavia","ENT","FCO",NA,NA,NA
"OTRAS","RATINA","ratina","ENT","FCA",NA,NA,NA
"ESPECIE GENERICA","ESPECIE GENERICA","especie generica",NA,NA,NA,NA,NA
"OTRAS","NEGRILLO","negrillo","DESV","FCO",NA,NA,NA
"OTRAS","TAMBOR","tambor","DESV","DESC","FCO",NA,NA
"OTRAS","MARLIN AZUL","marlin azul","ENT","FCO",NA,NA,NA
"ROBALO","ROBALO RAYADO","robalo rayado","ENT","FCO",NA,NA,NA
"RAYA Y SIMILARES","OBISPO","obispo","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA MANO LEON","almeja mano leon","S.C.","FCA",NA,NA,NA
"RUBIA Y VILLAJAIBA","RABIRRUBIA","rabirrubia","ENT","FCA",NA,NA,NA
"OTRAS","COCODRILO","cocodrilo","ENT","FCO",NA,NA,NA
"SARDINA","SARDINA MACHETE","sardina machete","ENT","FCA",NA,NA,NA
"OTRAS","PESCADILLA","pescadilla","ENT","FCA",NA,NA,NA
"CAZON","CAZON PLAYA","cazon playa","DESV","FCO",NA,NA,NA
"MERO","AGUAJI","aguaji","ENT","FCO",NA,NA,NA
"OTRAS","ACOCIL","acocil","COCIDO",NA,NA,NA,NA
"OTRAS","PEZ MAR","pez mar","DESV","FCO",NA,NA,NA
"RUBIA Y VILLAJAIBA","GUANAPO","guanapo","ENT","FCO",NA,NA,NA
"OTRAS","CUBERA","cubera","DESV","FCA",NA,NA,NA
"OTRAS","CRIOLLO","criollo","ENT","FCO",NA,NA,NA
"OTRAS","PEZ VOLADOR","pez volador","ENT","FCO",NA,NA,NA
"CAMARON","CAMARON","camaron","DE ALTA MAR","ENT","COCIDO",NA,NA
"PETO","CARITO","carito","DESV","FCO",NA,NA,NA
"OTRAS","PICUA CORSARIA","picua corsaria","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON POROSO","tiburon poroso","DESV","FCO",NA,NA,NA
"OTRAS","GALLINETA","gallineta","ENT","FCA",NA,NA,NA
"OTRAS","RIPIO","ripio","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON AMARILLO","tiburon amarillo","DESV","DESC","FCO",NA,NA
"OTRAS","RANA TORO","rana toro","ANCA","FCA",NA,NA,NA
"CARPA","CARPA ISRAEL","carpa israel","ENT","FCA",NA,NA,NA
"OTRAS","MEDUSA BOLA CAÑON","medusa bola cañon","ENT","FCA",NA,NA,NA
"OTRAS","MADRE PERLA","madre perla","ENT","FCA",NA,NA,NA
"CABRILLA","CABRILLA ROCA","cabrilla roca","ENT","FCA",NA,NA,NA
"CARPA","CARPA PLATEADA","carpa plateada","FILETE DE","FCO",NA,NA,NA
"OTRAS","ARBOLITO","arbolito","FCO",NA,NA,NA,NA
"MACARELA","MACARELA BONITO","macarela bonito","ENT","FCO",NA,NA,NA
"CARACOL","CARACOL TOMBURRO","caracol tomburro","S.C.","FCO",NA,NA,NA
"OTRAS","BURRIQUETE","burriquete","ENT","FCO",NA,NA,NA
"BAGRE","BOSCH","bosch","ENT","FCO",NA,NA,NA
"OTRAS","CHENCAY","chencay","ENT","FCO",NA,NA,NA
"OTRAS","RANA LEOPARDO","rana leopardo","ANCAS DE","FCA",NA,NA,NA
"OTRAS","PEJE PLUMA","peje pluma","DESV","FCO",NA,NA,NA
"OTRAS","CORAL","coral","ENT","FCO",NA,NA,NA
"TIBURON","ISALA","isala","ENT","FCA",NA,NA,NA
"OTRAS","LAGARTIJA","lagartija","ENT","FCA",NA,NA,NA
"CAMARON","CAMARON SIETE BARBAS","camaron siete barbas","DESC","FCO",NA,NA,NA
