"year","OHI_Region_No","estimated_genus_name","Annual_Catch_kg","Avg_Catch_Ref2018.22","n_years_Ref2018.22","status","control","notes","Stock_Status"
2018,"region_2","lutjanus",18082.83,25672.566,5,"maximally harvested","no increase",NA,1
2019,"region_2","lutjanus",18359.9,25672.566,5,"maximally harvested","no increase",NA,1
2020,"region_2","lutjanus",31340.55,25672.566,5,"maximally harvested","no increase",NA,0.819148547169721
2021,"region_2","lutjanus",31924.6,25672.566,5,"maximally harvested","no increase",NA,0.804162495379738
2022,"region_2","lutjanus",28654.95,25672.566,5,"maximally harvested","no increase",NA,0.895920809493648
2023,"region_2","lutjanus",37390,25672.566,5,"maximally harvested","no increase",NA,0.686615833110457
2024,"region_2","lutjanus",31745.4,25672.566,5,"maximally harvested","no increase",NA,0.808701922168251
2018,"region_2","megapitaria",1311,2097.25,4,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2019,"region_2","megapitaria",4753,2097.25,4,"maximally harvested","no increase","Within region variation in status, took most conservative",0.441247633073848
2021,"region_2","megapitaria",900,2097.25,4,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2022,"region_2","megapitaria",1425,2097.25,4,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2023,"region_2","megapitaria",1015,2097.25,4,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2021,"region_2","megastraea",7029,7029,1,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration",0.5
2018,"region_2","mugil",50060.5,33802.7,5,"deteriorating","decrease",NA,0.337618481637219
2019,"region_2","mugil",36503,33802.7,5,"deteriorating","decrease",NA,0.5
2020,"region_2","mugil",33814,33802.7,5,"deteriorating","decrease",NA,0.5
2021,"region_2","mugil",23173,33802.7,5,"deteriorating","decrease",NA,0.657231522925683
2022,"region_2","mugil",25463,33802.7,5,"deteriorating","decrease",NA,0.623358489114775
2019,"region_2","mustelus",4212.5,18588.6875,4,"maximally harvested","no increase",NA,1
2020,"region_2","mustelus",1028.75,18588.6875,4,"maximally harvested","no increase",NA,1
2021,"region_2","mustelus",1981.25,18588.6875,4,"maximally harvested","no increase",NA,1
2022,"region_2","mustelus",67132.25,18588.6875,4,"maximally harvested","no increase",NA,0.276896536314513
2023,"region_2","mustelus",14497,18588.6875,4,"maximally harvested","no increase",NA,1
2024,"region_2","mustelus",40101,18588.6875,4,"maximally harvested","no increase",NA,0.463546732001696
2020,"region_2","nasolamia",125,125,1,"maximally harvested","no increase",NA,1
2018,"region_2","negaprion",980,499,2,"maximally harvested","no increase",NA,0.509183673469388
2019,"region_2","negaprion",18,499,2,"maximally harvested","no increase",NA,1
2018,"region_2","octopus",3459.8,2924.5,2,"maximally harvested","no increase",NA,0.845280073992716
2020,"region_2","octopus",2389.2,2924.5,2,"maximally harvested","no increase",NA,1
2018,"region_2","panopea",302962,336318,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2019,"region_2","panopea",309718,336318,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2020,"region_2","panopea",372669,336318,5,"maximally harvested","no increase","Within region variation in status, took most conservative",0.902457676919733
2021,"region_2","panopea",397944,336318,5,"maximally harvested","no increase","Within region variation in status, took most conservative",0.845139014534708
2022,"region_2","panopea",298297,336318,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2023,"region_2","panopea",457782,336318,5,"maximally harvested","no increase","Within region variation in status, took most conservative",0.734668466650065
2024,"region_2","panopea",339651,336318,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2018,"region_2","panulirus",15659.5,10860.1,5,NA,NA,NA,NA
2019,"region_2","panulirus",14330,10860.1,5,NA,NA,NA,NA
2020,"region_2","panulirus",9908,10860.1,5,NA,NA,NA,NA
2021,"region_2","panulirus",6335,10860.1,5,NA,NA,NA,NA
2022,"region_2","panulirus",8068,10860.1,5,NA,NA,NA,NA
2023,"region_2","panulirus",7094,10860.1,5,NA,NA,NA,NA
2024,"region_2","panulirus",5442,10860.1,5,NA,NA,NA,NA
2018,"region_2","paralabrax",270248.5,387449.37,5,"maximally harvested","no increase",NA,1
2019,"region_2","paralabrax",399187.05,387449.37,5,"maximally harvested","no increase",NA,1
2020,"region_2","paralabrax",439082.9,387449.37,5,"maximally harvested","no increase",NA,0.882405964796169
2021,"region_2","paralabrax",425058.2,387449.37,5,"maximally harvested","no increase",NA,1
2022,"region_2","paralabrax",403670.2,387449.37,5,"maximally harvested","no increase",NA,1
2023,"region_2","paralabrax",453533,387449.37,5,"maximally harvested","no increase",NA,0.85429146280425
2024,"region_2","paralabrax",551829.3,387449.37,5,"maximally harvested","no increase",NA,0.702118155016415
2018,"region_2","prionace",23580,18157.625,4,"maximally harvested","no increase",NA,0.770043469041561
2020,"region_2","prionace",3320,18157.625,4,"maximally harvested","no increase",NA,1
2021,"region_2","prionace",10308.5,18157.625,4,"maximally harvested","no increase",NA,1
2022,"region_2","prionace",35422,18157.625,4,"maximally harvested","no increase",NA,0.512608689514991
2023,"region_2","prionace",4505,18157.625,4,"maximally harvested","no increase",NA,1
2024,"region_2","prionace",87251.5,18157.625,4,"maximally harvested","no increase",NA,0.208106737419987
2018,"region_2","rhizoprionodon",44583.19,76725.658,5,"maximally harvested","no increase",NA,1
2019,"region_2","rhizoprionodon",15778.35,76725.658,5,"maximally harvested","no increase",NA,1
2020,"region_2","rhizoprionodon",96032.75,76725.658,5,"maximally harvested","no increase",NA,0.79895304466445
2021,"region_2","rhizoprionodon",53479.45,76725.658,5,"maximally harvested","no increase",NA,1
2022,"region_2","rhizoprionodon",173754.55,76725.658,5,"maximally harvested","no increase",NA,0.441574957317664
2018,"region_2","scomberomorus",2943447,2315515.82,5,"maximally harvested","no increase",NA,0.786668086770375
2019,"region_2","scomberomorus",3060744,2315515.82,5,"maximally harvested","no increase",NA,0.756520578003257
2020,"region_2","scomberomorus",2271568.8,2315515.82,5,"maximally harvested","no increase",NA,1
2021,"region_2","scomberomorus",1760539.3,2315515.82,5,"maximally harvested","no increase",NA,1
2022,"region_2","scomberomorus",1541280,2315515.82,5,"maximally harvested","no increase",NA,1
2023,"region_2","scomberomorus",1153887,2315515.82,5,"maximally harvested","no increase",NA,1
2024,"region_2","scomberomorus",2561787,2315515.82,5,"maximally harvested","no increase",NA,0.903867425355816
2019,"region_2","sphoeroides",28,2777.825,4,NA,NA,"Seems they might lump these Botetes into one species?",NA
2020,"region_2","sphoeroides",842,2777.825,4,NA,NA,"Seems they might lump these Botetes into one species?",NA
2021,"region_2","sphoeroides",4261.5,2777.825,4,NA,NA,"Seems they might lump these Botetes into one species?",NA
2022,"region_2","sphoeroides",5979.8,2777.825,4,NA,NA,"Seems they might lump these Botetes into one species?",NA
2023,"region_2","sphoeroides",1293,2777.825,4,NA,NA,"Seems they might lump these Botetes into one species?",NA
2024,"region_2","sphoeroides",2533.2,2777.825,4,NA,NA,"Seems they might lump these Botetes into one species?",NA
2018,"region_2","sphyrna",335.3,3645.2,3,"maximally harvested","no increase",NA,1
2021,"region_2","sphyrna",350,3645.2,3,"maximally harvested","no increase",NA,1
2022,"region_2","sphyrna",10250.3,3645.2,3,"maximally harvested","no increase",NA,0.355618859935807
2022,"region_2","strongylocentrotus",900,900,1,"deteriorating","decrease",NA,0.5
2019,"region_2","thunnus",133618,121319,3,"deteriorating","no increase","recovery phase",0.453977009085602
2021,"region_2","thunnus",3462,121319,3,"deteriorating","no increase","recovery phase",0.985731830958053
2022,"region_2","thunnus",226877,121319,3,"deteriorating","no increase","recovery phase",0.26736734001243
2024,"region_2","thunnus",3564391,121319,3,"deteriorating","no increase","recovery phase",0.0170181946930065
2018,"region_3","alopias",71009,23979.1,5,"maximally harvested","no increase",NA,0.337690996915884
2019,"region_3","alopias",28567.6,23979.1,5,"maximally harvested","no increase",NA,0.839380977050925
2020,"region_3","alopias",4665.5,23979.1,5,"maximally harvested","no increase",NA,1
2021,"region_3","alopias",11425.4,23979.1,5,"maximally harvested","no increase",NA,1
2022,"region_3","alopias",4228,23979.1,5,"maximally harvested","no increase",NA,1
2023,"region_3","alopias",2854,23979.1,5,"maximally harvested","no increase",NA,1
2024,"region_3","alopias",4107.9,23979.1,5,"maximally harvested","no increase",NA,1
2018,"region_3","carcharhinus",24470.6,17145.62,5,"maximally harvested","no increase",NA,0.700662018912491
2019,"region_3","carcharhinus",22834,17145.62,5,"maximally harvested","no increase",NA,0.750881142156433
2020,"region_3","carcharhinus",10937.5,17145.62,5,"maximally harvested","no increase",NA,1
2021,"region_3","carcharhinus",9167.5,17145.62,5,"maximally harvested","no increase",NA,1
2022,"region_3","carcharhinus",18318.5,17145.62,5,"maximally harvested","no increase",NA,1
2023,"region_3","carcharhinus",6250,17145.62,5,"maximally harvested","no increase",NA,1
2024,"region_3","carcharhinus",13922.4,17145.62,5,"maximally harvested","no increase",NA,1
2018,"region_3","centropomus",242,167.32,5,"maximally harvested","no increase",NA,0.691404958677686
2019,"region_3","centropomus",185.4,167.32,5,"maximally harvested","no increase",NA,0.902481121898598
2020,"region_3","centropomus",294.8,167.32,5,"maximally harvested","no increase",NA,0.567571234735414
