"year","OHI_region_est","estimated_species_name","annual_Catch_kg","mean_Catch_2018.22_kg","n.years_Catch_2018.22","Year_of_Recommendation","status","control","notes","Stock_Status"
2018,"region_5","rhizoprionodon longurio",921553.25,663978.42,5,2023,"maximally harvested","no increase",NA,0.720499244075153
2019,"region_5","rhizoprionodon longurio",870242.65,663978.42,5,2023,"maximally harvested","no increase",NA,0.76298078472711
2020,"region_5","rhizoprionodon longurio",623114.2,663978.42,5,2023,"maximally harvested","no increase",NA,1
2021,"region_5","rhizoprionodon longurio",464571.25,663978.42,5,2023,"maximally harvested","no increase",NA,1
2022,"region_5","rhizoprionodon longurio",440410.75,663978.42,5,2023,"maximally harvested","no increase",NA,1
2018,"region_5","scomberomorus sierra",156769,1059044.146,5,2023,"maximally harvested","no increase",NA,1
2019,"region_5","scomberomorus sierra",134570.1,1059044.146,5,2023,"maximally harvested","no increase",NA,1
2020,"region_5","scomberomorus sierra",39005,1059044.146,5,2023,"maximally harvested","no increase",NA,1
2021,"region_5","scomberomorus sierra",1292722,1059044.146,5,2023,"maximally harvested","no increase",NA,0.819235803212137
2022,"region_5","scomberomorus sierra",3672154.63,1059044.146,5,2023,"maximally harvested","no increase",NA,0.288398570514445
2023,"region_5","scomberomorus sierra",4521639,1059044.146,5,2023,"maximally harvested","no increase",NA,0.234216872687094
2024,"region_5","scomberomorus sierra",2452402.32,1059044.146,5,2023,"maximally harvested","no increase",NA,0.431839481378406
2018,"region_5","stomolophus meleagris",62989180,47477651.8,5,2017,"maximally harvested","no increase",NA,0.75374297299949
2019,"region_5","stomolophus meleagris",45241758,47477651.8,5,2017,"maximally harvested","no increase",NA,1
2020,"region_5","stomolophus meleagris",7362403,47477651.8,5,2017,"maximally harvested","no increase",NA,1
2021,"region_5","stomolophus meleagris",71178401,47477651.8,5,2017,"maximally harvested","no increase",NA,0.667023298261505
2022,"region_5","stomolophus meleagris",50616517,47477651.8,5,2017,"maximally harvested","no increase",NA,1
2023,"region_5","stomolophus meleagris",682962,47477651.8,5,2017,"maximally harvested","no increase",NA,1
2024,"region_5","stomolophus meleagris",34755083.57,47477651.8,5,2017,"maximally harvested","no increase",NA,1
2019,"region_6","callinectes bellicosus",19400,13711.25,4,2023,"maximally harvested","no increase",NA,0.706765463917526
2020,"region_6","callinectes bellicosus",33600,13711.25,4,2023,"maximally harvested","no increase",NA,0.408072916666667
2021,"region_6","callinectes bellicosus",1780,13711.25,4,2023,"maximally harvested","no increase",NA,1
2022,"region_6","callinectes bellicosus",65,13711.25,4,2023,"maximally harvested","no increase",NA,1
2023,"region_6","callinectes bellicosus",300,13711.25,4,2023,"maximally harvested","no increase",NA,1
2018,"region_6","carcharhinus limbatus",1959,23413.4,5,2023,"maximally harvested","no increase",NA,1
2019,"region_6","carcharhinus limbatus",47332,23413.4,5,2023,"maximally harvested","no increase",NA,0.494663229950139
2020,"region_6","carcharhinus limbatus",28037,23413.4,5,2023,"maximally harvested","no increase",NA,0.835089346221065
2021,"region_6","carcharhinus limbatus",39159,23413.4,5,2023,"maximally harvested","no increase",NA,0.597905973084093
2022,"region_6","carcharhinus limbatus",580,23413.4,5,2023,"maximally harvested","no increase",NA,1
2018,"region_6","crassostrea gigas",84084,139321,5,2017,"maximally harvested","no increase",NA,1
2019,"region_6","crassostrea gigas",74830,139321,5,2017,"maximally harvested","no increase",NA,1
2020,"region_6","crassostrea gigas",65116,139321,5,2017,"maximally harvested","no increase",NA,1
2021,"region_6","crassostrea gigas",98226,139321,5,2017,"maximally harvested","no increase",NA,1
2022,"region_6","crassostrea gigas",374349,139321,5,2017,"maximally harvested","no increase",NA,0.372168751619478
2023,"region_6","crassostrea gigas",252658,139321,5,2017,"maximally harvested","no increase",NA,0.551421288856874
2024,"region_6","crassostrea gigas",80444,139321,5,2017,"maximally harvested","no increase",NA,1
2018,"region_6","dosinia ponderosa",26362,71097.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2019,"region_6","dosinia ponderosa",35862,71097.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2020,"region_6","dosinia ponderosa",19289,71097.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2021,"region_6","dosinia ponderosa",101374,71097.8,5,2023,"maximally harvested","no increase","highly variable catch",0.70134156687119
2022,"region_6","dosinia ponderosa",172602,71097.8,5,2023,"maximally harvested","no increase","highly variable catch",0.411917590757929
2023,"region_6","dosinia ponderosa",78126,71097.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2024,"region_6","dosinia ponderosa",9672,71097.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2018,"region_6","litopenaeus vannamei",30904683.6,39453060.12,5,2017,"maximally harvested","no increase",NA,1
2019,"region_6","litopenaeus vannamei",37259082,39453060.12,5,2017,"maximally harvested","no increase",NA,1
2020,"region_6","litopenaeus vannamei",40969863,39453060.12,5,2017,"maximally harvested","no increase",NA,1
2021,"region_6","litopenaeus vannamei",42603570,39453060.12,5,2017,"maximally harvested","no increase",NA,1
2022,"region_6","litopenaeus vannamei",45528102,39453060.12,5,2017,"maximally harvested","no increase",NA,0.866565009013554
2019,"region_6","lutjanus colorado",4950,2648.25,4,2023,"maximally harvested","no increase",NA,0.535
2020,"region_6","lutjanus colorado",3883,2648.25,4,2023,"maximally harvested","no increase",NA,0.682011331444759
2021,"region_6","lutjanus colorado",510,2648.25,4,2023,"maximally harvested","no increase",NA,1
2022,"region_6","lutjanus colorado",1250,2648.25,4,2023,"maximally harvested","no increase",NA,1
2023,"region_6","lutjanus colorado",433,2648.25,4,2023,"maximally harvested","no increase",NA,1
2024,"region_6","lutjanus colorado",3326,2648.25,4,2023,"maximally harvested","no increase",NA,0.796226698737222
2018,"region_6","lutjanus guttatus",13450.1,63827.06,5,2023,"maximally harvested","no increase",NA,1
2019,"region_6","lutjanus guttatus",18338,63827.06,5,2023,"maximally harvested","no increase",NA,1
2020,"region_6","lutjanus guttatus",97285.1,63827.06,5,2023,"maximally harvested","no increase",NA,0.656082586130867
2021,"region_6","lutjanus guttatus",115859.5,63827.06,5,2023,"maximally harvested","no increase",NA,0.550900530383784
2022,"region_6","lutjanus guttatus",74202.6,63827.06,5,2023,"maximally harvested","no increase",NA,0.860172824132847
2023,"region_6","lutjanus guttatus",34921,63827.06,5,2023,"maximally harvested","no increase",NA,1
2024,"region_6","lutjanus guttatus",32115.2,63827.06,5,2023,"maximally harvested","no increase",NA,1
2018,"region_6","merluccius productus",7269,15260.32,5,2022,"maximally harvested","no increase",NA,1
2019,"region_6","merluccius productus",18600,15260.32,5,2022,"maximally harvested","no increase",NA,0.820447311827957
2020,"region_6","merluccius productus",10667.4,15260.32,5,2022,"maximally harvested","no increase",NA,1
2021,"region_6","merluccius productus",34269.6,15260.32,5,2022,"maximally harvested","no increase",NA,0.445301958587203
2022,"region_6","merluccius productus",5495.6,15260.32,5,2022,"maximally harvested","no increase",NA,1
2023,"region_6","merluccius productus",37498,15260.32,5,2022,"maximally harvested","no increase",NA,0.406963571390474
2024,"region_6","merluccius productus",55235,15260.32,5,2022,"maximally harvested","no increase",NA,0.276279894994116
2018,"region_6","mugil cephalus",48506,52124.6,5,2023,"deteriorating","decrease",NA,0.5
2019,"region_6","mugil cephalus",61094,52124.6,5,2023,"deteriorating","decrease",NA,0.426593446164926
2020,"region_6","mugil cephalus",50410,52124.6,5,2023,"deteriorating","decrease",NA,0.5
2021,"region_6","mugil cephalus",46002,52124.6,5,2023,"deteriorating","decrease",NA,0.55873042670831
2022,"region_6","mugil cephalus",54611,52124.6,5,2023,"deteriorating","decrease",NA,0.5
2018,"region_6","mustelus albipinnis",373750,321527.88,5,2023,"maximally harvested","no increase",NA,0.860275264214047
2019,"region_6","mustelus albipinnis",274241.15,321527.88,5,2023,"maximally harvested","no increase",NA,1
2020,"region_6","mustelus albipinnis",283207.5,321527.88,5,2023,"maximally harvested","no increase",NA,1
2021,"region_6","mustelus albipinnis",326166.25,321527.88,5,2023,"maximally harvested","no increase",NA,1
2022,"region_6","mustelus albipinnis",350274.5,321527.88,5,2023,"maximally harvested","no increase",NA,1
2023,"region_6","mustelus albipinnis",265614,321527.88,5,2023,"maximally harvested","no increase",NA,1
2024,"region_6","mustelus albipinnis",367840.5,321527.88,5,2023,"maximally harvested","no increase",NA,0.874095919291106
2018,"region_6","rhizoprionodon longurio",110050.75,278635.13,5,2023,"maximally harvested","no increase",NA,1
2019,"region_6","rhizoprionodon longurio",227074.15,278635.13,5,2023,"maximally harvested","no increase",NA,1
2020,"region_6","rhizoprionodon longurio",291806.4,278635.13,5,2023,"maximally harvested","no increase",NA,1
2021,"region_6","rhizoprionodon longurio",432196.1,278635.13,5,2023,"maximally harvested","no increase",NA,0.644696076618924
2022,"region_6","rhizoprionodon longurio",332048.25,278635.13,5,2023,"maximally harvested","no increase",NA,0.83914048636004
2018,"region_6","scomberomorus sierra",410711,653039.92,5,2023,"maximally harvested","no increase",NA,1
2019,"region_6","scomberomorus sierra",736886,653039.92,5,2023,"maximally harvested","no increase",NA,0.886215669723675
2020,"region_6","scomberomorus sierra",915756.6,653039.92,5,2023,"maximally harvested","no increase",NA,0.71311516619154
2021,"region_6","scomberomorus sierra",684147,653039.92,5,2023,"maximally harvested","no increase",NA,1
2022,"region_6","scomberomorus sierra",517699,653039.92,5,2023,"maximally harvested","no increase",NA,1
2023,"region_6","scomberomorus sierra",550337,653039.92,5,2023,"maximally harvested","no increase",NA,1
2024,"region_6","scomberomorus sierra",536075,653039.92,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","alopias pelagicus",42125,68003.5,4,2023,"maximally harvested","no increase",NA,1
2020,"region_7","alopias pelagicus",56625,68003.5,4,2023,"maximally harvested","no increase",NA,1
2021,"region_7","alopias pelagicus",40625,68003.5,4,2023,"maximally harvested","no increase",NA,1
2022,"region_7","alopias pelagicus",132639,68003.5,4,2023,"maximally harvested","no increase",NA,0.512696115018961
2018,"region_7","callinectes bellicosus",450,17322.25,4,2023,"maximally harvested","no increase",NA,1
2019,"region_7","callinectes bellicosus",65747,17322.25,4,2023,"maximally harvested","no increase",NA,0.263468295131337
2021,"region_7","callinectes bellicosus",692,17322.25,4,2023,"maximally harvested","no increase",NA,1
2022,"region_7","callinectes bellicosus",2400,17322.25,4,2023,"maximally harvested","no increase",NA,1
2023,"region_7","callinectes bellicosus",15200,17322.25,4,2023,"maximally harvested","no increase",NA,1
2019,"region_7","carcharhinus falciformis",34505,88230,4,2023,"maximally harvested","no increase",NA,1
2020,"region_7","carcharhinus falciformis",158260,88230,4,2023,"maximally harvested","no increase",NA,0.557500315935802
2021,"region_7","carcharhinus falciformis",42880,88230,4,2023,"maximally harvested","no increase",NA,1
2022,"region_7","carcharhinus falciformis",117275,88230,4,2023,"maximally harvested","no increase",NA,0.752334257088041
2018,"region_7","carcharhinus limbatus",19750,30775.25,4,2023,"maximally harvested","no increase",NA,1
2019,"region_7","carcharhinus limbatus",20333,30775.25,4,2023,"maximally harvested","no increase",NA,1
2020,"region_7","carcharhinus limbatus",51908,30775.25,4,2023,"maximally harvested","no increase",NA,0.592880673499268
2021,"region_7","carcharhinus limbatus",31110,30775.25,4,2023,"maximally harvested","no increase",NA,1
2018,"region_7","centropomus armatus",6449,12006.68,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","centropomus armatus",9657,12006.68,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","centropomus armatus",11281.9,12006.68,5,2023,"maximally harvested","no increase",NA,1
2021,"region_7","centropomus armatus",8523,12006.68,5,2023,"maximally harvested","no increase",NA,1
2022,"region_7","centropomus armatus",24122.5,12006.68,5,2023,"maximally harvested","no increase",NA,0.497737796662867
2023,"region_7","centropomus armatus",10354,12006.68,5,2023,"maximally harvested","no increase",NA,1
2024,"region_7","centropomus armatus",9108.7,12006.68,5,2023,"maximally harvested","no increase",NA,1
2018,"region_7","cetengraulis mysticetus",33742113.64,47346198.544,5,2022,"maximally harvested","no increase",NA,1
2019,"region_7","cetengraulis mysticetus",17911105.28,47346198.544,5,2022,"maximally harvested","no increase",NA,1
2020,"region_7","cetengraulis mysticetus",12299607.6,47346198.544,5,2022,"maximally harvested","no increase",NA,1
2021,"region_7","cetengraulis mysticetus",115815808.24,47346198.544,5,2022,"maximally harvested","no increase",NA,0.408806010712169
2022,"region_7","cetengraulis mysticetus",56962357.96,47346198.544,5,2022,"maximally harvested","no increase",NA,0.831183964983461
2018,"region_7","crassostrea gigas",59107,39717.4,5,2017,"maximally harvested","no increase",NA,0.671957636151386
2019,"region_7","crassostrea gigas",33300,39717.4,5,2017,"maximally harvested","no increase",NA,1
2020,"region_7","crassostrea gigas",34180,39717.4,5,2017,"maximally harvested","no increase",NA,1
2021,"region_7","crassostrea gigas",26000,39717.4,5,2017,"maximally harvested","no increase",NA,1
2022,"region_7","crassostrea gigas",46000,39717.4,5,2017,"maximally harvested","no increase",NA,0.863421739130435
2023,"region_7","crassostrea gigas",53500,39717.4,5,2017,"maximally harvested","no increase",NA,0.742381308411215
2024,"region_7","crassostrea gigas",57650,39717.4,5,2017,"maximally harvested","no increase",NA,0.688940156114484
2018,"region_7","dosidicus gigas",75962.5,127417.32,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2019,"region_7","dosidicus gigas",99326,127417.32,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2020,"region_7","dosidicus gigas",62386.5,127417.32,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2021,"region_7","dosidicus gigas",231727,127417.32,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.549859619293393
2022,"region_7","dosidicus gigas",167684.6,127417.32,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.759862980858111
2023,"region_7","dosidicus gigas",36676,127417.32,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2024,"region_7","dosidicus gigas",83318,127417.32,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2018,"region_7","dosinia ponderosa",188629,133564.4,5,2023,"maximally harvested","no increase","highly variable catch",0.708079881672489
2019,"region_7","dosinia ponderosa",63537,133564.4,5,2023,"maximally harvested","no increase","highly variable catch",1
2020,"region_7","dosinia ponderosa",39234,133564.4,5,2023,"maximally harvested","no increase","highly variable catch",1
2021,"region_7","dosinia ponderosa",111811,133564.4,5,2023,"maximally harvested","no increase","highly variable catch",1
2022,"region_7","dosinia ponderosa",264611,133564.4,5,2023,"maximally harvested","no increase","highly variable catch",0.504757549761726
2023,"region_7","dosinia ponderosa",348261,133564.4,5,2023,"maximally harvested","no increase","highly variable catch",0.383518108545028
2024,"region_7","dosinia ponderosa",297409,133564.4,5,2023,"maximally harvested","no increase","highly variable catch",0.449093336112895
2018,"region_7","engraulis mordax",103389121.48,186468297.352,5,2022,"maximally harvested","no increase",NA,1
2019,"region_7","engraulis mordax",131492989,186468297.352,5,2022,"maximally harvested","no increase",NA,1
2020,"region_7","engraulis mordax",155647105.24,186468297.352,5,2022,"maximally harvested","no increase",NA,1
2021,"region_7","engraulis mordax",252225657.92,186468297.352,5,2022,"maximally harvested","no increase",NA,0.739291549042736
2022,"region_7","engraulis mordax",289586613.12,186468297.352,5,2022,"maximally harvested","no increase",NA,0.643912007336923
2018,"region_7","hoplopagrus guentherii",558,1787.64,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","hoplopagrus guentherii",490,1787.64,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","hoplopagrus guentherii",1893.8,1787.64,5,2023,"maximally harvested","no increase",NA,1
2021,"region_7","hoplopagrus guentherii",1848,1787.64,5,2023,"maximally harvested","no increase",NA,1
2022,"region_7","hoplopagrus guentherii",4148.4,1787.64,5,2023,"maximally harvested","no increase",NA,0.430922765403529
2023,"region_7","hoplopagrus guentherii",3079,1787.64,5,2023,"maximally harvested","no increase",NA,0.58059110100682
2024,"region_7","hoplopagrus guentherii",3344,1787.64,5,2023,"maximally harvested","no increase",NA,0.534581339712919
2019,"region_7","litopenaeus stylirostris",19467.2,21479.2,4,2017,"maximally harvested","no increase",NA,1
2020,"region_7","litopenaeus stylirostris",30633.6,21479.2,4,2017,"maximally harvested","no increase",NA,0.701164734148125
2021,"region_7","litopenaeus stylirostris",22540.8,21479.2,4,2017,"maximally harvested","no increase",NA,1
2022,"region_7","litopenaeus stylirostris",13275.2,21479.2,4,2017,"maximally harvested","no increase",NA,1
2018,"region_7","litopenaeus vannamei",27492817,34148195.24,5,2017,"maximally harvested","no increase",NA,1
2019,"region_7","litopenaeus vannamei",37985524.8,34148195.24,5,2017,"maximally harvested","no increase",NA,0.898979161662129
2020,"region_7","litopenaeus vannamei",32744123.6,34148195.24,5,2017,"maximally harvested","no increase",NA,1
2021,"region_7","litopenaeus vannamei",35414321,34148195.24,5,2017,"maximally harvested","no increase",NA,1
2022,"region_7","litopenaeus vannamei",37104189.8,34148195.24,5,2017,"maximally harvested","no increase",NA,1
2018,"region_7","lutjanus argentiventris",2474,3233.92,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","lutjanus argentiventris",2205.5,3233.92,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","lutjanus argentiventris",765.7,3233.92,5,2023,"maximally harvested","no increase",NA,1
2021,"region_7","lutjanus argentiventris",4975.8,3233.92,5,2023,"maximally harvested","no increase",NA,0.649929659552233
2022,"region_7","lutjanus argentiventris",5748.6,3233.92,5,2023,"maximally harvested","no increase",NA,0.56255784016978
2023,"region_7","lutjanus argentiventris",5734,3233.92,5,2023,"maximally harvested","no increase",NA,0.563990233693757
2024,"region_7","lutjanus argentiventris",26779.3,3233.92,5,2023,"maximally harvested","no increase",NA,0.120761931790599
2018,"region_7","lutjanus colorado",473,9924.02,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","lutjanus colorado",8016.6,9924.02,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","lutjanus colorado",5411.5,9924.02,5,2023,"maximally harvested","no increase",NA,1
2021,"region_7","lutjanus colorado",32470,9924.02,5,2023,"maximally harvested","no increase",NA,0.305636587619341
2022,"region_7","lutjanus colorado",3249,9924.02,5,2023,"maximally harvested","no increase",NA,1
2023,"region_7","lutjanus colorado",13469,9924.02,5,2023,"maximally harvested","no increase",NA,0.736804514069344
2024,"region_7","lutjanus colorado",20471.3,9924.02,5,2023,"maximally harvested","no increase",NA,0.484777224699946
2018,"region_7","lutjanus guttatus",5482.8,13440.54,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","lutjanus guttatus",7876,13440.54,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","lutjanus guttatus",40759,13440.54,5,2023,"maximally harvested","no increase",NA,0.329756372825634
2021,"region_7","lutjanus guttatus",6811.5,13440.54,5,2023,"maximally harvested","no increase",NA,1
2022,"region_7","lutjanus guttatus",6273.4,13440.54,5,2023,"maximally harvested","no increase",NA,1
2023,"region_7","lutjanus guttatus",17969,13440.54,5,2023,"maximally harvested","no increase",NA,0.7479848628193
2024,"region_7","lutjanus guttatus",17404,13440.54,5,2023,"maximally harvested","no increase",NA,0.772267294874741
2019,"region_7","lutjanus novemfasciatus",205.7,2373.7375,4,2023,"maximally harvested","no increase",NA,1
2020,"region_7","lutjanus novemfasciatus",218.5,2373.7375,4,2023,"maximally harvested","no increase",NA,1
2021,"region_7","lutjanus novemfasciatus",6413.75,2373.7375,4,2023,"maximally harvested","no increase",NA,0.370101344767102
2022,"region_7","lutjanus novemfasciatus",2657,2373.7375,4,2023,"maximally harvested","no increase",NA,0.893390101618367
2024,"region_7","lutjanus novemfasciatus",2102,2373.7375,4,2023,"maximally harvested","no increase",NA,1
2018,"region_7","lutjanus peru",2037.5,2585.5,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","lutjanus peru",3613.75,2585.5,5,2023,"maximally harvested","no increase",NA,0.715461777931512
2020,"region_7","lutjanus peru",4875,2585.5,5,2023,"maximally harvested","no increase",NA,0.530358974358974
2021,"region_7","lutjanus peru",1795,2585.5,5,2023,"maximally harvested","no increase",NA,1
2022,"region_7","lutjanus peru",606.25,2585.5,5,2023,"maximally harvested","no increase",NA,1
2023,"region_7","lutjanus peru",87391,2585.5,5,2023,"maximally harvested","no increase",NA,0.0295854264169079
2024,"region_7","lutjanus peru",59218.75,2585.5,5,2023,"maximally harvested","no increase",NA,0.0436601583113456
2018,"region_7","merluccius productus",190790,152155.4,5,2022,"maximally harvested","no increase",NA,0.797501965511819
2019,"region_7","merluccius productus",234452,152155.4,5,2022,"maximally harvested","no increase",NA,0.648983160732261
2020,"region_7","merluccius productus",74600,152155.4,5,2022,"maximally harvested","no increase",NA,1
2021,"region_7","merluccius productus",17760,152155.4,5,2022,"maximally harvested","no increase",NA,1
2022,"region_7","merluccius productus",243175,152155.4,5,2022,"maximally harvested","no increase",NA,0.625703300092526
2023,"region_7","merluccius productus",162635,152155.4,5,2022,"maximally harvested","no increase",NA,1
2024,"region_7","merluccius productus",1127350,152155.4,5,2022,"maximally harvested","no increase",NA,0.134967312724531
2018,"region_7","mugil cephalus",79568,59077.4,5,2023,"deteriorating","decrease",NA,0.371238437562839
2019,"region_7","mugil cephalus",67608,59077.4,5,2023,"deteriorating","decrease",NA,0.436911312270737
2020,"region_7","mugil cephalus",56435,59077.4,5,2023,"deteriorating","decrease",NA,0.5
2021,"region_7","mugil cephalus",59566,59077.4,5,2023,"deteriorating","decrease",NA,0.5
2022,"region_7","mugil cephalus",32210,59077.4,5,2023,"deteriorating","decrease",NA,0.727391523662179
2018,"region_7","mustelus albipinnis",3842.2,22167.54,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","mustelus albipinnis",117.5,22167.54,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","mustelus albipinnis",3679.25,22167.54,5,2023,"maximally harvested","no increase",NA,1
2021,"region_7","mustelus albipinnis",50301.25,22167.54,5,2023,"maximally harvested","no increase",NA,0.44069560895604
2022,"region_7","mustelus albipinnis",52897.5,22167.54,5,2023,"maximally harvested","no increase",NA,0.419065929391748
2023,"region_7","mustelus albipinnis",69000,22167.54,5,2023,"maximally harvested","no increase",NA,0.321268695652174
2024,"region_7","mustelus albipinnis",173488.4,22167.54,5,2023,"maximally harvested","no increase",NA,0.127775344057585
2018,"region_7","opisthonema libertate",59707713.14,96959152.972,5,2022,"maximally harvested","no increase",NA,1
2019,"region_7","opisthonema libertate",119014538.4,96959152.972,5,2022,"maximally harvested","no increase",NA,0.814683267065463
2020,"region_7","opisthonema libertate",93297990.32,96959152.972,5,2022,"maximally harvested","no increase",NA,1
2021,"region_7","opisthonema libertate",89000110.28,96959152.972,5,2022,"maximally harvested","no increase",NA,1
2022,"region_7","opisthonema libertate",123775412.72,96959152.972,5,2022,"maximally harvested","no increase",NA,0.783347442285143
2018,"region_7","panulirus inflatus",600,1875,4,2023,"development potential","increase",NA,1
2020,"region_7","panulirus inflatus",1220,1875,4,2023,"development potential","increase",NA,1
2021,"region_7","panulirus inflatus",2596,1875,4,2023,"development potential","increase",NA,1
2022,"region_7","panulirus inflatus",3084,1875,4,2023,"development potential","increase",NA,1
2023,"region_7","panulirus inflatus",3227,1875,4,2023,"development potential","increase",NA,1
2024,"region_7","panulirus inflatus",5470,1875,4,2023,"development potential","increase",NA,1
2018,"region_7","rhizoprionodon longurio",55093.35,126893.45,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","rhizoprionodon longurio",99961.5,126893.45,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","rhizoprionodon longurio",195726.4,126893.45,5,2023,"maximally harvested","no increase",NA,0.648320563807437
2021,"region_7","rhizoprionodon longurio",155896,126893.45,5,2023,"maximally harvested","no increase",NA,0.81396219274388
2022,"region_7","rhizoprionodon longurio",127790,126893.45,5,2023,"maximally harvested","no increase",NA,1
2018,"region_7","sardinops sagax",210958824.96,183429169.388,5,2022,"maximally harvested","no increase",NA,0.869502233067425
2019,"region_7","sardinops sagax",146395762.46,183429169.388,5,2022,"maximally harvested","no increase",NA,1
2020,"region_7","sardinops sagax",240620052.8,183429169.388,5,2022,"maximally harvested","no increase",NA,0.762318714726838
2021,"region_7","sardinops sagax",245803654.32,183429169.388,5,2022,"maximally harvested","no increase",NA,0.746242645966534
2022,"region_7","sardinops sagax",73367552.4,183429169.388,5,2022,"maximally harvested","no increase",NA,1
2018,"region_7","scomber japonicus",94934205.54,54311940.732,5,2022,"maximally harvested","no increase",NA,0.5721008610444
2019,"region_7","scomber japonicus",85934141.12,54311940.732,5,2022,"maximally harvested","no increase",NA,0.632018194679549
2020,"region_7","scomber japonicus",40311946.96,54311940.732,5,2022,"maximally harvested","no increase",NA,1
2021,"region_7","scomber japonicus",20450312.84,54311940.732,5,2022,"maximally harvested","no increase",NA,1
2022,"region_7","scomber japonicus",29929097.2,54311940.732,5,2022,"maximally harvested","no increase",NA,1
2018,"region_7","scomberomorus sierra",939651,887115.758,5,2023,"maximally harvested","no increase",NA,1
2019,"region_7","scomberomorus sierra",858219.9,887115.758,5,2023,"maximally harvested","no increase",NA,1
2020,"region_7","scomberomorus sierra",757243.3,887115.758,5,2023,"maximally harvested","no increase",NA,1
2021,"region_7","scomberomorus sierra",1109756.09,887115.758,5,2023,"maximally harvested","no increase",NA,0.799379040127637
2022,"region_7","scomberomorus sierra",770708.5,887115.758,5,2023,"maximally harvested","no increase",NA,1
2023,"region_7","scomberomorus sierra",631927,887115.758,5,2023,"maximally harvested","no increase",NA,1
2024,"region_7","scomberomorus sierra",657536,887115.758,5,2023,"maximally harvested","no increase",NA,1
2018,"region_7","stomolophus meleagris",169500,3419593.8,5,2017,"maximally harvested","no increase",NA,1
2019,"region_7","stomolophus meleagris",175483,3419593.8,5,2017,"maximally harvested","no increase",NA,1
2020,"region_7","stomolophus meleagris",4960618,3419593.8,5,2017,"maximally harvested","no increase",NA,0.689348343291098
2021,"region_7","stomolophus meleagris",7128188,3419593.8,5,2017,"maximally harvested","no increase",NA,0.479728340498315
2022,"region_7","stomolophus meleagris",4664180,3419593.8,5,2017,"maximally harvested","no increase",NA,0.733160769953132
2023,"region_7","stomolophus meleagris",1193097,3419593.8,5,2017,"maximally harvested","no increase",NA,1
2024,"region_7","stomolophus meleagris",22298807.5,3419593.8,5,2017,"maximally harvested","no increase",NA,0.153353214067613
2018,"region_8","alopias pelagicus",275358.2,463792.11,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","alopias pelagicus",442999.45,463792.11,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","alopias pelagicus",751260.2,463792.11,5,2023,"maximally harvested","no increase",NA,0.617352163737677
2021,"region_8","alopias pelagicus",595610.25,463792.11,5,2023,"maximally harvested","no increase",NA,0.778683896054509
2022,"region_8","alopias pelagicus",253732.45,463792.11,5,2023,"maximally harvested","no increase",NA,1
2018,"region_8","alopias vulpinus",284374.5,219218.4,5,2023,"maximally harvested","no increase",NA,0.77087924550197
2019,"region_8","alopias vulpinus",172848.4,219218.4,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","alopias vulpinus",67933,219218.4,5,2023,"maximally harvested","no increase",NA,1
2021,"region_8","alopias vulpinus",23534,219218.4,5,2023,"maximally harvested","no increase",NA,1
2022,"region_8","alopias vulpinus",547402.1,219218.4,5,2023,"maximally harvested","no increase",NA,0.400470513357548
2018,"region_8","callinectes bellicosus",1070047,1710693.8,5,2023,"maximally harvested","no increase",NA,1
2019,"region_8","callinectes bellicosus",1317623,1710693.8,5,2023,"maximally harvested","no increase",NA,1
2020,"region_8","callinectes bellicosus",1575350,1710693.8,5,2023,"maximally harvested","no increase",NA,1
