"Region","Stock","Major_Functional_Group","estimated_taxa_group","estimated_family_name","Source","Comment","Sufficient_No_Years","Yes_Run","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","st_b.low","st_b.hi","int_yr","int_b.low","int_b.hi","end_b.low","end_b.hi","q.start","q.end","btype","force.cmsy"
"GOC","Haemulon","Demersal marine fishes","RUBIO","Haemulidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Haemulopsis","Demersal marine fishes","RONCO","Haemulidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Hexaplex","Molluscs excl. Cephalopods","CARACOL","Muricidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Hoplopagrus","Demersal marine fishes","PARGO","Lutjanidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Hypanus","Demersal marine fishes","RAYA Y SIMILARES","Dasyatidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Hyporthodus","Demersal marine fishes","BAQUETA","Serranidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Istiophorus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Istiophoridae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Lamna","Demersal marine fishes","PETO","Lamnidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Lobatus","Molluscs excl. Cephalopods","CARACOL","Strombidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Lutjanus","Demersal marine fishes","GUACHINANGO","Lutjanidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Megapitaria","Molluscs excl. Cephalopods","ALMEJA","Veneridae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Menticirrhus","Demersal marine fishes","BERRUGATA","Sciaenidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Merluccius","Demersal marine fishes","OTRAS","Merlucciidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Microlepidotus","Demersal marine fishes","OTRAS","Haemulidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Micropogonias","Demersal marine fishes","BERRUGATA","Sciaenidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Mobula","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Mugil","Demersal marine fishes","LISA","Mugilidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Mustelus","Sharks","TIBURON","Triakidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
