"OHI_Region_No","Major_Functional_Group","OLD_CPUE_2003.2013","NEW_CPUE_2003.2013","Percent_Diff"
"Region_4_5_6_Sonora_TBD","Marine fishes NEI",1491.15346994536,1885.04591836735,0.264152856403457
"Region_4_5_6_Sonora_TBD","Molluscs excl. Cephalopods",8454.24411764706,7952.3511627907,-0.0593657987481967
"Region_4_5_6_Sonora_TBD","Pelagic marine fishes",57454.2356120072,38360.6178083856,-0.332327418513793
"Region_4_5_6_Sonora_TBD","Sharks",1553.83395709354,1055.84507908612,-0.320490407442836
"Region_4_5_6_Sonora_TBD","Shrimps, prawns",1226.42602509726,719.054006622517,-0.41369965093044
"Region_4_5_6_Sonora_TBD",NA,16587.6832070279,13556.3802232855,-0.182744205197871
"Region_5","Cephalopods",487.341342282315,129.272049286641,-0.73474023631725
"Region_5","Crustaceans",1009.50302876481,982.060784971486,-0.0271839142740332
"Region_5","Demersal marine fishes",1019.92542840855,533.669190559983,-0.476756657207087
"Region_5","Marine fishes NEI",171.229338349799,79.4962121212121,-0.535732527571811
"Region_5","Molluscs excl. Cephalopods",2389.75240712587,2403.54727398206,0.00577250882352927
"Region_5","Other marine invertebrates",107.7,107.7,0
"Region_5","Pelagic marine fishes",1707.19725536285,2074.80789069784,0.215329912334503
"Region_5","Sharks",828.313695119139,392.93283818541,-0.525623154004603
"Region_5","Shrimps, prawns",306.869693870927,148.526572520605,-0.515994653473091
"Region_5",NA,12068.0869300531,8690.11243093923,-0.279909692289482
"Region_6","Cephalopods",1032.32600011934,770.269883120413,-0.25385015679992
"Region_6","Crustaceans",921.208235723447,824.360439991737,-0.105131274315685
"Region_6","Demersal marine fishes",338.766775355324,283.239812106568,-0.163909117682851
"Region_6","Marine algae",718.3,718.3,0
"Region_6","Marine fishes NEI",354.53829787234,280.888079470199,-0.207735578480893
"Region_6","Molluscs excl. Cephalopods",2340.84121444399,1912.01558752998,-0.183192958269864
"Region_6","Other marine invertebrates",596.47619047619,596.47619047619,0
"Region_6","Pelagic marine fishes",1173.46016529728,1013.099635506,-0.136656134169369
"Region_6","Sharks",461.027832296128,400.660567387417,-0.130940608526941
"Region_6","Shrimps, prawns",529.418260189997,327.363141041931,-0.381654986882305
"Region_6",NA,1964.27400089557,1487.92182729551,-0.242508007224489
"Region_7","Cephalopods",5031.44739873077,2958.96286775073,-0.411906230303202
"Region_7","Crustaceans",804.142563491831,740.853704100777,-0.0787035312696718
"Region_7","Demersal marine fishes",440.979995464653,293.529314347929,-0.334370453610618
"Region_7","Diadromous fishes",333.333333333333,333.333333333333,0
"Region_7","Marine fishes NEI",367.8607148669,210.951484135107,-0.426545223206467
"Region_7","Molluscs excl. Cephalopods",2682.67043497473,2451.39813891658,-0.0862097308126215
"Region_7","Other marine invertebrates",177.813782991202,143.07171314741,-0.195384571765795
"Region_7","Pelagic marine fishes",50287.13322622,37360.6676378772,-0.257053141808507
"Region_7","Sharks",708.700988280819,497.465507817465,-0.298060090159848
"Region_7","Shrimps, prawns",536.093610090815,184.989905478506,-0.654929844347206
"Region_7",NA,21117.8114803364,13872.9186814244,-0.343070246917298
"Region_8","Cephalopods",3074.25966597413,798.178885254945,-0.740367121850773
"Region_8","Crustaceans",1419.47739242359,783.460264946534,-0.448064288217462
"Region_8","Demersal marine fishes",183.036474665723,59.3536933175096,-0.67572751045437
"Region_8","Diadromous fishes",110.211648545914,51.4088562091503,-0.533544258820032
"Region_8","Marine fishes NEI",135.200692416699,38.9894331856531,-0.711618095375691
"Region_8","Molluscs excl. Cephalopods",1536.91002860443,784.487327303449,-0.489568476551752
"Region_8","Other marine invertebrates",790.996913580247,588.805555555556,-0.255615862152386
"Region_8","Pelagic marine fishes",24086.1306596197,5440.23836289445,-0.774133984417224
"Region_8","Sharks",880.348517212846,306.082164844023,-0.652317055280483
"Region_8","Shrimps, prawns",559.913707535594,137.968441290918,-0.753589813155007
"Region_8",NA,279.660844382273,68.7221176822212,-0.754266215443862
"Region_9","Cephalopods",116.507505265967,83.8194523470839,-0.280566070351103
"Region_9","Crustaceans",33.9589118275341,30.8517587164455,-0.0914974286240001
"Region_9","Demersal marine fishes",87.2232817520905,68.6963192278148,-0.212408455083514
"Region_9","Diadromous fishes",223.029609362273,177.673828125,-0.203362151630731
"Region_9","Marine fishes NEI",97.8607719728195,80.6930586846905,-0.175429980185495
"Region_9","Molluscs excl. Cephalopods",1428.3506462928,1139.52144790406,-0.202211690202525
"Region_9","Other marine invertebrates",25,25,0
"Region_9","Pelagic marine fishes",103.610988433252,81.5731389385808,-0.212697994951265
"Region_9","Sharks",222.75270055212,166.449398810119,-0.252761477649639
"Region_9","Shrimps, prawns",1845.42261771839,1263.52336285097,-0.315320322445627
"Region_9",NA,160.593379211491,123.011820515039,-0.234016862220452
