state,office_name_clean,landing_site_clean,final_lat,final_lon,final_lat.lon_level,final_lat.lon_source,location,OHI.region_geo.est,OHI_state.assign,OHI_region_est,GOC_mel.est,GOC_state.assign,GOC_region.assign,GOC_est
NAYARIT,CRUZ HUANACAXTLE,LAGUNA LAS FLORES Y GOLFO MEXICO,20.79144145,-105.3371448,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
JALISCO,BARRA NAVIDAD,LAGUNA LAS FLORES Y GOLFO MEXICO,19.62476112,-104.4256519,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,CABO SAN LUCAS,LAGUNA LAS FLORES Y GOLFO MEXICO,23.23958853,-109.853522,state_office,Hem's state.office key,land,Region_4,NA,Region_4,NA,NA,NA,NA
JALISCO,BARRA NAVIDAD,PUERTO VALLARTA,20.48680556,-105.1836111,state_site,Hem's state.site key,land,Region_9,NA,Region_9,yes,NA,yes,yes
SONORA,BAHIA KINO,BAHIA KINO,28.80836125,-111.9488426,state_office_site,Hem's state.site.office key,sea,Region_6,NA,Region_6,yes,yes,yes,yes
BAJA CALIFORNIA SUR,CABO SAN LUCAS,SAN LUCAS,22.891,-109.888,state_site,Mel's state.site key,sea,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,BAHIA ASUNCION,BAHIA ASUNCION,27.14090194,-114.2975581,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
NAYARIT,TEPIC,LAGUNA LAS FLORES Y GOLFO MEXICO,21.48266492,-104.5479942,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA SUR,SAN CARLOS,MATANCITAS,25.3,-112.03,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,PUERTO PENASCO,GUAYMAS,27.92151,-110.8915,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA SUR,SAN CARLOS,PICHILINGUE,24.27183215,-110.3275578,state_site,Hem's state.site key,sea,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA,BAHIA LOS ANGELES,BAHIA LOS ANGELES,28.98904736,-113.5554914,state_office_site,Hem's state.site.office key,land,Region_2,NA,Region_2,yes,NA,NA,yes
BAJA CALIFORNIA,TIJUANA,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
NAYARIT,CRUZ HUANACAXTLE,CRUZ HUANACAXTLE,20.75023028,-105.3826822,state_office_site,Hem's state.site.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
JALISCO,GUADALAJARA,LAGUNA LAS FLORES Y GOLFO MEXICO,20.95311483,-103.3689744,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
SONORA,GUAYMAS,GOLFO SANTA CLARA,31.68994861,-114.5009186,state_site,Hem's state.site key,land,Region_5,NA,Region_5,yes,yes,yes,yes
JALISCO,PUERTO VALLARTA,LAGUNA LAS FLORES Y GOLFO MEXICO,20.37019967,-104.9557712,state_office,Hem's state.office key,land,Region_9,NA,Region_9,NA,NA,yes,yes
SONORA,CD. OBREGON,PAREDON COLORADO,27.06665225,-109.932339,state_site,Hem's state.site key,sea,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,24.14671193,-110.308781,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,PUNTA ABREOJOS,PUNTA ABREOJOS,26.71515966,-113.5741649,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
SINALOA,EL FUERTE,LA PUERTA,24.78981,-107.0203678,state_site,Hem's state.site key,NA,NA,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA SUR,LA PAZ,SAN CARLOS,23.88059583,-110.2780146,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,no,NA,NA,no
NAYARIT,SAN BLAS,EL SAUZAL,21.54672474,-105.2582147,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
SONORA,GOLFO SANTA CLARA,GOLFO SANTA CLARA,31.68994861,-114.5009186,state_office_site,Hem's state.site.office key,land,Region_5,NA,Region_5,yes,yes,yes,yes
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,BAHIA TORTUGAS,27.69269284,-114.8961862,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
SONORA,HUATABAMPO,PARAJE NUEVO,26.97775279,-109.5011588,state_office,Hem's state.office key,land,Region_7,NA,Region_7,NA,yes,yes,yes
SONORA,HUATABAMPO,GUAYMAS,27.92151,-110.8915,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
SONORA,BAHIA KINO,SAN NICOLAS,28.61620264,-111.7250221,state_office_site,Hem's state.site.office key,land,Region_6,NA,Region_6,yes,yes,yes,yes
SONORA,GUAYMAS,LA PUERTA,27.64259056,-110.0003644,state_site,Hem's state.site key,NA,NA,NA,NA,NA,yes,NA,yes
BAJA CALIFORNIA SUR,SAN CARLOS,PTO ADOLFO LOPEZ MATEOS,25.1889,-112.1185,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SINALOA,MAZATLAN,"TEACAPAN, SIN.",23.49411631,-106.3796491,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,SANTIAGO IXCUINTLA,SAN BLAS,21.54173806,-105.2860464,state_site,Hem's state.site key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA,ISLA CEDROS,ISLA CEDROS,28.13316953,-115.201437,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ENSENADA,SAN FELIPE,31.76265972,-116.5975617,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,yes,NA,NA,yes
JALISCO,OCOTLAN,LAGUNA LAS FLORES Y GOLFO MEXICO,20.93491691,-102.3410148,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA,SAN FELIPE,EL SAUZAL,31.89217767,-116.6941701,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
JALISCO,CHAPALA,LAGUNA LAS FLORES Y GOLFO MEXICO,19.8385565,-103.3424721,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA,ISLA CEDROS,EL SAUZAL,31.89217767,-116.6941701,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,BAHIA KINO,GUAYMAS,27.92151,-110.8915,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA,ISLA CEDROS,LA PUERTA,28.90768636,-115.1959653,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
SONORA,HUATABAMPO,SANTA BARBARA,27.01218215,-109.4299249,state_office_site,Hem's state.site.office key,land,Region_7,NA,Region_7,yes,yes,yes,yes
NAYARIT,SANTIAGO IXCUINTLA,NO CONSIDERADO,21.98386651,-104.8967609,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA,ENSENADA,LA PUERTA,31.68036483,-116.4415546,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA,SAN QUINTIN,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
SINALOA,MAZATLAN,NO CONSIDERADO,23.49411631,-106.3796491,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA,ENSENADA,NO CONSIDERADO,31.68036483,-116.4415546,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
SONORA,GUAYMAS,NO CONSIDERADO,27.99268803,-110.8650876,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,land,Region_7,NA,Region_7,NA,yes,yes,yes
SONORA,HUATABAMPO,NO CONSIDERADO,26.97775279,-109.5011588,state_office,Hem's state.office key,land,Region_7,NA,Region_7,NA,yes,yes,yes
SINALOA,TOPOLOBAMPO,NO CONSIDERADO,25.61537953,-109.0244988,state_office,Hem's state.office key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SONORA,PUERTO PENASCO,NO CONSIDERADO,31.20629577,-112.8401312,state_office,Hem's state.office key,land,Region_6,NA,Region_6,NA,yes,yes,yes
NAYARIT,SAN BLAS,NO CONSIDERADO,21.54672474,-105.2582147,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA SUR,SAN CARLOS,NO CONSIDERADO,25.3714584,-112.0739843,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,PTO. ADOLFO LOPEZ MATEOS,NO CONSIDERADO,24.99466904,-111.6135631,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,LA PAZ,NO CONSIDERADO,23.96530197,-110.2788658,state_office,Hem's state.office key,land,Region_4,NA,Region_4,NA,NA,NA,NA
BAJA CALIFORNIA,SAN FELIPE,NO CONSIDERADO,30.82327619,-114.8508127,state_office,Hem's state.office key,land,Region_2,NA,Region_2,NA,NA,NA,NA
BAJA CALIFORNIA SUR,BAHIA ASUNCION,NO CONSIDERADO,27.20402452,-114.085745,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
SONORA,BAHIA KINO,NO CONSIDERADO,28.80555913,-111.6789334,state_office,Hem's state.office key,land,Region_6,NA,Region_6,NA,yes,yes,yes
JALISCO,BARRA NAVIDAD,NO CONSIDERADO,19.62476112,-104.4256519,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,PUNTA ABREOJOS,NO CONSIDERADO,26.88159995,-113.0862862,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,CABO SAN LUCAS,NO CONSIDERADO,23.23958853,-109.853522,state_office,Hem's state.office key,land,Region_4,NA,Region_4,NA,NA,NA,NA
NAYARIT,CRUZ HUANACAXTLE,NO CONSIDERADO,20.79144145,-105.3371448,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,NO CONSIDERADO,27.68888126,-114.7602288,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
SONORA,GOLFO SANTA CLARA,NO CONSIDERADO,31.89795054,-114.5715395,state_office,Hem's state.office key,land,Region_5,NA,Region_5,NA,yes,yes,yes
BAJA CALIFORNIA,VILLA JESUS MARIA,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
SONORA,PUERTO LIBERTAD,LAGUNA LAS FLORES Y GOLFO MEXICO,30.69028901,-111.717548,state_office,Hem's state.office key,NA,NA,NA,NA,NA,yes,NA,yes
SONORA,GUAYMAS,PARAJE NUEVO,27.99268803,-110.8650876,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,land,Region_7,NA,Region_7,NA,yes,yes,yes
SONORA,PUERTO PENASCO,GOLFO SANTA CLARA,31.68994861,-114.5009186,state_site,Hem's state.site key,land,Region_5,NA,Region_5,yes,yes,yes,yes
BAJA CALIFORNIA SUR,SANTA ROSALIA,SANTA ROSALIA,27.33686833,-112.2682747,state_office_site,Hem's state.site.office key,land,Region_3,NA,Region_3,yes,NA,NA,yes
BAJA CALIFORNIA,ENSENADA,SAN CARLOS,31.75970097,-116.5617964,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,yes,NA,NA,yes
BAJA CALIFORNIA SUR,CD. CONSTITUCION,SAN CARLOS,24.7661,-111.9669,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SINALOA,CULIACAN,CORTINA LA PRESA AURELIO VENANCINI,24.132,-106.689,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA,SAN FELIPE,ISLA CEDROS,28.13316953,-115.201437,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,BAHIA KINO,YAVAROS,26.70347667,-109.5205532,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA SUR,SAN CARLOS,SAN JUANICO,26.25706844,-112.4796353,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,PUERTO LIBERTAD,NO CONSIDERADO,30.69028901,-111.717548,state_office,Hem's state.office key,NA,NA,NA,NA,NA,yes,NA,yes
BAJA CALIFORNIA SUR,PTO. ADOLFO LOPEZ MATEOS,SAN LUCAS,22.891,-109.888,state_site,Mel's state.site key,sea,Region_4,NA,Region_4,yes,NA,NA,yes
SINALOA,EL FUERTE,SITIO EMB DESEM GENERICO,26.43663942,-108.3939474,state_office,Hem's state.office key,NA,NA,Region_8,Region_8,NA,yes,yes,yes
SINALOA,LOS MOCHIS,SITIO EMB DESEM GENERICO,25.90610918,-109.0009424,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
