Data,landing_site,clave,subregion,long,lat,State,GofC
COLONET PUNTA 157 1.0156 -116.3290 30.9760,COLONET PUNTA,157,1.0156,-116.329,30.976,Baja California,no
CONO LITORAL PUNTA 284 1.0283 -114.5800 28.9643,CONO LITORAL PUNTA,284,1.0283,-114.58,28.9643,Baja California,no
CONO PUNTA 285 1.0284 -114.5800 28.9643,CONO PUNTA,285,1.0284,-114.58,28.9643,Baja California,no
CONSUELO EL 231 1.0230 -115.7854 30.1586,CONSUELO EL,231,1.023,-115.7854,30.1586,Baja California,no
CÓRBIN BAHÍA 272 1.0271 -114.8245 29.2309,CÓRBIN BAHÍA,272,1.0271,-114.8245,29.2309,Baja California,no
CORONA PLAYA 90 1.0089 -116.6155 31.7846,CORONA PLAYA,90,1.0089,-116.6155,31.7846,Baja California,no
CORONADO COSTA 3 1.0003 -117.1200 32.4840,CORONADO COSTA,3,1.0003,-117.12,32.484,Baja California,no
CORONEL ESTEBÁN CANTÚ 117 1.0116 -116.6658 31.6121,CORONEL ESTEBÁN CANTÚ,117,1.0116,-116.6658,31.6121,Baja California,no
CUATRO CASAS 161 1.0160 -116.2324 30.9352,CUATRO CASAS,161,1.016,-116.2324,30.9352,Baja California,no
CUCHILLO PUERTO 270 1.0269 -114.8218 29.2399,CUCHILLO PUERTO,270,1.0269,-114.8218,29.2399,Baja California,no
CUCHILLO PUNTA 204 1.0203 -115.9430 30.4389,CUCHILLO PUNTA,204,1.0203,-115.943,30.4389,Baja California,no
DE JESUS MARÍA VILLA 327 1.0326 -114.0005 28.2338,DE JESUS MARÍA VILLA,327,1.0326,-114.0005,28.2338,Baja California,no
DE TODOS SANTOS BAHÍA 88 1.0087 -116.6838 31.8031,DE TODOS SANTOS BAHÍA,88,1.0087,-116.6838,31.8031,Baja California,no
DEL CARDÓN VARADERO 309 1.0308 -114.0670 28.3860,DEL CARDÓN VARADERO,309,1.0308,-114.067,28.386,Baja California,no
DEL MAR VILLA 77 1.0077 -116.6796 31.8748,DEL MAR VILLA,77,1.0077,-116.6796,31.8748,Baja California,no
DELFINES LOS 8 1.0008 -117.0959 32.4282,DELFINES LOS,8,1.0008,-117.0959,32.4282,Baja California,no
DESCANSO BAHÍA EL 50 1.0050 -116.9239 32.2303,DESCANSO BAHÍA EL,50,1.005,-116.9239,32.2303,Baja California,no
DESCANSO BOCA EL 49 1.0049 -116.9239 32.2303,DESCANSO BOCA EL,49,1.0049,-116.9239,32.2303,Baja California,no
DESCANSO PUNTA EL 38 1.0038 -117.0301 32.2800,DESCANSO PUNTA EL,38,1.0038,-117.0301,32.28,Baja California,no
DESTILADERO EL 147 1.0146 -116.4389 31.3237,DESTILADERO EL,147,1.0146,-116.4389,31.3237,Baja California,no
DIABLO BAHIA PUNTA EL 289 1.0288 -114.4708 28.9067,DIABLO BAHIA PUNTA EL,289,1.0288,-114.4708,28.9067,Baja California,no
DIABLO PUNTA EL 290 1.0289 -114.4608 28.9067,DIABLO PUNTA EL,290,1.0289,-114.4608,28.9067,Baja California,no
DINA 215 1.0214 -115.9000 30.3952,DINA,215,1.0214,-115.9,30.3952,Baja California,no
DOS MARES 95 1.0094 -116.7426 31.7438,DOS MARES,95,1.0094,-116.7426,31.7438,Baja California,no
DUNAS LAS 48 1.0048 -116.9245 32.2335,DUNAS LAS,48,1.0048,-116.9245,32.2335,Baja California,no
ECOLOGICA MARINA 209 1.0208 -115.9450 30.4200,ECOLOGICA MARINA,209,1.0208,-115.945,30.42,Baja California,no
EL ISLOTE 235 1.0234 -115.7782 30.1133,EL ISLOTE,235,1.0234,-115.7782,30.1133,Baja California,no
EL MAÑANA 31 1.0031 -117.0380 32.2930,EL MAÑANA,31,1.0031,-117.038,32.293,Baja California,no
EL MIRADOR 69 1.0069 -116.7500 31.9410,EL MIRADOR,69,1.0069,-116.75,31.941,Baja California,no
EL MORRO 39 1.0039 -117.0260 32.2770,EL MORRO,39,1.0039,-117.026,32.277,Baja California,no
ENCANTADA PLAYA 29 1.0029 -117.0418 32.3000,ENCANTADA PLAYA,29,1.0029,-117.0418,32.3,Baja California,no
ENSENADA 83 1.0082 -116.6007 31.8508,ENSENADA,83,1.0082,-116.6007,31.8508,Baja California,no
ENSENADA PUNTA 85 1.0084 -116.6315 31.8476,ENSENADA PUNTA,85,1.0084,-116.6315,31.8476,Baja California,no
ENTRADA PUNTA 223 1.0222 -115.9666 30.3638,ENTRADA PUNTA,223,1.0222,-115.9666,30.3638,Baja California,no
ERÉNDIRA 150 1.0149 -116.3810 31.2624,ERÉNDIRA,150,1.0149,-116.381,31.2624,Baja California,no
ERÉNDIRA EJIDO 151 1.0150 -116.3780 31.2610,ERÉNDIRA EJIDO,151,1.015,-116.378,31.261,Baja California,no
ESCONDIDO PUERTO 110 1.0109 -116.7081 31.7080,ESCONDIDO PUERTO,110,1.0109,-116.7081,31.708,Baja California,no
ESPAÑA NUEVA 91 1.0090 -116.6190 31.7787,ESPAÑA NUEVA,91,1.009,-116.619,31.7787,Baja California,no
ESTERO PLAYA 93 1.0092 -116.6190 31.7700,ESTERO PLAYA,93,1.0092,-116.619,31.77,Baja California,no
ESTERO PUNTA 94 1.0093 -116.6264 31.7616,ESTERO PUNTA,94,1.0093,-116.6264,31.7616,Baja California,no
FALSA BAHÍA 198 1.0197 -116.0001 30.4504,FALSA BAHÍA,198,1.0197,-116.0001,30.4504,Baja California,no
FALSA EL CHUTE BAHÍA 206 1.0205 -115.9838 30.4338,FALSA EL CHUTE BAHÍA,206,1.0205,-115.9838,30.4338,Baja California,no
FARO EL 92 1.0091 -116.6159 31.7739,FARO EL,92,1.0091,-116.6159,31.7739,Baja California,no
FINGER BANCK 337 1.0336 -117.0680 32.1570,FINGER BANCK,337,1.0336,-117.068,32.157,Baja California,no
FISCAL MUELLE 82 1.0081 -116.6330 31.8525,FISCAL MUELLE,82,1.0081,-116.633,31.8525,Baja California,no
FRANCISCO TORRES 14 1.0014 -117.0857 32.3950,FRANCISCO TORRES,14,1.0014,-117.0857,32.395,Baja California,no
GAVIOTAS LAS 44 1.0044 -116.9469 32.2511,GAVIOTAS LAS,44,1.0044,-116.9469,32.2511,Baja California,no
GUADALUPE 152 1.0151 -116.3590 31.2550,GUADALUPE,152,1.0151,-116.359,31.255,Baja California,no
GUADALUPE ISLA 279 1.0278 -118.3770 29.0556,GUADALUPE ISLA,279,1.0278,-118.377,29.0556,Baja California,no
GUERRERO NEGRO 332 1.0331 -114.0440 27.9800,GUERRERO NEGRO,332,1.0331,-114.044,27.98,Baja California,no
HERMOSA ENSENADA PLAYA 35 1.0035 -117.0370 32.2850,HERMOSA ENSENADA PLAYA,35,1.0035,-117.037,32.285,Baja California,no
HERMOSA NORTE PLAYA 86 1.0085 -116.6135 31.8383,HERMOSA NORTE PLAYA,86,1.0085,-116.6135,31.8383,Baja California,no
HOWARDO PUNTA 276 1.0275 -114.7267 29.1345,HOWARDO PUNTA,276,1.0275,-114.7267,29.1345,Baja California,no
JATAY 63 1.0063 -116.8617 32.0000,JATAY,63,1.0063,-116.8617,32,Baja California,no
JOSE M. MORELOS Y PAVÓN EJIDO 314 1.0313 -114.0668 28.3442,JOSE M. MORELOS Y PAVÓN EJIDO,314,1.0313,-114.0668,28.3442,Baja California,no
JOYA NORTE LA 108 1.0107 -116.6653 31.7108,JOYA NORTE LA,108,1.0107,-116.6653,31.7108,Baja California,no
JOYA TIJUANA LA 4 1.0004 -117.1120 32.4560,JOYA TIJUANA LA,4,1.0004,-117.112,32.456,Baja California,no
JUAN ESCUTIA 136 1.0135 -116.5327 31.4374,JUAN ESCUTIA,136,1.0135,-116.5327,31.4374,Baja California,no
KENNEDY PUERTO 111 1.0110 -116.6637 31.7043,KENNEDY PUERTO,111,1.011,-116.6637,31.7043,Baja California,no
KEVINO PUNTA 271 1.0270 -114.8341 29.2344,KEVINO PUNTA,271,1.027,-114.8341,29.2344,Baja California,no
LAGUNA PUNTA LA 210 1.0209 -115.9826 30.4055,LAGUNA PUNTA LA,210,1.0209,-115.9826,30.4055,Baja California,no
LEPRO VILLA 15 1.0015 -117.0823 32.3900,LEPRO VILLA,15,1.0015,-117.0823,32.39,Baja California,no
LIMA CAMPO 291 1.0290 -118.3580 28.8850,LIMA CAMPO,291,1.029,-118.358,28.885,Baja California,no
LOBERA LA 143 1.0142 -116.4610 31.3438,LOBERA LA,143,1.0142,-116.461,31.3438,Baja California,no
LOBERA PUNTA 121 1.0120 -116.6893 31.5528,LOBERA PUNTA,121,1.012,-116.6893,31.5528,Baja California,no
LOBERA PUNTA LA 257 1.0256 -115.1541 29.4185,LOBERA PUNTA LA,257,1.0256,-115.1541,29.4185,Baja California,no
LOBERA ROCA LA 153 1.0152 -116.3685 31.2486,LOBERA ROCA LA,153,1.0152,-116.3685,31.2486,Baja California,no
LOBOS PUNTA 292 1.0291 -114.4341 28.8750,LOBOS PUNTA,292,1.0291,-114.4341,28.875,Baja California,no
LOMA DORADA 87 1.0086 -116.6113 31.8264,LOMA DORADA,87,1.0086,-116.6113,31.8264,Baja California,no
LÓPEZ CAMPO 53 1.0053 -116.8780 32.1320,LÓPEZ CAMPO,53,1.0053,-116.878,32.132,Baja California,no
LOS CANDELEROS ACANTILADO 262 1.0261 -115.0911 29.4146,LOS CANDELEROS ACANTILADO,262,1.0261,-115.0911,29.4146,Baja California,no
LOS HOJITOS VARADERO 319 1.0318 -114.0900 28.2960,LOS HOJITOS VARADERO,319,1.0318,-114.09,28.296,Baja California,no
MANEADERO 113 1.0112 -116.6510 31.7008,MANEADERO,113,1.0112,-116.651,31.7008,Baja California,no
MANUELA LAGUNA 326 1.0325 -114.0838 28.2341,MANUELA LAGUNA,326,1.0325,-114.0838,28.2341,Baja California,no
MAR RANCHO DEL 16 1.0016 -117.0895 32.3850,MAR RANCHO DEL,16,1.0016,-117.0895,32.385,Baja California,no
MARÍA BAHÍA 287 1.0286 -114.4980 28.9150,MARÍA BAHÍA,287,1.0286,-114.498,28.915,Baja California,no
MARÍA PUNTA 286 1.0285 -114.5300 28.9210,MARÍA PUNTA,286,1.0285,-114.53,28.921,Baja California,no
