rgn_id,year,pressure
Region_7,2020,0.305964382394002
Region_8,2020,0.5378691733352324
Region_9,2020,0.09874609470610711
Region_1,2021,0.12953997200160916
Region_2,2021,0.12584983956977883
Region_3,2021,0.0403967003422757
Region_4,2021,0.03899523934421527
Region_5,2021,0.20822628003048654
Region_6,2021,0.24816256871933756
Region_7,2021,0.2641001335856518
Region_8,2021,0.635188947565908
Region_9,2021,0.09995893536297615
Region_1,2022,0.03625457717307152
Region_2,2022,0.09231456163330069
Region_3,2022,0.017576091446336446
Region_4,2022,0.02216106354512661
Region_5,2022,0.10972411212127516
Region_6,2022,0.10615738380906926
Region_7,2022,0.06966737586642682
Region_8,2022,0.3291735314697738
Region_9,2022,0.06118763398182048
Region_1,2023,0.06521206043332385
Region_2,2023,0.06165758852109525
Region_3,2023,0.008426468100389068
Region_4,2023,0.02312028281952193
Region_5,2023,0.1276794905631951
Region_6,2023,0.15419796819683684
Region_7,2023,0.2644291947576724
Region_8,2023,0.40673917108327334
Region_9,2023,0.04068589422610835
Region_1,2024,0.10947391380325565
Region_2,2024,0.13325256122551227
Region_3,2024,0.009973759501789949
Region_4,2024,0.03242526874428105
Region_5,2024,0.1407174682004798
Region_6,2024,0.14250595376051098
Region_7,2024,0.18627676470071913
Region_8,2024,0.3681537892924332
Region_9,2024,0.06424744146171915
Region_1,2025,0.0321088091554455
Region_2,2025,0.15358044817699967
Region_3,2025,0.0256483383268516
Region_4,2025,0.030487315499984017
Region_5,2025,0.0687702681620065
Region_6,2025,0.13007790968475927
Region_7,2025,0.21922820743085591
Region_8,2025,0.41769184014140737
Region_9,2025,0.05684319468596927
