cinfo.stock.i.,stock,yr,ct.raw,B,lcl.B,ucl.B,B.Bmsy,lcl.B.Bmsy,ucl.B.Bmsy,F.Fmsy,lcl.F.Fmsy,ucl.F.Fmsy
cynoscion,cynoscion,2011,1758.4737,8775.039364,7594.201269,10501.33707,0.536974122,0.464714674,0.642612075,0.799061106,0.667704752,0.923308774
cynoscion,cynoscion,2012,2671.29965,7709.71169,6885.107243,8881.574935,0.471783145,0.42132283,0.543493392,1.464216313,1.271022956,1.639580217
cynoscion,cynoscion,2013,1988.849,7215.655832,6426.16277,8538.417589,0.441550208,0.393238477,0.522494441,1.244540688,1.051737887,1.397440058
cynoscion,cynoscion,2014,2009.45768,7500.565788,6629.196329,9146.613027,0.458984805,0.405662782,0.559711962,1.163723284,0.954296747,1.316687969
cynoscion,cynoscion,2015,2122.382751,7800.173797,6712.650602,9798.164699,0.477318825,0.410769629,0.599582597,1.136512084,0.904760437,1.320639536
cynoscion,cynoscion,2016,2371.48196,8420.689432,7024.002308,10593.1334,0.51529026,0.429822285,0.648229401,1.122962783,0.892665134,1.34625822
cynoscion,cynoscion,2017,2579.04782,9156.852803,7394.309003,11471.79906,0.560338569,0.452482595,0.701997903,1.123068768,0.896439639,1.390768954
cynoscion,cynoscion,2018,3175.152085,9918.301972,7794.385549,12524.18759,0.6069342,0.476964623,0.76639709,1.276498749,1.010899907,1.624335874
cynoscion,cynoscion,2019,3310.28012,10471.43958,8020.701967,13203.6125,0.640782547,0.490813684,0.807973382,1.260525231,0.999689576,1.64568062
cynoscion,cynoscion,2020,3137.935191,10965.30284,7904.845803,13756.76371,0.671003699,0.483724057,0.841822562,1.14108114,0.909538066,1.582864559
cynoscion,cynoscion,2021,4530.80605,11218.70851,7915.241798,13834.182,0.686510443,0.484360222,0.846560047,1.610370461,1.305915796,2.282466823
cynoscion,cynoscion,2022,3338.95045,11288.14505,7268.577662,13883.99474,0.690759498,0.444788673,0.849608256,1.179452841,0.95893401,1.831697393
cynoscion,cynoscion,2023,4576.727,11219.05725,6240.097832,13742.4223,0.686531783,0.381852538,0.840944963,1.626641438,1.327959731,2.924534825
cynoscion,cynoscion,2024,6343.757354,10817.47811,4473.87401,12992.55705,0.661957807,0.273771372,0.795058191,2.338372668,1.946906606,5.654002571
lutjanus,lutjanus,2000,2182.8171,26293.85286,20907.99758,31691.60175,1.50116194,1.193674065,1.809328843,0.293589804,0.243585262,0.369217907
lutjanus,lutjanus,2001,2410.95165,27869.82859,23060.06483,31382.03222,1.591137145,1.316539339,1.791654979,0.305937035,0.271697278,0.369747995
lutjanus,lutjanus,2002,2142.63125,28802.63037,24623.5334,31206.94943,1.644392426,1.405800488,1.781659197,0.263083211,0.242814137,0.307733596
lutjanus,lutjanus,2003,2642.4266,29430.3308,25868.43708,31280.69906,1.680228939,1.476874211,1.785869692,0.31753064,0.298747537,0.361252276
lutjanus,lutjanus,2004,2673.6321,29662.48287,26757.96414,31225.38204,1.693482905,1.527658863,1.782711546,0.318766003,0.302811062,0.353367358
lutjanus,lutjanus,2005,2839.64455,29692.16241,27257.35537,31215.9689,1.695177363,1.55616998,1.782174134,0.33822056,0.321710334,0.368432654
lutjanus,lutjanus,2006,2585.8497,29500.61201,27447.13344,30917.76638,1.684241416,1.567004741,1.765149231,0.309991726,0.295782869,0.333183998
lutjanus,lutjanus,2007,2343.5229,29377.31461,27562.49448,30810.15829,1.677202152,1.573590904,1.759005698,0.282120703,0.269000522,0.30069661
lutjanus,lutjanus,2008,2410.34615,29466.85061,27639.44572,30884.27785,1.682313919,1.577984185,1.763237313,0.289283421,0.276006821,0.308409635
lutjanus,lutjanus,2009,2838.4135,29637.84472,27852.11163,31055.46758,1.692076271,1.590125653,1.773010834,0.338693526,0.323232813,0.3604088
lutjanus,lutjanus,2010,3039.66065,29655.36746,27916.16619,31044.22017,1.693076674,1.59378264,1.7723687,0.362493015,0.346275844,0.385076643
lutjanus,lutjanus,2011,2746.4904,29430.22959,27756.07692,30823.44618,1.680223161,1.584642863,1.759764327,0.330036738,0.315119111,0.349943437
lutjanus,lutjanus,2012,2807.44655,29199.01265,27517.28968,30649.32296,1.667022582,1.571010084,1.749823328,0.340033089,0.323942897,0.360814258
lutjanus,lutjanus,2013,3051.12655,29076.09144,27312.71982,30534.07218,1.660004796,1.559330833,1.74324346,0.371109477,0.353389257,0.395069153
lutjanus,lutjanus,2014,3287.6754,29011.35632,27230.72768,30471.66028,1.656308955,1.554649759,1.739680256,0.400773271,0.381566874,0.426980002
