"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes","status_adjusted","control_adjusted"
"carcharhinus galapagensis","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus leucas","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus limbatus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus longimanus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus obscurus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
