"Genus","OHI_region","status","control","notes"
"callinectes","region_4","maximally harvested","no increase",NA
"callinectes","region_5","maximally harvested","no increase",NA
"callinectes","region_6","maximally harvested","no increase",NA
"callinectes","region_7","maximally harvested","no increase",NA
"callinectes","region_8","maximally harvested","no increase",NA
"callinectes","region_9","unclear",NA,NA
"carcharhinus","region_1","maximally harvested","no increase",NA
"carcharhinus","region_2","maximally harvested","no increase",NA
"carcharhinus","region_3","maximally harvested","no increase",NA
"carcharhinus","region_4","maximally harvested","no increase",NA
"carcharhinus","region_5","maximally harvested","no increase",NA
"carcharhinus","region_6","maximally harvested","no increase",NA
"carcharhinus","region_7","maximally harvested","no increase",NA
"carcharhinus","region_8","maximally harvested","no increase",NA
"carcharhinus","region_9","maximally harvested","no increase",NA
"centropomus","region_1","maximally harvested","no increase",NA
"centropomus","region_2","maximally harvested","no increase",NA
"centropomus","region_3","maximally harvested","no increase",NA
"centropomus","region_4","maximally harvested","no increase",NA
"centropomus","region_5","maximally harvested","no increase",NA
"centropomus","region_6","maximally harvested","no increase",NA
"centropomus","region_7","maximally harvested","no increase",NA
"centropomus","region_8","maximally harvested","no increase",NA
"centropomus","region_9","maximally harvested","no increase",NA
"chione","region_1","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_2","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_3","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_4","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_5","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_6","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_7","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_8","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chione","region_9","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_1","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_2","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_3","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_4","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_5","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_6","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_7","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_8","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionista","region_9","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_1","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_2","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_3","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_4","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_5","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_6","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_7","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_8","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chionopsis","region_9","maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions"
"chiton","region_1",NA,NA,NA
"chiton","region_2",NA,NA,NA
"chiton","region_3",NA,NA,NA
"chiton","region_4",NA,NA,NA
"chiton","region_5",NA,NA,NA
"chiton","region_6",NA,NA,NA
"chiton","region_7",NA,NA,NA
"chiton","region_8","unclear",NA,NA
"chiton","region_9","unclear",NA,NA
"coryphaena","region_1","unclear",NA,"sports fishing"
"coryphaena","region_2","unclear",NA,"sports fishing"
"coryphaena","region_3","unclear",NA,"sports fishing"
"coryphaena","region_4","unclear",NA,"sports fishing"
"coryphaena","region_5",NA,NA,"sports fishing"
"coryphaena","region_6",NA,NA,"sports fishing"
"coryphaena","region_7",NA,NA,"sports fishing"
"coryphaena","region_8","unclear",NA,"sports fishing"
"coryphaena","region_9","unclear",NA,"sports fishing"
"crassostrea","region_1","unclear",NA,NA
"crassostrea","region_2","unclear",NA,NA
"crassostrea","region_3","unclear",NA,NA
"crassostrea","region_4","unclear",NA,NA
"crassostrea","region_5",NA,NA,NA
"crassostrea","region_6",NA,NA,NA
"crassostrea","region_7",NA,NA,NA
"crassostrea","region_8","unclear",NA,NA
"crassostrea","region_9","maximally harvested",NA,"Jalisco has development potential; Nayarit maximum sustainability"
"cynoscion","region_1","maximally harvested","no increase",NA
"cynoscion","region_2","maximally harvested","no increase",NA
"cynoscion","region_3",NA,NA,NA
"cynoscion","region_4",NA,NA,NA
"cynoscion","region_5","maximally harvested","no increase",NA
"cynoscion","region_6","maximally harvested","no increase",NA
"cynoscion","region_7","maximally harvested","no increase",NA
"cynoscion","region_8",NA,NA,NA
"cynoscion","region_9",NA,NA,NA
"dosinia","region_1","unclear",NA,"capture records are recent in this area, no pattern available"
"dosinia","region_2","unclear",NA,"capture records are recent in this area, no pattern available"
"dosinia","region_3","unclear",NA,"capture records are recent in this area, no pattern available"
"dosinia","region_4","unclear",NA,"capture records are recent in this area, no pattern available"
"dosinia","region_5","maximally harvested","no increase","highly variable catch"
"dosinia","region_6","maximally harvested","no increase","highly variable catch"
"dosinia","region_7","maximally harvested","no increase","highly variable catch"
"dosinia","region_8","unclear",NA,"capture records are recent in this area, no pattern available"
"dosinia","region_9","unclear",NA,"capture records are recent in this area, no pattern available"
"galeocerdo","region_1","maximally harvested","no increase",NA
"galeocerdo","region_2","maximally harvested","no increase",NA
"galeocerdo","region_3","maximally harvested","no increase",NA
"galeocerdo","region_4","maximally harvested","no increase",NA
"galeocerdo","region_5","maximally harvested","no increase",NA
"galeocerdo","region_6","maximally harvested","no increase",NA
"galeocerdo","region_7","maximally harvested","no increase",NA
"galeocerdo","region_8","maximally harvested","no increase",NA
"galeocerdo","region_9","maximally harvested","no increase",NA
"galeorhinus","region_1","maximally harvested","no increase",NA
"galeorhinus","region_2","maximally harvested","no increase",NA
"galeorhinus","region_3","maximally harvested","no increase",NA
"galeorhinus","region_4","maximally harvested","no increase",NA
"galeorhinus","region_5","maximally harvested","no increase",NA
"galeorhinus","region_6","maximally harvested","no increase",NA
"galeorhinus","region_7","maximally harvested","no increase",NA
"galeorhinus","region_8","maximally harvested","no increase",NA
"galeorhinus","region_9","maximally harvested","no increase",NA
"gynglymostoma","region_1","maximally harvested","no increase",NA
"gynglymostoma","region_2","maximally harvested","no increase",NA
"gynglymostoma","region_3","maximally harvested","no increase",NA
"gynglymostoma","region_4","maximally harvested","no increase",NA
"gynglymostoma","region_5","maximally harvested","no increase",NA
"gynglymostoma","region_6","maximally harvested","no increase",NA
"gynglymostoma","region_7","maximally harvested","no increase",NA
"gynglymostoma","region_8","maximally harvested","no increase",NA
"gynglymostoma","region_9","maximally harvested","no increase",NA
"haliotis","region_1","deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_2","deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_3","deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_4","deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_5",NA,NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_6",NA,NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_7",NA,NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_8",NA,NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"haliotis","region_9",NA,NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja"
"holothuria","region_1","unclear",NA,NA
"holothuria","region_2","unclear",NA,NA
"holothuria","region_3","unclear",NA,NA
"holothuria","region_4","unclear",NA,NA
"holothuria","region_5",NA,NA,NA
"holothuria","region_6",NA,NA,NA
"holothuria","region_7",NA,NA,NA
"holothuria","region_8",NA,NA,NA
"holothuria","region_9",NA,NA,NA
"hoplopagrus","region_1","maximally harvested","no increase",NA
"hoplopagrus","region_2","maximally harvested","no increase",NA
"hoplopagrus","region_3","maximally harvested","no increase",NA
"hoplopagrus","region_4","maximally harvested","no increase",NA
"hoplopagrus","region_5","maximally harvested","no increase",NA
"hoplopagrus","region_6","maximally harvested","no increase",NA
"hoplopagrus","region_7","maximally harvested","no increase",NA
"hoplopagrus","region_8","maximally harvested","no increase",NA
"hoplopagrus","region_9","maximally harvested","no increase",NA
"istiompax","region_1","unclear",NA,"sports fishing"
"istiompax","region_2","unclear",NA,"sports fishing"
"istiompax","region_3","unclear",NA,"sports fishing"
"istiompax","region_4","unclear",NA,"sports fishing"
"istiompax","region_5",NA,NA,"sports fishing"
"istiompax","region_6",NA,NA,"sports fishing"
"istiompax","region_7",NA,NA,"sports fishing"
"istiompax","region_8","unclear",NA,"sports fishing"
"istiompax","region_9","unclear",NA,"sports fishing"
"istiophorus","region_1","unclear",NA,"sports fishing"
"istiophorus","region_2","unclear",NA,"sports fishing"
"istiophorus","region_3","unclear",NA,"sports fishing"
"istiophorus","region_4","unclear",NA,"sports fishing"
"istiophorus","region_5",NA,NA,"sports fishing"
"istiophorus","region_6",NA,NA,"sports fishing"
"istiophorus","region_7",NA,NA,"sports fishing"
"istiophorus","region_8","unclear",NA,"sports fishing"
"istiophorus","region_9","unclear",NA,"sports fishing"
"isurus","region_1","maximally harvested","no increase",NA
"isurus","region_2","maximally harvested","no increase",NA
"isurus","region_3","maximally harvested","no increase",NA
"isurus","region_4","maximally harvested","no increase",NA
"isurus","region_5","maximally harvested","no increase",NA
"isurus","region_6","maximally harvested","no increase",NA
"isurus","region_7","maximally harvested","no increase",NA
"isurus","region_8","maximally harvested","no increase",NA
"isurus","region_9","maximally harvested","no increase",NA
"kajikia","region_1","unclear",NA,"sports fishing"
"kajikia","region_2","unclear",NA,"sports fishing"
"kajikia","region_3","unclear",NA,"sports fishing"
"kajikia","region_4","unclear",NA,"sports fishing"
"kajikia","region_5",NA,NA,"sports fishing"
"kajikia","region_6",NA,NA,"sports fishing"
"kajikia","region_7",NA,NA,"sports fishing"
"kajikia","region_8","unclear",NA,"sports fishing"
"kajikia","region_9","unclear",NA,"sports fishing"
"larkinia","region_1","maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia","region_2","maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia","region_3","maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia","region_4","maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia","region_5",NA,NA,"Within region variation in status, took most conservative"
"larkinia","region_6",NA,NA,"Within region variation in status, took most conservative"
"larkinia","region_7",NA,NA,"Within region variation in status, took most conservative"
"larkinia","region_8","maximally harvested","no increase","Within region variation in status, took most conservative"
"larkinia","region_9","maximally harvested","no increase","Within region variation in status, took most conservative"
"lutjanus","region_1","maximally harvested","no increase",NA
"lutjanus","region_2","maximally harvested","no increase",NA
"lutjanus","region_3","maximally harvested","no increase",NA
"lutjanus","region_4","maximally harvested","no increase",NA
"lutjanus","region_5","maximally harvested","no increase",NA
"lutjanus","region_6","maximally harvested","no increase",NA
"lutjanus","region_7","maximally harvested","no increase",NA
"lutjanus","region_8","maximally harvested","no increase",NA
"lutjanus","region_9","maximally harvested","no increase",NA
"macrobrachium","region_1",NA,NA,NA
"macrobrachium","region_2",NA,NA,NA
"macrobrachium","region_3",NA,NA,NA
"macrobrachium","region_4",NA,NA,NA
"macrobrachium","region_5",NA,NA,NA
"macrobrachium","region_6",NA,NA,NA
"macrobrachium","region_7",NA,NA,NA
"macrobrachium","region_8","maximally harvested","no increase",NA
"macrobrachium","region_9","unclear",NA,NA
"makaira","region_1","unclear",NA,"sports fishing"
"makaira","region_2","unclear",NA,"sports fishing"
"makaira","region_3","unclear",NA,"sports fishing"
"makaira","region_4","unclear",NA,"sports fishing"
"makaira","region_5",NA,NA,"sports fishing"
"makaira","region_6",NA,NA,"sports fishing"
"makaira","region_7",NA,NA,"sports fishing"
"makaira","region_8","unclear",NA,"sports fishing"
"makaira","region_9","unclear",NA,"sports fishing"
"megapitaria","region_1","maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria","region_2","maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria","region_3","maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria","region_4","maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria","region_5","unclear",NA,"Within region variation in status, took most conservative"
"megapitaria","region_6","unclear",NA,"Within region variation in status, took most conservative"
"megapitaria","region_7","unclear",NA,"Within region variation in status, took most conservative"
"megapitaria","region_8","maximally harvested","no increase","Within region variation in status, took most conservative"
"megapitaria","region_9","unclear",NA,"Within region variation in status, took most conservative"
"megastraea","region_1","deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration"
"megastraea","region_2","deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration"
"megastraea","region_3","maximally harvested","no increase",NA
"megastraea","region_4","maximally harvested","no increase",NA
"megastraea","region_5",NA,NA,NA
"megastraea","region_6",NA,NA,NA
"megastraea","region_7",NA,NA,NA
"megastraea","region_8",NA,NA,NA
"megastraea","region_9",NA,NA,NA
"modiolus","region_1","unclear",NA,NA
"modiolus","region_2","unclear",NA,NA
"modiolus","region_3",NA,NA,NA
"modiolus","region_4",NA,NA,NA
"modiolus","region_5",NA,NA,NA
"modiolus","region_6",NA,NA,NA
"modiolus","region_7",NA,NA,NA
"modiolus","region_8",NA,NA,NA
"modiolus","region_9",NA,NA,NA
"mugil","region_1","deteriorating","decrease",NA
"mugil","region_2","deteriorating","decrease",NA
"mugil","region_3","maximally harvested","no increase",NA
"mugil","region_4","maximally harvested","no increase",NA
"mugil","region_5","deteriorating","decrease",NA
"mugil","region_6","deteriorating","decrease",NA
"mugil","region_7","deteriorating","decrease",NA
"mugil","region_8","maximally harvested","no increase",NA
"mugil","region_9","maximally harvested","no increase",NA
"muricanthus","region_1","unclear",NA,NA
"muricanthus","region_2","unclear",NA,NA
"muricanthus","region_3","maximally harvested","no increase",NA
"muricanthus","region_4","maximally harvested","no increase",NA
"muricanthus","region_5","maximally harvested","no increase",NA
"muricanthus","region_6","maximally harvested","no increase",NA
"muricanthus","region_7","maximally harvested","no increase",NA
"muricanthus","region_8","unclear",NA,NA
"muricanthus","region_9","unclear",NA,NA
"mustelus","region_1","maximally harvested","no increase",NA
"mustelus","region_2","maximally harvested","no increase",NA
"mustelus","region_3","maximally harvested","no increase",NA
"mustelus","region_4","maximally harvested","no increase",NA
"mustelus","region_5","maximally harvested","no increase",NA
"mustelus","region_6","maximally harvested","no increase",NA
"mustelus","region_7","maximally harvested","no increase",NA
"mustelus","region_8","maximally harvested","no increase",NA
"mustelus","region_9","maximally harvested","no increase",NA
"mytella","region_1","unclear",NA,NA
"mytella","region_2","unclear",NA,NA
"mytella","region_3",NA,NA,NA
"mytella","region_4",NA,NA,NA
"mytella","region_5",NA,NA,NA
"mytella","region_6",NA,NA,NA
"mytella","region_7",NA,NA,NA
"mytella","region_8",NA,NA,NA
"mytella","region_9",NA,NA,NA
"mytilus","region_1","unclear",NA,NA
"mytilus","region_2","unclear",NA,NA
"mytilus","region_3",NA,NA,NA
"mytilus","region_4",NA,NA,NA
"mytilus","region_5",NA,NA,NA
"mytilus","region_6",NA,NA,NA
"mytilus","region_7",NA,NA,NA
"mytilus","region_8",NA,NA,NA
"mytilus","region_9",NA,NA,NA
"nasolamia","region_1","maximally harvested","no increase",NA
"nasolamia","region_2","maximally harvested","no increase",NA
"nasolamia","region_3","maximally harvested","no increase",NA
"nasolamia","region_4","maximally harvested","no increase",NA
"nasolamia","region_5","maximally harvested","no increase",NA
"nasolamia","region_6","maximally harvested","no increase",NA
"nasolamia","region_7","maximally harvested","no increase",NA
"nasolamia","region_8","maximally harvested","no increase",NA
"nasolamia","region_9","maximally harvested","no increase",NA
"negaprion","region_1","maximally harvested","no increase",NA
"negaprion","region_2","maximally harvested","no increase",NA
"negaprion","region_3","maximally harvested","no increase",NA
"negaprion","region_4","maximally harvested","no increase",NA
"negaprion","region_5","maximally harvested","no increase",NA
"negaprion","region_6","maximally harvested","no increase",NA
"negaprion","region_7","maximally harvested","no increase",NA
"negaprion","region_8","maximally harvested","no increase",NA
"negaprion","region_9","maximally harvested","no increase",NA
"octopus","region_1","maximally harvested","no increase",NA
"octopus","region_2","maximally harvested","no increase",NA
"octopus","region_3","maximally harvested","no increase",NA
"octopus","region_4","maximally harvested","no increase",NA
"octopus","region_5","maximally harvested","no increase",NA
"octopus","region_6","maximally harvested","no increase",NA
"octopus","region_7","maximally harvested","no increase",NA
"octopus","region_8","maximally harvested","no increase",NA
"octopus","region_9","maximally harvested","no increase",NA
"panopea","region_1","maximally harvested","no increase","Within region variation in status, took most conservative"
"panopea","region_2","maximally harvested","no increase","Within region variation in status, took most conservative"
"panopea","region_3","maximally harvested","no increase","Only in Baja California"
"panopea","region_4","maximally harvested","no increase","Only in Baja California"
"panopea","region_5","maximally harvested","no increase","Only in Baja California"
"panopea","region_6","maximally harvested","no increase","Only in Baja California"
"panopea","region_7","maximally harvested","no increase","Only in Baja California"
"panopea","region_8",NA,NA,"Only in Baja California"
"panopea","region_9",NA,NA,"Only in Baja California"
"panulirus","region_1",NA,NA,NA
"panulirus","region_2",NA,NA,NA
"panulirus","region_3",NA,NA,NA
"panulirus","region_4",NA,NA,NA
"panulirus","region_5","development potential","increase",NA
"panulirus","region_6","development potential","increase",NA
"panulirus","region_7","development potential","increase",NA
"panulirus","region_8","maximally harvested","no increase",NA
"panulirus","region_9","maximally harvested","no increase","Nayarit has development potential, but went with the average"
"paralabrax","region_1","maximally harvested","no increase",NA
"paralabrax","region_2","maximally harvested","no increase",NA
"paralabrax","region_3","maximally harvested","no increase",NA
"paralabrax","region_4","maximally harvested","no increase",NA
"paralabrax","region_5",NA,NA,NA
"paralabrax","region_6",NA,NA,NA
"paralabrax","region_7",NA,NA,NA
"paralabrax","region_8",NA,NA,NA
"paralabrax","region_9",NA,NA,NA
"phyllonotus","region_1","unclear",NA,NA
"phyllonotus","region_2","unclear",NA,NA
"phyllonotus","region_3","maximally harvested","no increase",NA
"phyllonotus","region_4","maximally harvested","no increase",NA
"phyllonotus","region_5","maximally harvested","no increase",NA
"phyllonotus","region_6","maximally harvested","no increase",NA
"phyllonotus","region_7","maximally harvested","no increase",NA
"phyllonotus","region_8","unclear",NA,NA
"phyllonotus","region_9","unclear",NA,NA
"pinna","region_1","maximally harvested","no increase",NA
"pinna","region_2","maximally harvested","no increase",NA
"pinna","region_3","maximally harvested","no increase",NA
"pinna","region_4","maximally harvested","no increase",NA
"pinna","region_5","maximally harvested","no increase",NA
"pinna","region_6","maximally harvested","no increase",NA
"pinna","region_7","maximally harvested","no increase",NA
"pinna","region_8",NA,NA,NA
"pinna","region_9",NA,NA,NA
"prionace","region_1","maximally harvested","no increase",NA
"prionace","region_2","maximally harvested","no increase",NA
"prionace","region_3","maximally harvested","no increase",NA
"prionace","region_4","maximally harvested","no increase",NA
"prionace","region_5","maximally harvested","no increase",NA
"prionace","region_6","maximally harvested","no increase",NA
"prionace","region_7","maximally harvested","no increase",NA
"prionace","region_8","maximally harvested","no increase",NA
"prionace","region_9","maximally harvested","no increase",NA
"rhizoprionodon","region_1","maximally harvested","no increase",NA
"rhizoprionodon","region_2","maximally harvested","no increase",NA
"rhizoprionodon","region_3","maximally harvested","no increase",NA
"rhizoprionodon","region_4","maximally harvested","no increase",NA
"rhizoprionodon","region_5","maximally harvested","no increase",NA
"rhizoprionodon","region_6","maximally harvested","no increase",NA
"rhizoprionodon","region_7","maximally harvested","no increase",NA
"rhizoprionodon","region_8","maximally harvested","no increase",NA
"rhizoprionodon","region_9","maximally harvested","no increase",NA
"scomberomorus","region_1","maximally harvested","no increase",NA
"scomberomorus","region_2","maximally harvested","no increase",NA
"scomberomorus","region_3","maximally harvested","no increase",NA
"scomberomorus","region_4","maximally harvested","no increase",NA
"scomberomorus","region_5","maximally harvested","no increase",NA
"scomberomorus","region_6","maximally harvested","no increase",NA
"scomberomorus","region_7","maximally harvested","no increase",NA
"scomberomorus","region_8","maximally harvested","no increase",NA
"scomberomorus","region_9","maximally harvested","no increase",NA
"sphoeroides","region_1",NA,NA,"Seems they might lump these Botetes into one species?"
"sphoeroides","region_2",NA,NA,"Seems they might lump these Botetes into one species?"
"sphoeroides","region_3","maximally harvested","no increase","Seems they might lump these Botetes into one species?"
"sphoeroides","region_4","maximally harvested","no increase","Seems they might lump these Botetes into one species?"
"sphoeroides","region_5","maximally harvested","no increase","Seems they might lump these Botetes into one species?"
"sphoeroides","region_6","maximally harvested","no increase","Seems they might lump these Botetes into one species?"
"sphoeroides","region_7","maximally harvested","no increase","Seems they might lump these Botetes into one species?"
"sphoeroides","region_8","maximally harvested","no increase","Seems they might lump these Botetes into one species?"
"sphoeroides","region_9","maximally harvested","no increase","Seems they might lump these Botetes into one species?"
"sphyrna","region_1","maximally harvested","no increase",NA
"sphyrna","region_2","maximally harvested","no increase",NA
"sphyrna","region_3","maximally harvested","no increase",NA
"sphyrna","region_4","maximally harvested","no increase",NA
"sphyrna","region_5","maximally harvested","no increase",NA
"sphyrna","region_6","maximally harvested","no increase",NA
"sphyrna","region_7","maximally harvested","no increase",NA
"sphyrna","region_8","maximally harvested","no increase",NA
"sphyrna","region_9","maximally harvested","no increase",NA
"spondylus","region_1",NA,NA,"new fishery"
"spondylus","region_2",NA,NA,"new fishery"
"spondylus","region_3","development potential",NA,"new fishery"
"spondylus","region_4","development potential",NA,"new fishery"
"spondylus","region_5",NA,NA,"new fishery"
"spondylus","region_6",NA,NA,"new fishery"
"spondylus","region_7",NA,NA,"new fishery"
"spondylus","region_8",NA,NA,"new fishery"
"spondylus","region_9",NA,NA,"new fishery"
"stomolophus","region_1",NA,NA,NA
"stomolophus","region_2",NA,NA,NA
"stomolophus","region_3",NA,NA,NA
"stomolophus","region_4",NA,NA,NA
"stomolophus","region_5","maximally harvested","no increase",NA
"stomolophus","region_6","maximally harvested","no increase",NA
"stomolophus","region_7","maximally harvested","no increase",NA
"stomolophus","region_8",NA,NA,NA
"stomolophus","region_9",NA,NA,NA
"strongylocentrotus","region_1","deteriorating","decrease",NA
"strongylocentrotus","region_2","deteriorating","decrease",NA
"strongylocentrotus","region_3","unclear",NA,NA
"strongylocentrotus","region_4","unclear",NA,NA
"strongylocentrotus","region_5",NA,NA,NA
"strongylocentrotus","region_6",NA,NA,NA
"strongylocentrotus","region_7",NA,NA,NA
"strongylocentrotus","region_8",NA,NA,NA
"strongylocentrotus","region_9",NA,NA,NA
"thunnus","region_1","deteriorating","no increase","recovery phase"
"thunnus","region_2","deteriorating","no increase","recovery phase"
"thunnus","region_3","deteriorating","no increase","recovery phase"
"thunnus","region_4","deteriorating","no increase","recovery phase"
"thunnus","region_5","deteriorating","no increase","recovery phase"
"thunnus","region_6","deteriorating","no increase","recovery phase"
"thunnus","region_7","deteriorating","no increase","recovery phase"
"thunnus","region_8","deteriorating","no increase","recovery phase"
"thunnus","region_9","deteriorating","no increase","recovery phase"
"triaenodon","region_1","maximally harvested","no increase",NA
"triaenodon","region_2","maximally harvested","no increase",NA
"triaenodon","region_3","maximally harvested","no increase",NA
"triaenodon","region_4","maximally harvested","no increase",NA
"triaenodon","region_5","maximally harvested","no increase",NA
"triaenodon","region_6","maximally harvested","no increase",NA
"triaenodon","region_7","maximally harvested","no increase",NA
"triaenodon","region_8","maximally harvested","no increase",NA
"triaenodon","region_9","maximally harvested","no increase",NA
