gear_type,target_species,n_vessels,gilman_gear_category,gilman_mapping_method,gilman_mapping_confidence,gilman_component_categories,R,C,A,O,H_gear,ghost_initial_mortality,ghost_duration_efficiency,ghost_vulnerability_species,ghost_fishing_mean,H_gear_ghost,bottom_destructive,confidence,mapping_notes,gilman_reference,gilman_ghost_reference
PALANGRE,ESCAMA | TIBURÓN | OTRAS,3,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN | ESCAMA,3,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN | ESCAMA | TIBURÓN,3,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN | TIBURÓN,3,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
VARA,ATÚN,3,"Pole-and-line, including anchored FADs",table2_single,high,NA,0.96,0.01,0.87,0.51,0.4896,0.25,0.6,0.25,0.3667,0.352,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,2,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,ESCAMA | TIBURÓN,2,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,OTRAS,2,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,SARDINA Y ANCHOVETA,2,"Trawl, midwater",table2_single,high,NA,0.49,0.39,0.09,0.42,0.2058,0.4,0.25,0.25,0.3,0.147,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE,TIBURÓN,2,"Trawl, bottom",table2_single,high,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE | PALANGRE,CAMARÓN | OTRAS,2,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE | PALANGRE | PESCA MULTIPLE,CAMARÓN | TIBURÓN | OTRAS,2,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: PESCA MULTIPLE.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
ARRASTRE | PESCA MULTIPLE,CAMARÓN | TIBURÓN,2,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,OTRAS,2,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,ESCAMA | TIBURÓN,2,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,TIBURÓN,2,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | OTRO,ESCAMA | OTRAS | OTRAS,2,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | OTRO | OTRO,ESCAMA | OTRAS,2,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS,2,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | OTRO | PALANGRE,ESCAMA | OTRAS,2,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS | OTRAS,2,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
