"Year","Major_Functional_Group","estimated_taxa_group","Stock","Total_Landed_Biomass","n_Records"
2001,"Demersal marine fishes","TIBURON","Galeocerdo",4593.5,44
2001,"Demersal marine fishes","TIBURON","Ginglymostoma",3667,27
2001,"Demersal marine fishes","TIBURON","Lamna",2298.8,15
2001,"Demersal marine fishes","TIBURON","Mustelus",124934.25,76
2001,"Demersal marine fishes","TIBURON","Prionace",88338.5,39
2001,"Demersal marine fishes","TIBURON","Sphyrna",4280.7,34
2001,"Demersal marine fishes","TIBURON","Squatina",937138.75,993
2001,"Diadromous fishes","OTRAS","Chanos",7106,38
2001,"Marine algae","ALGAS","Gelidium",4765200,156
2001,"Marine fishes NEI","MERO","Epinephelus",49381.9,470
2001,"Miscellaneous aquatic animals","ERIZO","Mesocentrotus",1852527,1458
2001,"Miscellaneous aquatic animals","ERIZO","Strongylocentrotus",365383,303
2001,"Molluscs excl. Cephalopods","ABULON","Haliotis",576130.98,1094
2001,"Molluscs excl. Cephalopods","ALMEJA","Argopecten",2721614,1375
2001,"Molluscs excl. Cephalopods","ALMEJA","Dosinia",169168,40
2001,"Molluscs excl. Cephalopods","ALMEJA","Megapitaria",1740347,958
2001,"Molluscs excl. Cephalopods","CARACOL","Hexaplex",20000,1
2001,"Molluscs excl. Cephalopods","CARACOL","Lobatus",10000,1
2001,"Molluscs excl. Cephalopods","CARACOL","Megastraea",1762877,278
2001,"Pelagic marine fishes","ATUN","Thunnus",90396228,424
2001,"Pelagic marine fishes","BARRILETE","Katsuwonus",4803241,174
2001,"Pelagic marine fishes","BONITO","Sarda",121931.1,140
2001,"Pelagic marine fishes","JUREL","Caranx",33598.5,529
2001,"Pelagic marine fishes","JUREL","Seriola",1236730.2,1047
2001,"Pelagic marine fishes","MACARELA","Scomber",13201205.64,164
2001,"Pelagic marine fishes","OTRAS","Ablennes",669,5
2001,"Pelagic marine fishes","OTRAS","Coryphaena",129467.65,430
2001,"Pelagic marine fishes","OTRAS","Xiphias",575084.25,153
2001,"Pelagic marine fishes","PAMPANO","Trachinotus",155166.9,598
2001,"Pelagic marine fishes","RONCO","Selene",48132,115
2001,"Pelagic marine fishes","SARDINA","Cetengraulis",124457771.12,886
2001,"Pelagic marine fishes","SARDINA","Etrumeus",304453.6,6
2001,"Pelagic marine fishes","SARDINA","Oligoplites",204,12
2001,"Pelagic marine fishes","SARDINA","Opisthonema",44310481.56,428
2001,"Pelagic marine fishes","SARDINA","Sardinops",295729983.56,3032
2001,"Pelagic marine fishes","SIERRA","Scomberomorus",4321951.52,2688
2001,"Shrimps, prawns","CAMARON","Farfantepenaeus",6004.2,7
2001,"Shrimps, prawns","CAMARON","Litopenaeus",39562.2,46
2001,"Shrimps, prawns","CAMARON","Penaeus",5258751.8,3208
2001,"Shrimps, prawns","CAMARON","Rimapenaeus",232031.2,378
2001,"Shrimps, prawns","CAMARON","Sicyonia",484839.6,132
2002,"Cephalopods","CALAMAR","Dosidicus",41982182.95,3129
2002,"Crustaceans","LANGOSTA","Panulirus",1813627,1335
2002,"Demersal marine fishes","BANDERA","Gerres",78452.9,206
2002,"Demersal marine fishes","BAQUETA","Hyporthodus",183506.65,376
2002,"Demersal marine fishes","BERRUGATA","Menticirrhus",227045.1,495
2002,"Demersal marine fishes","BERRUGATA","Micropogonias",1139651.2,1157
2002,"Demersal marine fishes","CABRILLA","Mycteroperca",482056.85,1260
2002,"Demersal marine fishes","CABRILLA","Paralabrax",4241628.9,1735
2002,"Demersal marine fishes","CARPA","Balistes",396933.15,858
2002,"Demersal marine fishes","CORVINA","Cynoscion",5055616.45,3241
2002,"Demersal marine fishes","GUACHINANGO","Lutjanus",2142631.25,4941
2002,"Demersal marine fishes","LENGUADO","Brotula",32845.4,108
2002,"Demersal marine fishes","LISA","Mugil",2818291,1946
2002,"Demersal marine fishes","MERO","Hyporthodus niphobles",78589.2,194
2002,"Demersal marine fishes","MOJARRA","Anisotremus",139058.1,425
2002,"Demersal marine fishes","MOJARRA","Calamus",18015,100
2002,"Demersal marine fishes","MOJARRA","Diapterus",8127,51
2002,"Demersal marine fishes","MOJARRA","Eucinostomus argenteus",84346,350
2002,"Demersal marine fishes","MOJARRA","Eugerres",21979,184
2002,"Demersal marine fishes","MOJARRA","Haemulon",337195,1195
2002,"Demersal marine fishes","OTRAS","Acanthurus",9620,24
2002,"Demersal marine fishes","OTRAS","Anoplopoma",19357,91
2002,"Demersal marine fishes","OTRAS","Diplectrum",72918.85,135
2002,"Demersal marine fishes","OTRAS","Merluccius",38756.2,40
2002,"Demersal marine fishes","OTRAS","Microlepidotus",242,1
2002,"Demersal marine fishes","OTRAS","Nematistius",531.9,9
2002,"Demersal marine fishes","OTRAS","Orthopristis",46112,119
2002,"Demersal marine fishes","OTRAS","Parapsettus",890,3
2002,"Demersal marine fishes","OTRAS","Pseudupeneus",22963.7,27
2002,"Demersal marine fishes","OTRAS","Scorpaena",118980.1,481
2002,"Demersal marine fishes","OTRAS","Sphoeroides",448591.85,814
2002,"Demersal marine fishes","OTRAS","Stereolepis",111.9,2
2002,"Demersal marine fishes","OTRAS","Synodus",15197,62
2002,"Demersal marine fishes","PARGO","Hoplopagrus",59900.6,294
2002,"Demersal marine fishes","PIERNA","Caulolatilus",629178.95,845
2002,"Demersal marine fishes","RAYA Y SIMILARES","Aetobatus",7446.3,100
2002,"Demersal marine fishes","RAYA Y SIMILARES","Hypanus",1135406.3,865
2002,"Demersal marine fishes","RAYA Y SIMILARES","Mobula",768506.65,739
2002,"Demersal marine fishes","RAYA Y SIMILARES","Pseudobatos",919332.7,1112
2002,"Demersal marine fishes","ROBALO","Centropomus",305066.6,2549
2002,"Demersal marine fishes","RONCO","Haemulopsis",99760.1,315
2002,"Demersal marine fishes","TIBURON","Alopias",20372,10
2002,"Demersal marine fishes","TIBURON","Carcharhinus",86126.3,159
2002,"Demersal marine fishes","TIBURON","Galeocerdo",3712.5,42
2002,"Demersal marine fishes","TIBURON","Ginglymostoma",127.3,3
2002,"Demersal marine fishes","TIBURON","Lamna",9310,37
2002,"Demersal marine fishes","TIBURON","Mustelus",94400.25,78
2002,"Demersal marine fishes","TIBURON","Prionace",52406.25,47
2002,"Demersal marine fishes","TIBURON","Sphyrna",693.75,9
2002,"Demersal marine fishes","TIBURON","Squatina",476902.55,740
2002,"Diadromous fishes","OTRAS","Chanos",33938.5,71
2002,"Marine algae","ALGAS","Gelidium",5200598,217
2002,"Marine fishes NEI","MERO","Epinephelus",43640.8,398
2002,"Miscellaneous aquatic animals","ERIZO","Mesocentrotus",1623762,1302
2002,"Miscellaneous aquatic animals","ERIZO","Strongylocentrotus",442304,321
2002,"Molluscs excl. Cephalopods","ABULON","Haliotis",602441.54,1192
2002,"Molluscs excl. Cephalopods","ALMEJA","Argopecten",9850647,1378
2002,"Molluscs excl. Cephalopods","ALMEJA","Dosinia",83341,17
2002,"Molluscs excl. Cephalopods","ALMEJA","Megapitaria",1402369,774
2002,"Molluscs excl. Cephalopods","CARACOL","Hexaplex",51000,4
2002,"Molluscs excl. Cephalopods","CARACOL","Lobatus",400,2
2002,"Molluscs excl. Cephalopods","CARACOL","Megastraea",1751166,252
2002,"Pelagic marine fishes","ATUN","Thunnus",1581409,35
2002,"Pelagic marine fishes","BARRILETE","Katsuwonus",418725,24
2002,"Pelagic marine fishes","BONITO","Sarda",201030.55,161
2002,"Pelagic marine fishes","JUREL","Caranx",38570,370
2002,"Pelagic marine fishes","JUREL","Seriola",902176.2,889
2002,"Pelagic marine fishes","MACARELA","Scomber",25745,81
2002,"Pelagic marine fishes","OTRAS","Ablennes",1357.5,11
2002,"Pelagic marine fishes","OTRAS","Coryphaena",123310.35,359
2002,"Pelagic marine fishes","OTRAS","Istiophorus",355,2
2002,"Pelagic marine fishes","OTRAS","Xiphias",62707,13
2002,"Pelagic marine fishes","PAMPANO","Trachinotus",190967.6,468
2002,"Pelagic marine fishes","RONCO","Selene",82687.3,185
2002,"Pelagic marine fishes","SARDINA","Oligoplites",1183.2,2
2002,"Pelagic marine fishes","SIERRA","Scomberomorus",3622172.45,1950
2002,"Shrimps, prawns","CAMARON","Litopenaeus",4128,8
2002,"Shrimps, prawns","CAMARON","Penaeus",2901581.4,1810
2002,"Shrimps, prawns","CAMARON","Rimapenaeus",42712.2,44
2002,"Shrimps, prawns","CAMARON","Sicyonia",14457.2,5
2003,"Cephalopods","CALAMAR","Dosidicus",72912686.2,3778
2003,"Crustaceans","LANGOSTA","Panulirus",2019029,1509
2003,"Demersal marine fishes","BANDERA","Gerres",121955.8,226
2003,"Demersal marine fishes","BAQUETA","Hyporthodus",328905.2,723
2003,"Demersal marine fishes","BERRUGATA","Menticirrhus",288054.6,630
2003,"Demersal marine fishes","BERRUGATA","Micropogonias",2157318.25,2482
2003,"Demersal marine fishes","CABRILLA","Mycteroperca",618412.35,1704
2003,"Demersal marine fishes","CABRILLA","Paralabrax",5011745.8,2353
2003,"Demersal marine fishes","CARPA","Balistes",1192403.8,1418
2003,"Demersal marine fishes","CORVINA","Cynoscion",4390560,4010
2003,"Demersal marine fishes","GUACHINANGO","Lutjanus",2642426.6,7469
2003,"Demersal marine fishes","LENGUADO","Brotula",180913.5,271
2003,"Demersal marine fishes","LISA","Mugil",2390228.2,2540
2003,"Demersal marine fishes","MERO","Hyporthodus niphobles",78671.1,212
2003,"Demersal marine fishes","MOJARRA","Anisotremus",143474.95,487
2003,"Demersal marine fishes","MOJARRA","Calamus",25890,152
2003,"Demersal marine fishes","MOJARRA","Diapterus",20046,119
2003,"Demersal marine fishes","MOJARRA","Eucinostomus argenteus",58807,595
2003,"Demersal marine fishes","MOJARRA","Eugerres",31237,236
2003,"Demersal marine fishes","MOJARRA","Haemulon",443582.8,1885
2003,"Demersal marine fishes","OTRAS","Acanthurus",10281,29
2003,"Demersal marine fishes","OTRAS","Anoplopoma",27954.75,202
2003,"Demersal marine fishes","OTRAS","Diplectrum",68636.9,159
2003,"Demersal marine fishes","OTRAS","Merluccius",969268.3,122
2003,"Demersal marine fishes","OTRAS","Microlepidotus",8971.2,30
2003,"Demersal marine fishes","OTRAS","Nematistius",421.5,3
2003,"Demersal marine fishes","OTRAS","Nicholsina",3549.6,9
2003,"Demersal marine fishes","OTRAS","Orthopristis",35378,119
2003,"Demersal marine fishes","OTRAS","Paranthias",290,1
2003,"Demersal marine fishes","OTRAS","Parapsettus",1352,6
2003,"Demersal marine fishes","OTRAS","Pseudupeneus",19498.1,9
2003,"Demersal marine fishes","OTRAS","Scorpaena",124359.1,400
2003,"Demersal marine fishes","OTRAS","Sphoeroides",740292.75,1424
2003,"Demersal marine fishes","OTRAS","Stereolepis",346,3
2003,"Demersal marine fishes","OTRAS","Synodus",51508,151
2003,"Demersal marine fishes","PARGO","Hoplopagrus",73393,380
2003,"Demersal marine fishes","PIERNA","Caulolatilus",823501.25,1279
2003,"Demersal marine fishes","RAYA Y SIMILARES","Aetobatus",29406.05,77
2003,"Demersal marine fishes","RAYA Y SIMILARES","Hypanus",1790718,1369
2003,"Demersal marine fishes","RAYA Y SIMILARES","Mobula",1134278.25,898
2003,"Demersal marine fishes","RAYA Y SIMILARES","Pseudobatos",1464584,1646
2003,"Demersal marine fishes","ROBALO","Centropomus",399247.4,3281
2003,"Demersal marine fishes","RONCO","Haemulopsis",239409.8,677
2003,"Demersal marine fishes","TIBURON","Alopias",42254.4,39
2003,"Demersal marine fishes","TIBURON","Carcharhinus",120291.1,272
2003,"Demersal marine fishes","TIBURON","Galeocerdo",2347.5,13
2003,"Demersal marine fishes","TIBURON","Ginglymostoma",3810.4,33
2003,"Demersal marine fishes","TIBURON","Lamna",4357.1,34
2003,"Demersal marine fishes","TIBURON","Mustelus",306830.75,196
2003,"Demersal marine fishes","TIBURON","Prionace",221092.15,107
2003,"Demersal marine fishes","TIBURON","Sphyrna",27133.85,47
2003,"Demersal marine fishes","TIBURON","Squatina",762652.7,897
2003,"Diadromous fishes","OTRAS","Chanos",37411,102
2003,"Marine algae","ALGAS","Gelidium",5082790,229
2003,"Marine fishes NEI","MERO","Epinephelus",56882.1,532
2003,"Miscellaneous aquatic animals","ERIZO","Mesocentrotus",1559272,1345
2003,"Miscellaneous aquatic animals","ERIZO","Strongylocentrotus",263989,275
2003,"Molluscs excl. Cephalopods","ABULON","Haliotis",710080.96,1049
2003,"Molluscs excl. Cephalopods","ALMEJA","Argopecten",6651563,1279
2003,"Molluscs excl. Cephalopods","ALMEJA","Dosinia",195877,26
2003,"Molluscs excl. Cephalopods","ALMEJA","Megapitaria",1727526,1005
2003,"Molluscs excl. Cephalopods","CARACOL","Hexaplex",33430,2
2003,"Molluscs excl. Cephalopods","CARACOL","Lobatus",16822,58
2003,"Molluscs excl. Cephalopods","CARACOL","Megastraea",1269558,199
2003,"Pelagic marine fishes","ATUN","Thunnus",82999504.5,291
2003,"Pelagic marine fishes","BARRILETE","Katsuwonus",5603099.3,253
2003,"Pelagic marine fishes","BONITO","Sarda",67426.45,193
2003,"Pelagic marine fishes","JUREL","Caranx",51450.7,537
2003,"Pelagic marine fishes","JUREL","Seriola",1371344.6,1289
2003,"Pelagic marine fishes","MACARELA","Scomber",10085197.52,369
2003,"Pelagic marine fishes","OTRAS","Ablennes",1387.35,16
2003,"Pelagic marine fishes","OTRAS","Coryphaena",353930.65,456
2003,"Pelagic marine fishes","OTRAS","Istiophorus",15729.45,55
2003,"Pelagic marine fishes","OTRAS","Sphyraena",500,1
2003,"Pelagic marine fishes","OTRAS","Xiphias",34543.25,27
2003,"Pelagic marine fishes","PAMPANO","Trachinotus",200017.5,516
2003,"Pelagic marine fishes","RONCO","Selene",154540.6,301
2003,"Pelagic marine fishes","SARDINA","Cetengraulis",19058316.28,163
2003,"Pelagic marine fishes","SARDINA","Etrumeus",8032614.88,80
2003,"Pelagic marine fishes","SARDINA","Opisthonema",149525466.24,1429
2003,"Pelagic marine fishes","SARDINA","Sardinops",201260172.84,1529
2003,"Pelagic marine fishes","SIERRA","Scomberomorus",4170289.61,2980
2003,"Shrimps, prawns","CAMARON","Farfantepenaeus",5757,14
2003,"Shrimps, prawns","CAMARON","Litopenaeus",50442.2,68
2003,"Shrimps, prawns","CAMARON","Penaeus",8971636,6169
2003,"Shrimps, prawns","CAMARON","Rimapenaeus",311860,319
2003,"Shrimps, prawns","CAMARON","Sicyonia",204262.6,46
2004,"Cephalopods","CALAMAR","Dosidicus",55356458,3615
2004,"Crustaceans","LANGOSTA","Panulirus",1607551,1483
2004,"Demersal marine fishes","BANDERA","Gerres",109572.6,185
2004,"Demersal marine fishes","BAQUETA","Hyporthodus",295025.3,752
2004,"Demersal marine fishes","BERRUGATA","Menticirrhus",221229,534
2004,"Demersal marine fishes","BERRUGATA","Micropogonias",2609984.4,2363
2004,"Demersal marine fishes","CABRILLA","Mycteroperca",612717.75,1775
2004,"Demersal marine fishes","CABRILLA","Paralabrax",5049463.4,2486
2004,"Demersal marine fishes","CARPA","Balistes",1394120.35,1710
2004,"Demersal marine fishes","CORVINA","Cynoscion",1937204,4016
2004,"Demersal marine fishes","GUACHINANGO","Lutjanus",2673632.1,7804
2004,"Demersal marine fishes","LENGUADO","Brotula",270381.6,406
2004,"Demersal marine fishes","LISA","Mugil",2791031.5,2565
2004,"Demersal marine fishes","MERO","Hyporthodus niphobles",79103.1,266
2004,"Demersal marine fishes","MOJARRA","Anisotremus",154073.05,494
2004,"Demersal marine fishes","MOJARRA","Calamus",19364,122
2004,"Demersal marine fishes","MOJARRA","Diapterus",32545,138
2004,"Demersal marine fishes","MOJARRA","Eucinostomus argenteus",94412,540
2004,"Demersal marine fishes","MOJARRA","Eugerres",52312,262
2004,"Demersal marine fishes","MOJARRA","Haemulon",361793.2,1666
2004,"Demersal marine fishes","OTRAS","Acanthurus",4186,20
2004,"Demersal marine fishes","OTRAS","Anoplopoma",41284.3,256
2004,"Demersal marine fishes","OTRAS","Diplectrum",63681.9,182
2004,"Demersal marine fishes","OTRAS","Merluccius",2412717.1,268
