"estimated_taxa_group","estimated_genus_name","estimated_family_name","most_likely_family"
"CAZON","Rhizorionodon","family missing but genus available",NA
"ROBALO","Centropomus","family missing but genus available",NA
"BANDERA","NEI","Gerreidae","Gerreidae"
"CHARAL",NA,NA,NA
"ALMEJA","Ruditapes","family missing but genus available",NA
"LOBINA",NA,NA,NA
"CAMARON","Litopenaeus","family missing but genus available",NA
"ESMEDREGAL","NEI","Carangidae","Carangidae"
"LANGOSTA",NA,NA,NA
"TIBURON","Alopias","family missing but genus available",NA
"CINTILLA",NA,NA,NA
"LISA","Mugil","family missing but genus available",NA
"ESMEDREGAL",NA,NA,NA
"OSTION","Magallana","Ostreidae","Ostreidae"
"TIBURON","Sypyrna","family missing but genus available",NA
"RAYA Y SIMILARES","Dasyatis","family missing but genus available",NA
"ALMEJA","Chione","family missing but genus available",NA
"LENGUADO","Achirus","family missing but genus available",NA
"JAIBA",NA,NA,NA
"BERRUGATA",NA,"Sciaenidae","Sciaenidae"
"MOJARRA","Lepomis","family missing but genus available",NA
"CORVINA",NA,"Sciaenidae","Sciaenidae"
"PULPO",NA,NA,NA
"OTRAS","Balistes","Balistidae","Balistidae"
"OTRAS","unknown",NA,NA
"OTRAS","Sphoeroides","Tetraodontidae","Tetraodontidae"
"OTRAS","Pseudobatos","Rhinobatidae","Rhinobatidae"
"OTRAS","Haemulon","Haemulidae","Haemulidae"
"OTRAS","Caulolatilus","Malacanthidae","Malacanthidae"
"OTRAS","Anisotremus","Haemulidae","Haemulidae"
"OTRAS","Centropomus","Centropomidae","Centropomidae"
"OTRAS","NEI","NEI","NEI"
"OTRAS","NEI","Sphyraenidae","Sphyraenidae"
"OTRAS","Scorpaena","Scorpaenidae","Scorpaenidae"
"OTRAS","NEI","Labridae","Labridae"
"OTRAS","NEI","Sebastidae","Sebastidae"
"OTRAS","NEI","Kyphosidae","Kyphosidae"
"OTRAS","Paralabrax","Serranidae","Serranidae"
"OTRAS","Orthopristis","Haemulidae","Haemulidae"
"OTRAS","Pseudupeneus","Mullidae","Mullidae"
"OTRAS","Anoplopoma","Anoplopomatidae","Anoplopomatidae"
"OTRAS","Xiphias","Xiphiidae","Xiphiidae"
"OTRAS","Coryphaena","Coryphaenidae","Coryphaenidae"
"OTRAS","Lutjanus","Lutjanidae","Lutjanidae"
"OTRAS","Aluterus","Monacanthidae","Monacanthidae"
"OTRAS","Diplectrum","Serranidae","Serranidae"
"OTRAS","Chanos","Chanidae","Chanidae"
"OTRAS","NEI","Mytilidae","Mytilidae"
"OTRAS","Opistognathus","Opistognathidae","Opistognathidae"
"OTRAS","Microlepidotus","Haemulidae","Haemulidae"
"OTRAS","Paranthias","Serranidae","Serranidae"
"OTRAS","Epinephelus","Serranidae","Serranidae"
"OTRAS","Caranx","Carangidae","Carangidae"
"OTRAS","Selene","Carangidae","Carangidae"
"OTRAS","Xenichthys","Haemulidae","Haemulidae"
"OTRAS","Merluccius","Merlucciidae","Merlucciidae"
"OTRAS","NEI","Serranidae","Serranidae"
"OTRAS","NEI","Istiophoridae","Istiophoridae"
"OTRAS","Mycteroperca","Serranidae","Serranidae"
"OTRAS","Nematistius","Nematistiidae","Nematistiidae"
"OTRAS","Trachinotus","Carangidae","Carangidae"
"OTRAS","Acanthurus","Acanthuridae","Acanthuridae"
"OTRAS","Oligoplites","Carangidae","Carangidae"
"OTRAS","NEI","Hemiramphidae","Hemiramphidae"
"OTRAS","Gillichthys","family missing but genus available",NA
"OTRAS","Atrina","family missing but genus available",NA
"OTRAS","Pinna","family missing but genus available",NA
"OTRAS","Istiophorus","Istiophoridae","Istiophoridae"
"OTRAS","Parapsettus","Ephippidae","Ephippidae"
"OTRAS","Scorpaenichthys","Cottidae","Cottidae"
"OTRAS","Abudefduf","Pomacentridae","Pomacentridae"
"OTRAS","Ablennes","Belonidae","Belonidae"
"OTRAS","Synodus","Synodontidae","Synodontidae"
"OTRAS","Dormitator","Eleotridae","Eleotridae"
"OTRAS","Sphyraena","Sphyraenidae","Sphyraenidae"
"OTRAS","Peprilus","Stromateidae","Stromateidae"
"OTRAS","Nicholsina","Scaridae","Scaridae"
"OTRAS","Ethmidium","family missing but genus available",NA
"OTRAS","Rana","family missing but genus available",NA
"OTRAS","Eucinostomus","Gerreidae","Gerreidae"
"OTRAS","Makaira","family missing but genus available",NA
"OTRAS","Tetrapturus","family missing but genus available",NA
"OTRAS","Anguilla","Anguillidae","Anguillidae"
"OTRAS","Stereolepis","Polyprionidae","Polyprionidae"
"OTRAS","Selar","Carangidae","Carangidae"
"OTRAS","Micropogonias","Sciaenidae","Sciaenidae"
"OTRAS","Mulloidichthys","Mullidae","Mullidae"
"OTRAS","Spondyliosoma","family missing but genus available",NA
"OTRAS","NEI","Muraenidae","Muraenidae"
"OTRAS","Sphoeroides","family missing but genus available",NA
"OTRAS","Scomberomorus","Scombridae","Scombridae"
"OTRAS","Pagurus","family missing but genus available",NA
"OTRAS","Algansea","Cyprinidae","Cyprinidae"
"OTRAS","Kyphosus","Kyphosidae","Kyphosidae"
"OTRAS","NEI","Batrachoididae","Batrachoididae"
"OTRAS","Hemicaranx","Carangidae","Carangidae"
"OTRAS","Helicolenus","family missing but genus available",NA
"OTRAS","Mytilus","Mytilidae","Mytilidae"
"OTRAS","Elops","Elopidae","Elopidae"
"OTRAS","Paranthias","family missing but genus available",NA
"OTRAS","Fistularia","family missing but genus available",NA
"OTRAS","Bathystoma","family missing but genus available",NA
"OTRAS","NEI","Sciaenidae","Sciaenidae"
"OTRAS","Lutjanus","family missing but genus available",NA
"OTRAS","Calappa","family missing but genus available",NA
"OTRAS","Bathygobius","family missing but genus available",NA
"OTRAS","NEI","Lutjanidae","Lutjanidae"
"OTRAS","Callinectes","family missing but genus available",NA
"OTRAS","Polydactylus","Polynemidae","Polynemidae"
"OTRAS","Lepisosteus","Lepisosteidae","Lepisosteidae"
"OTRAS","Pomadasys","Haemulidae","Haemulidae"
"OTRAS","Bathygobius","Gobiidae","Gobiidae"
"OTRAS","Lepidoseus","family missing but genus available",NA
"OTRAS","Sebastes","Sebastidae","Sebastidae"
"OTRAS","Bellator","family missing but genus available",NA
"OTRAS","NEI","Carangidae","Carangidae"
"OTRAS","Pollicipes","Pollicipedidae","Pollicipedidae"
"OTRAS","Strongylura","Belonidae","Belonidae"
"OTRAS","Lujtanus","family missing but genus available",NA
"OTRAS","Bairdiella","family missing but genus available",NA
"OTRAS","Cheilotrema","family missing but genus available",NA
"OTRAS","Evibacus","Scyllaridae","Scyllaridae"
"OTRAS","Pristis","family missing but genus available",NA
"OTRAS","Syngnathus","Syngnathidae","Syngnathidae"
"OTRAS","Chaetodipterus","family missing but genus available",NA
"OTRAS","Pseudocarcharias","family missing but genus available",NA
"OTRAS","Bagre","Ariidae","Ariidae"
"OTRAS","Merluccius","family missing but genus available",NA
"OTRAS","Cambarellus",NA,NA
"OTRAS","Chloroscombrus","Carangidae","Carangidae"
"OTRAS","Clupanodon","family missing but genus available",NA
"OTRAS","Hoplopagrus","Lutjanidae","Lutjanidae"
"OTRAS","Sphyraena","family missing but genus available",NA
"OTRAS","Nicholsina","family missing but genus available",NA
"OTRAS","Stomolophus",NA,NA
"OTRAS","Totoaba","Sciaenidae","Sciaenidae"
"OTRAS","Belone","family missing but genus available",NA
"OTRAS","Orthopristis","family missing but genus available",NA
"OTRAS","Hemirhamphus","family missing but genus available",NA
"OTRAS","Calamus","family missing but genus available",NA
"OTRAS","Actinia","family missing but genus available",NA
"OTRAS","Microlepidotus","family missing but genus available",NA
"OTRAS","Cyprinodon","family missing but genus available",NA
"OTRAS","Holocentrus","family missing but genus available",NA
"OTRAS","Micropterus","family missing but genus available",NA
"OTRAS","Selar","family missing but genus available",NA
"OTRAS","Sphoeriodes","family missing but genus available",NA
"OTRAS","Fistularia","Fistulariidae","Fistulariidae"
"OTRAS","Brevoortia","family missing but genus available",NA
"OTRAS","Menticirrhus","family missing but genus available",NA
"OTRAS","Perissias","Bothidae","Bothidae"
"OTRAS","Chaceon","family missing but genus available",NA
"OTRAS","Hemiramphus","family missing but genus available",NA
"OTRAS","Diplodus","family missing but genus available",NA
"OTRAS","Alphestes","family missing but genus available",NA
"OTRAS","Albula","family missing but genus available",NA
"OTRAS","Cathorops","family missing but genus available",NA
"OTRAS","unknown","family missing but genus available",NA
"OTRAS","Amphiprion",NA,NA
"OTRAS","Sumatrano","family missing but genus available",NA
"OTRAS","Dorosoma","family missing but genus available",NA
"OTRAS","Tetra","family missing but genus available",NA
"OTRAS","Dormitator","family missing but genus available",NA
"OTRAS","Mytilus","family missing but genus available",NA
"OTRAS","Synodus","family missing but genus available",NA
"OTRAS","Mytilus",NA,NA
"OTRAS","Luidia",NA,NA
"OTRAS","Ucides",NA,NA
"OTRAS","Haemulon","family missing but genus available",NA
