estimated_genus_name,Major_Functional_Group,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Mytilus,Molluscs excl. Cephalopods,OTRAS,Mytilidae,Mytilidae,Mytilidae,family name was estimated from previous keys
Amiantis,Molluscs excl. Cephalopods,ALMEJA,NA,NA,Veneridae,family name was logged manually
Bathystoma,Demersal marine fishes,OTRAS,NA,NA,Haemulidae,family name was logged manually
Especies,Echinoderms,PEPINO DE MAR,NA,NA,Family cannot be determined; class Holothuroidea,family name was logged manually
Hemirhamphus,Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,NA,Hemiramphidae,family name was logged manually
Lujtanus,Demersal marine fishes,OTRAS,NA,NA,Lutjanidae,family name was logged manually
Rhizorionodon,Sharks,CAZON,NA,NA,Carcharhinidae,family name was logged manually
Sphoeriodes,Demersal marine fishes,OTRAS,NA,NA,Tetraodontidae,family name was logged manually
Sypyrna,Sharks,TIBURON,NA,NA,Sphyrnidae,family name was logged manually
Nematistius,Demersal marine fishes,OTRAS,Nematistiidae,Nematistiidae,Nematistiidae,family name was estimated from previous keys
Octopus,Cephalopods,PULPO,Octopodidae,Octopodidae,Octopodidae,family name was estimated from previous keys
Ucides,Crustaceans,OTRAS,NA,Ocypodidae,Ocypodidae,family name was estimated from genus name using taxize function
Dosidicus,Cephalopods,CALAMAR,Ommastrephidae,Ommastrephidae,Ommastrephidae,family name was estimated from previous keys
Brotula,Demersal marine fishes,LENGUADO,Ophidiidae,Ophidiidae,Ophidiidae,family name was estimated from previous keys
Opistognathus,Demersal marine fishes,OTRAS,Opistognathidae,Opistognathidae,Opistognathidae,family name was estimated from previous keys
Crassostrea,Molluscs excl. Cephalopods,OSTION,Ostreidae,Ostreidae,Ostreidae,family name was estimated from previous keys
Magallana,Molluscs excl. Cephalopods,OSTION,Ostreidae,NA,Ostreidae,family name was estimated from previous keys
Pagurus,Crustaceans,OTRAS,NA,Paguridae,Paguridae,family name was estimated from genus name using taxize function
Panulirus,Crustaceans,LANGOSTA,Palinuridae,Palinuridae,Palinuridae,family name was estimated from previous keys
Argopecten,Molluscs excl. Cephalopods,ALMEJA,Pectinidae,Pectinidae,Pectinidae,family name was estimated from previous keys
Farfantepenaeus,"Shrimps, prawns",CAMARON,NA,Penaeidae,Penaeidae,family name was estimated from genus name using taxize function
Litopenaeus,"Shrimps, prawns",CAMARON,Penaeidae,Penaeidae,Penaeidae,family name was estimated from previous keys
Metapenaeus,"Shrimps, prawns",CAMARON,NA,Penaeidae,Penaeidae,family name was estimated from genus name using taxize function
Penaeus,"Shrimps, prawns",CAMARON,Penaeidae,Penaeidae,Penaeidae,family name was estimated from previous keys
Rimapenaeus,"Shrimps, prawns",CAMARON,Penaeidae,Penaeidae,Penaeidae,family name was estimated from previous keys
Xiphopenaeus,"Shrimps, prawns",CAMARON,NA,Penaeidae,Penaeidae,family name was estimated from genus name using taxize function
Atrina,Molluscs excl. Cephalopods,OTRAS,NA,Pinnidae,Pinnidae,family name was estimated from genus name using taxize function
Pinna,Molluscs excl. Cephalopods,OTRAS,NA,Pinnidae,Pinnidae,family name was estimated from genus name using taxize function
Pollicipes,Crustaceans,OTRAS,Pollicipedidae,Pollicipedidae,Pollicipedidae,family name was estimated from previous keys
Polydactylus,Demersal marine fishes,LISA,Polynemidae,Polynemidae,Polynemidae,family name was estimated from previous keys
Stereolepis,Demersal marine fishes,OTRAS,Polyprionidae,Polyprionidae,Polyprionidae,family name was estimated from previous keys
Abudefduf,Pelagic marine fish (excl. anchovy & sardine),OTRAS,Pomacentridae,Pomacentridae,Pomacentridae,family name was estimated from previous keys
Callinectes,Crustaceans,JAIBA,Portunidae,Portunidae,Portunidae,family name was estimated from previous keys
Pristis,Sharks,OTRAS,NA,Pristidae,Pristidae,family name was estimated from genus name using taxize function
Pseudocarcharias,Sharks,OTRAS,NA,Pseudocarchariidae,Pseudocarchariidae,family name was estimated from genus name using taxize function
Pseudobatos,Demersal marine fishes,RAYA Y SIMILARES,Rhinobatidae,Rhinobatidae,Rhinobatidae,family name was estimated from previous keys
Rhinobatos,Demersal marine fishes,RAYA Y SIMILARES,NA,Rhinobatidae,Rhinobatidae,family name was estimated from genus name using taxize function
Nicholsina,Demersal marine fishes,OTRAS,Scaridae,Labridae,Scaridae,family name was estimated from previous keys
Bairdiella,Demersal marine fishes,OTRAS,NA,Sciaenidae,Sciaenidae,family name was estimated from genus name using taxize function
Cheilotrema,Demersal marine fishes,OTRAS,NA,Sciaenidae,Sciaenidae,family name was estimated from genus name using taxize function
Cynoscion,Demersal marine fishes,CORVINA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Larimus,Demersal marine fishes,CORVINA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Menticirrhus,Demersal marine fishes,BERRUGATA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Micropogonias,Demersal marine fishes,BERRUGATA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Totoaba,Demersal marine fishes,OTRAS,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Acanthocybium,Demersal marine fishes,PETO,NA,Scombridae,Scombridae,family name was estimated from genus name using taxize function
Euthynnus,Pelagic marine fish (excl. anchovy & sardine),BARRILETE,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Katsuwonus,Pelagic marine fish (excl. anchovy & sardine),BARRILETE,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Scomber,Pelagic marine fish (excl. anchovy & sardine),MACARELA,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Scomberomorus,Pelagic marine fish (excl. anchovy & sardine),SIERRA,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Thunnus,Pelagic marine fish (excl. anchovy & sardine),ATUN,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Scorpaena,Demersal marine fishes,OTRAS,Scorpaenidae,Scorpaenidae,Scorpaenidae,family name was estimated from previous keys
Evibacus,Crustaceans,OTRAS,Scyllaridae,Scyllaridae,Scyllaridae,family name was estimated from previous keys
Helicolenus,Demersal marine fishes,OTRAS,NA,Sebastidae,Sebastidae,family name was estimated from genus name using taxize function
Sebastes,Demersal marine fishes,OTRAS,Sebastidae,Sebastidae,Sebastidae,family name was estimated from previous keys
Alphestes,Demersal marine fishes,OTRAS,NA,Serranidae,Serranidae,family name was estimated from genus name using taxize function
Diplectrum,Demersal marine fishes,OTRAS,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Epinephelus,Demersal marine fishes,MERO,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Hyporthodus,Demersal marine fishes,BAQUETA,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Mycteroperca,Demersal marine fishes,CABRILLA,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Paralabrax,Demersal marine fishes,CABRILLA,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Paranthias,Demersal marine fishes,OTRAS,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Sicyonia,"Shrimps, prawns",CAMARON,Sicyoniidae,Sicyoniidae,Sicyoniidae,family name was estimated from previous keys
Eucheuma,Marine algae,ALGAS,NA,Solieriaceae,Solieriaceae,family name was estimated from genus name using taxize function
Calamus,Demersal marine fishes,MOJARRA,Sparidae,NA,Sparidae,family name was estimated from previous keys
Dentex,Demersal marine fishes,BANDERA,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
Diplodus,Demersal marine fishes,OTRAS,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
Lagodon,Anchovy & Sardine (small pelagics),SARDINA,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
