estimated_genus_name,Major_Functional_Group,Major_Functional_Group_adjusted,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Urotrygon,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,Urotrygonidae,Urotrygonidae,Urotrygonidae,family name was estimated from previous keys
Anguilla,Diadromous fishes,Diadromous fishes,OTRAS,Anguillidae,Anguillidae,Anguillidae,family name was estimated from previous keys
Chanos,Diadromous fishes,Diadromous fishes,OTRAS,Chanidae,Chanidae,Chanidae,family name was estimated from previous keys
Luidia,Echinoderms,Echinoderms,OTRAS,NA,Luidiidae,Luidiidae,family name was estimated from genus name using taxize function
Especies,Echinoderms,Echinoderms,PEPINO DE MAR,NA,NA,Family cannot be determined; class Holothuroidea,family name was logged manually
Mesocentrotus,Echinoderms,Echinoderms,ERIZO,Strongylocentrotidae,Strongylocentrotidae,Strongylocentrotidae,family name was estimated from previous keys
Strongylocentrotus,Echinoderms,Echinoderms,ERIZO,Strongylocentrotidae,Strongylocentrotidae,Strongylocentrotidae,family name was estimated from previous keys
Stomolophus,Jellies,Jellies,OTRAS,NA,Stomolophidae,Stomolophidae,family name was estimated from genus name using taxize function
Gelidium,Marine algae,Marine algae,ALGAS,NA,Gelidiaceae,Gelidiaceae,family name was estimated from genus name using taxize function
Eucheuma,Marine algae,Marine algae,ALGAS,NA,Solieriaceae,Solieriaceae,family name was estimated from genus name using taxize function
Chirostoma,Marine fishes NEI,Marine fishes NEI,CHARAL,NA,Atherinopsidae,Atherinopsidae,family name was estimated from genus name using taxize function
Triplofusus,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,CARACOL,Fasciolariidae,Fasciolariidae,Fasciolariidae,family name was estimated from previous keys
Megathura,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,CARACOL,Fissurellidae,Fissurellidae,Fissurellidae,family name was estimated from previous keys
Haliotis,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,ABULON,Haliotidae,Haliotidae,Haliotidae,family name was estimated from previous keys
Panopea,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,ALMEJA,Hiatellidae,Hiatellidae,Hiatellidae,family name was estimated from previous keys
Hexaplex,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,CARACOL,Muricidae,Muricidae,Muricidae,family name was estimated from previous keys
Mytilus,Molluscs excl. Cephalopods,Molluscs excl. Cephalopods,OTRAS,Mytilidae,Mytilidae,Mytilidae,family name was estimated from previous keys
