year,eu_rnpa,Major_Functional_Group,total_catch_kg
2018,0203127220,Sharks,22779.9
2018,0203127477,Demersal marine fishes,88779.8
2018,0203127477,Marine fishes NEI,16917
2018,0203127477,Marine or freshwater fishes NEI,1240.7
2018,0203127477,Marine species NEI,28.5
2018,0203127477,Pelagic marine fish (excl. anchovy & sardine),14147
2018,0203127477,Sharks,23959.6
2018,0203127485,Molluscs excl. Cephalopods,128419
2018,0206001133,Pelagic marine fish (excl. anchovy & sardine),19000
2018,0207000092,Demersal marine fishes,285523.75
2018,0207000092,Marine or freshwater fishes NEI,6730
2018,0207000092,Marine species NEI,27670
2018,0207000092,Pelagic marine fish (excl. anchovy & sardine),5520
2018,0207000092,Sharks,4259.75
2018,0207000092,"Shrimps, prawns",33326.4
2018,0207000787,Demersal marine fishes,134263.4
2018,0207000787,Molluscs excl. Cephalopods,7070
2018,0207000787,Pelagic marine fish (excl. anchovy & sardine),165830
2018,0207000787,Sharks,59921.25
2018,0207001256,Crustaceans,1300
2018,0207001256,Demersal marine fishes,240674.55
2018,0207001256,Marine or freshwater fishes NEI,670
2018,0207001256,Marine species NEI,1020
2018,0207001256,Pelagic marine fish (excl. anchovy & sardine),393607
2018,0207001256,Sharks,106976.5
2018,0207001264,Molluscs excl. Cephalopods,85003.46
2018,0207001603,Demersal marine fishes,351499.95
2018,0207001603,Pelagic marine fish (excl. anchovy & sardine),426610
2018,0207001603,Sharks,83280
2018,0207001603,"Shrimps, prawns",480
2018,0207001611,Pelagic marine fish (excl. anchovy & sardine),15000
2018,0207001660,Cephalopods,920
2018,0207001660,Molluscs excl. Cephalopods,22750
2018,0207001660,Pelagic marine fish (excl. anchovy & sardine),47000
2018,0207001702,Molluscs excl. Cephalopods,106307.63
2018,0207001744,Demersal marine fishes,2245
2018,0207001744,Molluscs excl. Cephalopods,212938
2018,0207001744,Pelagic marine fish (excl. anchovy & sardine),66740
2018,0207001744,Sharks,50
2018,0207001751,Demersal marine fishes,192569.85
2018,0207001751,Molluscs excl. Cephalopods,53209
2018,0207001751,Pelagic marine fish (excl. anchovy & sardine),3486
2018,0207001751,Sharks,46.4
2018,0207001751,"Shrimps, prawns",5000
2018,0207001777,Molluscs excl. Cephalopods,22232
