"","cinfo.stock.i.","stock","yr","ct.raw","B","lcl.B","ucl.B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"464","hoplopagrus","hoplopagrus",2007,86.6597,662.868188869997,425.896049715154,857.153746712374,0.569609244799298,0.365976722543902,0.736560762063481,0.983694374486351,0.760726661836755,1.53103018648207
"465","hoplopagrus","hoplopagrus",2008,84.7714,697.457468621414,441.960845431149,880.478462465428,0.599332157813036,0.379781361700356,0.756603922903503,0.914538115802887,0.724437299033563,1.44323065221633
"466","hoplopagrus","hoplopagrus",2009,98.6775,727.194809822053,456.85140468321,902.634212493489,0.624885751646691,0.392576967753898,0.775642579839145,1.02102776409762,0.822576942530154,1.62522448902365
"467","hoplopagrus","hoplopagrus",2010,101.1825,752.811840816506,466.124032492024,912.494600311224,0.646898721832552,0.400545029296401,0.78411570941844,1.01132128652335,0.834344268015273,1.63333058648416
"468","hoplopagrus","hoplopagrus",2011,95.0136,772.544875863453,481.49204597213,920.457283458476,0.663855515625675,0.413750916529263,0.79095812245053,0.925405851786403,0.776698236560688,1.48479617653543
"469","hoplopagrus","hoplopagrus",2012,93.4871,795.579105016532,495.602478561539,927.17446144464,0.683649058433614,0.425876151962187,0.796730260477555,0.884175555349971,0.758683102538006,1.41934640650809
"470","hoplopagrus","hoplopagrus",2013,113.8179,815.949648739147,513.168536459999,958.378281413992,0.701153669788958,0.440970840682579,0.823544014140852,1.0495844619298,0.893601294647604,1.6688631749356
"471","hoplopagrus","hoplopagrus",2014,121.9664,833.358443480844,535.808791195011,997.997570981682,0.716113220710519,0.460425837344371,0.857589264748831,1.10123130682028,0.919561764926347,1.71277594329376
"472","hoplopagrus","hoplopagrus",2015,143.4462,845.553076291894,557.03517208167,1019.34420873771,0.726592190289597,0.478665878109163,0.875932643440668,1.27649276669201,1.05885958490642,1.93765571697603
"473","hoplopagrus","hoplopagrus",2016,168.50675,844.629838309183,566.606154872922,1023.00978621191,0.72579884268455,0.486890319063262,0.879082510717289,1.50113954850969,1.23938917420544,2.23772234599469
"474","hoplopagrus","hoplopagrus",2017,202.39255,825.090299067037,576.890499070372,1009.4766273294,0.709008321766027,0.495727758587328,0.867453332337258,1.84570898102202,1.50858032163755,2.63980179530814
"475","hoplopagrus","hoplopagrus",2018,198.1593,783.915652194989,563.083940330907,965.361964406417,0.673626537116432,0.483863644983882,0.829545162577336,1.90202100016647,1.54452328536776,2.64796050116052
"476","hoplopagrus","hoplopagrus",2019,158.8077,722.501265505526,535.85686593183,900.489493218569,0.620852542211606,0.460467148445119,0.773799601179124,1.65387669676448,1.32697606735141,2.22993878099241
"477","hoplopagrus","hoplopagrus",2020,143.0982,667.75825382357,499.405010000629,825.273172522573,0.573811326377497,0.429143705146536,0.709165466749978,1.6124456696243,1.30468787861179,2.15601342231697
"478","hoplopagrus","hoplopagrus",2021,143.3069,623.745557884082,458.875635522989,779.258656125303,0.535990777863304,0.394316409500095,0.669624733954315,1.72874055337363,1.38374368051612,2.34986161266096
"479","hoplopagrus","hoplopagrus",2022,186.5113,591.853642924365,414.497498099359,754.553222364085,0.508585737313122,0.356181833474406,0.648395108361395,2.37116080906396,1.85988227365469,3.38573856112296
"480","hoplopagrus","hoplopagrus",2023,159.474,548.197370218344,344.88991760061,723.873459402906,0.471071466837689,0.296367345426957,0.622031682111103,2.32330554389109,1.75946496287537,3.69285944406669
"481","hoplopagrus","hoplopagrus",2024,183.84008,494.197860488951,242.967063063919,688.059568424091,0.4246691496456,0.208784020151682,0.591256448457874,3.29555690749164,2.36702932063306,6.70320146386876
"482","merluccius","merluccius",2000,214.7089,25892.2161359662,19783.0880104769,32043.3044795542,1.30048223377563,0.993640496114481,1.60943149741586,0.0293263945832895,0.0236968489789704,0.0383825491064403
"483","merluccius","merluccius",2001,655.8593,30945.7989861266,24488.8693647672,35994.0844059404,1.55430734781898,1.22999666644577,1.80786638907759,0.0749526222338817,0.0644402773237367,0.0947152253778556
"484","merluccius","merluccius",2002,38.754,34549.1614756757,28455.6663701466,38010.0489786547,1.73529258581113,1.42923604415684,1.90912176625229,0.00396695134609907,0.00360575285497505,0.00481643412738043
"485","merluccius","merluccius",2003,969.2683,36883.6777926349,31842.8378842933,39003.0389383073,1.85254778632089,1.59936270901114,1.95899643878185,0.0929367840444281,0.0878867516759488,0.107649023313628
"486","merluccius","merluccius",2004,2412.7171,37855.2917063456,34253.2811514196,39021.8551828488,1.90134880923198,1.72043147454131,1.95994151785905,0.225401943033797,0.218663522396337,0.249104786983827
"487","merluccius","merluccius",2005,1547.7781,37716.967423009,35317.8340911622,38472.057142744,1.89440122807344,1.77390052399536,1.93232694135597,0.14512752239413,0.142279109588861,0.15498600565914
"488","merluccius","merluccius",2006,1886.7811,37098.7717852651,35541.9735743374,37867.198738091,1.86335126156374,1.78515832495864,1.90194686090745,0.179862172888593,0.176212287339958,0.187740438522348
"489","merluccius","merluccius",2007,1050.4302,36518.6034142945,35329.3963858421,37389.0592817942,1.83421128161441,1.77448126064355,1.87793146319426,0.101725747363268,0.0993574670328969,0.10514989229962
"490","merluccius","merluccius",2008,1552.2204,36722.2139558708,35596.9312549144,37641.9701353874,1.84443798026928,1.78791867142047,1.89063435699446,0.14948664005834,0.14583403472301,0.154212180270701
"491","merluccius","merluccius",2009,1675.1642,36816.1456892308,35773.3595579889,37734.6639069971,1.84915586728911,1.79678009419243,1.8952900652014,0.160915142264217,0.156998226771119,0.165605785825047
"492","merluccius","merluccius",2010,1112.6362,36945.4547397946,35907.3115779507,37820.4292715935,1.8556506424772,1.80350807070954,1.89959778194319,0.106505005638665,0.104041015429201,0.109584251576248
"493","merluccius","merluccius",2011,2000.969,36973.8836661745,36005.6807031105,37815.9354826006,1.85707853545818,1.80844883356083,1.89937207346319,0.19139171776414,0.187129976211658,0.196538295321529
"494","merluccius","merluccius",2012,2591.4173,36842.4606168344,35939.7934050941,37671.0937470679,1.85047758095208,1.80513952778137,1.8920971417702,0.248751997091724,0.243280317734976,0.254999675510426
"495","merluccius","merluccius",2013,6277.2315,36467.9706372447,35487.873337531,37366.4150720979,1.83166816106211,1.78244104512287,1.87679411781396,0.608743587411783,0.594106853132955,0.625555751402725
"496","merluccius","merluccius",2014,7262.581,34522.1803267697,33106.5747970667,35642.8166067362,1.73393741000792,1.66283612490563,1.79022334416542,0.743996037858038,0.720604257085654,0.775808598103994
"497","merluccius","merluccius",2015,4980.9376,31692.2121961648,29546.3714347891,33488.9825304125,1.59179726809513,1.48401863022086,1.6820432279463,0.555822849399782,0.52600151917598,0.596190152335048
"498","merluccius","merluccius",2016,6342.9653,29143.4960825475,26336.5530513276,31546.985477749,1.46378350491273,1.32279983923681,1.58450299995765,0.76971249548157,0.71106994082135,0.851748254717949
"499","merluccius","merluccius",2017,4798.1866,27302.1239222322,23953.9751785424,30294.0011639144,1.37129733966198,1.20313066229679,1.5215696523143,0.621524925722128,0.560142268794614,0.708398101623743
"500","merluccius","merluccius",2018,2805.796,26721.0570429505,22988.3461195752,30318.9378177408,1.3421122305476,1.15463023927352,1.5228221397453,0.371347331946472,0.327280371737922,0.431644503178922
"501","merluccius","merluccius",2019,2768.7574,26961.5421641027,22994.3833815724,30973.3210248226,1.35419102001481,1.1549334714081,1.55568969076612,0.363176739226132,0.316136747487276,0.425834639928365
"502","merluccius","merluccius",2020,4945.3535,28419.5252350489,24264.0535948878,32605.7251713124,1.42742079188734,1.21870489778969,1.63768006886677,0.615401248220568,0.536390809024937,0.720795115090327
"503","merluccius","merluccius",2021,8074.2322,29489.1034124804,25260.5595254787,33470.1019290447,1.4811422427697,1.2687561661624,1.68109491643395,0.968316911177627,0.853143429031249,1.13041033398208
"504","merluccius","merluccius",2022,18466.9211,28424.3758320005,24308.3951272142,32102.219696191,1.42766442167653,1.22093202947691,1.61239061810807,2.29763695185832,2.03440437649431,2.68668070859178
"505","merluccius","merluccius",2023,19807.54,22358.4103821647,18249.9883755785,26148.5147576246,1.12299060554651,0.916637862298838,1.31335528420351,3.13305103120347,2.67893000245781,3.83836083959648
"506","merluccius","merluccius",2024,27453.1177,12233.0390649329,8142.81316725341,15797.0462827795,0.614425968232585,0.40898715665584,0.793434518273976,7.93661219102936,6.14601522576547,11.923261037909
"507","mugil","mugil",2000,1580.6248,5715.29212864007,4761.97786497158,6792.1074296557,0.475338536786613,0.396051774712071,0.564896830230486,1.10616913860985,0.93079796459608,1.32761637078277
"508","mugil","mugil",2001,1926.283,5962.10279766405,5016.30614367431,7124.22383652335,0.495865680393024,0.417204154877593,0.592518817581264,1.23877030317413,1.03669902289621,1.47233356152538
"509","mugil","mugil",2002,2694.964,6325.51727362859,5302.29304027159,7489.2892474197,0.526090715503024,0.440989569500143,0.6228811602824,1.62002278360602,1.36828499512184,1.9326510291945
"510","mugil","mugil",2003,2033.5602,6442.44730291373,5358.47918423925,7726.47562993328,0.535815738787186,0.445662548389084,0.642607855868919,1.20024625316132,1.00078271217925,1.44304437334663
"511","mugil","mugil",2004,2490.8985,6542.23327556372,5392.18901470198,7740.51626009857,0.544114897808926,0.44846618136651,0.643775609405941,1.44775210731127,1.22363052966427,1.75652819020158
"512","mugil","mugil",2005,2135.3837,6392.35258256176,5206.77674966125,7435.2361645381,0.531649381138815,0.433045518208261,0.618385587222015,1.27022133288059,1.09205712340257,1.55944896584869
"513","mugil","mugil",2006,2314.511,6431.13318800643,5106.91341318268,7389.56764685537,0.534874748422386,0.424739924868162,0.614587355061012,1.36847209374617,1.19097986777303,1.72331613773473
"514","mugil","mugil",2007,1407.688,6427.16699180126,5009.20024275305,7133.08707360207,0.534544881486744,0.41661315996947,0.593255969427463,0.832819767248775,0.75040044555042,1.06856812640397
"515","mugil","mugil",2008,1797.6477,6680.19876121671,5107.91371866963,7188.42260898173,0.555589431498764,0.424823119871288,0.597858203543871,1.02324445329189,0.950900733181942,1.33821295851542
"516","mugil","mugil",2009,2127.322,7175.27625298415,5320.9421043477,8019.31131700021,0.596764826428002,0.442540604623257,0.66696288162723,1.1273500939502,1.0086961383794,1.5202285984865
"517","mugil","mugil",2010,2010.3777,7777.38370216231,5585.09288242542,9098.29332373459,0.64684185966423,0.46450991809252,0.756701379110164,0.982897731735393,0.840198543582826,1.36871005740042
"518","mugil","mugil",2011,2472.965,8392.47734941525,5810.81067996729,9982.22277020841,0.69799894974661,0.483282776101403,0.830217433977065,1.12044873933846,0.942008697115322,1.6182493603684
"519","mugil","mugil",2012,2601.354,8773.2633798974,6156.44515574744,10868.398776864,0.729668770025987,0.512029055780976,0.90392033434645,1.12746349499236,0.910118812887516,1.60669573797035
"520","mugil","mugil",2013,2868.447,9027.87744236693,6456.0338089806,11452.8245644858,0.750844918711909,0.536945723006455,0.952526790936199,1.20816256642187,0.952354025742635,1.68944957582779
"521","mugil","mugil",2014,2142.2968,9204.28941780404,6556.78226468196,11740.843465948,0.765517031420847,0.545324931354636,0.976481206582235,0.885020994739683,0.693816368478353,1.2423760691727
"522","mugil","mugil",2015,3220.9402,9397.3194874955,6754.22643479497,12102.1425077829,0.781571264313538,0.561746283195648,1.00653030189052,1.30329542257624,1.01200952349248,1.81330661486939
"523","mugil","mugil",2016,3611.1015,9487.9057315687,6694.46544406537,12072.0276364635,0.78910528562716,0.556775985746113,1.00402566021232,1.44721659840158,1.13742737113367,2.05110546518217
"524","mugil","mugil",2017,3408.3575,9307.40265500145,6921.00489217795,12023.6456116332,0.774092917690445,0.575617180100933,1.00000174675838,1.39245394173606,1.07788685170014,1.87257915811169
"525","mugil","mugil",2018,3706.8854,8654.57299959236,6460.44827019448,11075.0838574155,0.719797339058858,0.537312871961727,0.921110248974367,1.62864981636857,1.27270085788983,2.1817787461535
"526","mugil","mugil",2019,3873.00283,7847.0975892536,6170.13212854026,9799.52125786702,0.652639935482197,0.513167395777242,0.815022223025403,1.87673503250583,1.50282065436835,2.38680836041162
"527","mugil","mugil",2020,2557.9882,6863.52025186313,5691.25357947094,8537.48507678236,0.570836205795521,0.473339260366206,0.710059183834038,1.41714998839255,1.1392860494376,1.70905012567794
"528","mugil","mugil",2021,1802.0257,5955.89162020911,4862.40475641431,7194.35947351679,0.495349099274036,0.404404238690806,0.598351970168163,1.16128019972342,0.961372452364618,1.4224358844507
"529","mugil","mugil",2022,2402.3933,5399.88305135629,4056.28144038259,6732.76495500587,0.449106091285886,0.33735928825128,0.559961340594183,1.88341061147266,1.51055281264114,2.50727105333118
"530","mugil","mugil",2023,434.81,4935.48413550963,3165.77947730494,6496.41847984396,0.410482221118751,0.263296599834396,0.540304499762695,0.408046461803674,0.310002633763711,0.636148807338068
"531","mugil","mugil",2024,370.1615,4936.64268129691,2560.052111126,7153.82393654935,0.41057857690371,0.212918499564022,0.594980645939011,0.347214195208626,0.239602264582129,0.669545908135891
"532","aetobatus","aetobatus",2000,6.3977,389.354158635449,309.191381898435,469.559799283764,1.50135785985428,1.19224849951341,1.81063250434251,0.116437150573897,0.0965484883176975,0.146625331266512
"533","aetobatus","aetobatus",2001,3.52175,410.696341910093,332.685107240135,476.870897115876,1.58365376936282,1.28284080067859,1.83882425201223,0.0607645385169921,0.0523323478906274,0.0750131975963996
"534","aetobatus","aetobatus",2002,5.1253,430.707299992109,353.158041502057,485.731292719531,1.6608164464097,1.36178486763332,1.87299012461415,0.0843236843244221,0.0747714362758378,0.102840151243016
"535","aetobatus","aetobatus",2003,4.2393,447.143904953179,370.408406694871,492.415935917541,1.72419634232274,1.42830264018865,1.89876624998244,0.0671829935275964,0.061006283268225,0.0811009294859765
"536","aetobatus","aetobatus",2004,4.33,461.478286626046,387.302404936927,497.638406523069,1.77947002083213,1.49344625425449,1.9189042069493,0.0664888987931248,0.0616575864975595,0.0792228054966521
"537","aetobatus","aetobatus",2005,1.729,471.001100810794,401.966538512775,501.005990856826,1.81619019347472,1.54999146306698,1.93188968327226,0.0260127092280122,0.0244548266988012,0.0304801855567276
"538","aetobatus","aetobatus",2006,2.571,479.562753021908,416.775890250632,504.32027436592,1.84920410524477,1.60709663617955,1.94466963048948,0.0379899872003615,0.0361250256535464,0.0437131400238062
"539","aetobatus","aetobatus",2007,15.0297,486.418660048709,430.566987030357,507.282865837908,1.87564062755442,1.66027539666542,1.95609344578298,0.218953857117918,0.209948431070852,0.247355800606899
"540","aetobatus","aetobatus",2008,4.2786,488.03648761845,438.27976910072,504.97973630028,1.881879004836,1.69001604724243,1.94721252963789,0.0621243573598032,0.060039940183665,0.0691771678707448
"541","aetobatus","aetobatus",2009,4.6089,488.63131123341,445.167428428686,502.625177694248,1.88417265725948,1.71657500709605,1.93813330191873,0.0668387789977391,0.064977883465226,0.0733645773191092
"542","aetobatus","aetobatus",2010,8.7301,488.411316183127,450.523733569078,500.685699413787,1.88332435169873,1.73722903285627,1.93065463270253,0.126661905122229,0.123556769972541,0.137313759923204
"543","aetobatus","aetobatus",2011,1.4424,490.090281720955,456.62095282392,502.006524713902,1.88979847827664,1.76074003909181,1.93574776295898,0.0208555735674572,0.0203605200768103,0.0223842420325127
